rxn	name	ec	chem_class	dg_eq	dg_dgp	dgp_uncertainty	eq_uncertainty	absdiff
rxn54760	59928		Redox: carbon, hydride transfer	4.9300	1.2900	4.0400	0.2784	3.6400
rxn32462	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase	1.13.11.54	Oxygenation: O2 incorporated	-121.1700	-117.5100	14.1500		3.6600
rxn05092	1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoreductase (formate-forming)	1.13.11.54	Oxygenation: O2 incorporated	-121.1700	-117.5100	14.1500		3.6600
rxn02251	D-Ribulose 1,5-bisphosphate oxygenase	4.1.1.-;4.1.1.39	Oxygenation: O2 incorporated	-123.3700	-127.0500	9.8300	0.7990	3.6800
rxn25701	RXN-961.d	4.1.1.-;4.1.1.39	Oxygenation: O2 incorporated	-123.3700	-127.0500	9.8300	0.7990	3.6800
rxn03909	1-Deoxy-D-xylulose-5-phosphate pyruvate-lyase (carboxylating)	2.2.1.7	C-C bond: carboxylation / decarboxylation	-7.6600	-11.3400	9.6000	0.8052	3.6800
rxn27845	1-deoxy-D-xylulose-5-phosphate synthase	2.2.1.7	C-C bond: carboxylation / decarboxylation	-7.6600	-11.3400	9.6000	0.8052	3.6800
rxn01286	D-Glyceraldehyde:NAD+ oxidoreductase	1.2.1.3	Redox: carbon, hydride transfer	-12.2500	-8.5500	0.8700	0.3718	3.7000
rxn32139	D-Glyceraldehyde:NAD+ oxidoreductase	1.2.1.3	Redox: carbon, hydride transfer	-12.2500	-8.5500	0.8700	0.3718	3.7000
rxn27899	Aldehyde dehydrogenase (NAD+)	1.2.1.3	Redox: carbon, hydride transfer	-12.2500	-8.5500	0.8700	0.3718	3.7000
rxn02528	R03545	1.1.1.-	Redox: carbon, hydride transfer	-5.6200	-1.9200	0.9400	0.5784	3.7000
rxn44642			Other / unclassified	1.9600	-1.7400	4.0300	0.6180	3.7000
rxn19673	ENZRXN-201-RXN.d	1.1.1.-	Redox: carbon, hydride transfer	-5.6200	-1.9200	0.9400	0.5784	3.7000
rxn00919	GDPglucose sugarphosphohydrolase	3.6.1.21	Group transfer: phosphoryl	-5.4800	-9.2200	0.9100	0.9089	3.7400
rxn02740	(E)-Glutaconate CoA-transferase	2.8.3.12	Other / unclassified	-2.3800	1.3700	9.4000	0.3462	3.7500
rxn08659	(R)-lactate hydro-lyase	4.2.1.130	Addition / elimination	-13.0500	-9.3000	14.1100	0.6964	3.7500
rxn00245	(R,R)-tartrate hydro-lyase (oxaloacetate-forming)	4.2.1.32	Addition / elimination	-8.1100	-11.8600	5.7500	0.4596	3.7500
rxn01139	adenosine 3'-phosphate phosphohydrolase	3.1.3.6	Hydrolysis	-4.3600	-8.1300	1.2300	0.7152	3.7700
rxn17763	3'-nucleotidase (AMP) (periplasm)	3.1.3.6	Hydrolysis	-4.3600	-8.1300	1.2300	0.7152	3.7700
rxn00149	pyruvaldehyde:NAD+ oxidoreductase	1.2.1.22;1.2.1.23;1.2.1.3	Redox: carbon, hydride transfer	-7.3900	-3.6100	14.1000	0.4894	3.7800
rxn38862	ALDEHYDE DEHYDROGENASE	1.2.1.22;1.2.1.23;1.2.1.3	Redox: carbon, hydride transfer	-7.3900	-3.6100	14.1000	0.4894	3.7800
rxn11209	Aminotransferase		Other / unclassified	-3.5600	0.2400	1.0700	1.0483	3.8000
rxn55017	61276		Redox: O2 as terminal acceptor	-26.0000	-22.2000	1.6300	1.4776	3.8000
rxn56701	69376		Redox: O2 as terminal acceptor	-27.1900	-23.3900	11.5600	1.0101	3.8000
rxn59503			Redox: heteroatom (S)	-2.3700	-6.1800	8.4100	0.6493	3.8100
rxn55866	65452		Redox: heteroatom (S)	-2.3700	-6.1800	8.4100	0.6493	3.8100
rxn01851	4-aminobutanal:NAD+ 1-oxidoreductase	1.2.1.-;1.2.1.19;1.2.1.3	Redox: carbon, hydride transfer	-11.3200	-7.5000	1.3700	0.4807	3.8200
rxn19161	ABAL dehydrogenase	1.2.1.-;1.2.1.19;1.2.1.3	Redox: carbon, hydride transfer	-11.3200	-7.5000	1.3700	0.4807	3.8200
rxn30209	Aldehyde dehydrogenase, mitochondrial 1	1.2.1.-;1.2.1.19;1.2.1.3	Redox: carbon, hydride transfer	-11.3200	-7.5000	1.3700	0.4807	3.8200
rxn08348	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction		Oxygenation: O2 incorporated	-125.3500	-121.5200	14.1500	0.8456	3.8300
rxn53329	52528		Other / unclassified	-1.5400	2.2900	11.1200	0.9134	3.8300
rxn19330	CROTCOALIG-RXN.c	6.3.2.-	Redox: heteroatom (S)	7.9300	11.7600	9.4100	0.8252	3.8300
rxn45821			Redox: heteroatom (S)	0.0600	-3.7900	11.1000	0.8928	3.8500
rxn18934	2-dehydro-3-deoxy-L-arabinonate dehydratase	4.2.1.141;4.2.1.43	Addition / elimination	-8.1300	-11.9900	11.8300	0.6723	3.8600
rxn01633	2-Dehydro-3-deoxy-L-arabinonate hydro-lyase	4.2.1.141;4.2.1.43	Addition / elimination	-8.1300	-11.9900	11.8300	0.6723	3.8600
