compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd24942	tetracosanal	C24H48O	0	5	-15.0710	15.0710	352.0000	2.0750	25	0	0	0	0.0000	0	22	8.7874	4	0
cpd00464	alpha-Tolualdehyde	C8H8O	0	22	15.0070	15.0070	120.0000	0.6414	9	1	6	6	0.6667	0	2	1.4280	5	0
cpd00709	beta D-Galactose	C6H12O6	0	35	-15.0050	15.0050	180.0000	0.2701	12	1	0	0	0.0000	5	1	-3.2214	7	0
cpd00127	Phenol	C6H6O	0	13	-15.0000	15.0000	94.0000	0.7454	7	1	6	7	1.0000	0	0	1.3922	3	0
cpd02103	N2-Succinyl-L-arginine	C10H17N4O5	-1	8	-14.9900	14.9900	273.0000	1.4023	19	0	0	9	0.5000	1	9	-5.8052	11	0
cpd05405	Leaf aldehyde	C6H10O	0	8	14.9660	14.9660	98.0000	0.5032	7	0	0	3	0.5000	0	3	1.5416	6	0
cpd00215	Pyridoxal	C8H9NO3	0	13	-14.9600	14.9600	167.0000	0.9181	12	1	6	9	0.7500	0	2	0.4004	12	0
cpd01243	Desmosterol	C27H44O	0	6	14.9280	14.9280	384.0000	56449.0398	28	4	0	0	0.0000	8	4	7.3088	9	0
cpd17424	2-Aminobut-2-enoate	C4H7NO2	0	7	14.9270	14.9270		0.4856	7	0	0	4	0.6667	0	1	-2.1180	7	0
cpd00551	DTYL	C4H6O2	0	5	14.8870	14.8870	86.0000	0.3841	6	0	0	3	0.6000	0	1	0.1644	3	0
cpd00920	4-(2-Aminophenyl)-2,4-dioxobutanoate	C10H8NO4	-1	16	14.8190	14.8190	206.0000	0.8085	15	1	6	13	0.8667	0	4	-0.8394	10	0
cpd28293	UDP-GLUCOSE	C15H22N2O17P2	-2	12	14.6430	14.6430	566.0000	1.2261	36	3	6	8	0.2105	11	9	-6.0577	20	0
cpd00478	Pyridoxine phosphate	C8H10NO6P	-2	7	-14.6300	14.6300	248.0000	0.8980	16	1	6	7	0.4375	0	4	-1.0668	13	0
cpd01393	Icosanoyl-CoA	C41H70N7O17P3S	-4	23	-14.5870	14.5870	1058.0000	2.7511	69	3	9	15	0.2113	7	37	3.1784	31	0
cpd00192	4-Coumaroyl-CoA	C30H38N7O18P3S	-4	57	14.5650	14.5650	910.0000	2.1814	59	4	15	26	0.4194	7	21	-2.4443	37	0
cpd00465	Ureidoglycolate	C3H5N2O4	-1	15	-14.3920	14.3920	133.0000	0.8770	9	0	0	5	0.6250	1	2	-3.2770	8	0
cpd01466	Maleylpyruvate	C7H4O6	-2	5	14.3400	14.3400	184.0000	0.6684	13	0	0	10	0.8333	0	5	-3.4293	6	0
cpd24935	1-tetradecanol	C14H30O	0	9	-14.2320	14.2320	214.0000	1.1563	15	0	0	0	0.0000	0	12	4.6798	4	0
cpd00051	L-Arginine	C6H15N4O2	1	58	-14.2170	14.2170	175.0000	1.1945	12	0	0	5	0.4545	1	5	-5.2096	11	0
cpd14544	4alpha-Methylzymosterol-4-carboxylate	C29H45O3	-1	16	14.2090	14.2090	441.0000	56449.4833	32	4	0	2	0.0571	8	5	5.8190	13	0
cpd02262	7alpha-Hydroxycholesterol	C27H46O2	0	5	-14.1440	14.1440	402.0000	56448.8853	29	4	0	0	0.0000	9	5	6.3595	10	0
cpd06761	Nerol	C10H18O	0	6	14.1420	14.1420	154.0000	1.0817	11	0	0	0	0.0000	0	4	2.6714	8	0
cpd02125	Tiglyl-CoA	C26H38N7O17P3S	-4	12	14.1070	14.1070	846.0000	2.1312	54	3	9	18	0.3214	7	20	-2.8971	33	0
