compound	name	formula	n_reactions	fitted_offset	observed_median_absdiff	ratio_vs_baseline	verdict	median_sigma
cpd02246	CoM	C2H5O3S2	21	-4.4859	2.7600	0.8023	unremarkable	24.0400
cpd00047	Formate	CHO2	90	-4.7781	2.7100	0.7878	unremarkable	18.2000
cpd00475	Ribose 1-phosphate	C5H9O8P	20	4.9736	2.6900	0.7820	unremarkable	1.0950
cpd00491	D-glucitol 6-phosphate	C6H13O9P	15	-2.8896	2.6800	0.7791	unremarkable	1.8100
cpd00117	D-Alanine	C3H7NO2	37	-7.4137	2.6800	0.7791	unremarkable	21.0600
cpd00287	3-Oxo-2-methylpropanoate	C4H5O3	25	-0.9323	2.6200	0.7616	unremarkable	14.6600
cpd00022	Acetyl-CoA	C23H34N7O17P3S	374	-0.3528	2.6200	0.7616	unremarkable	14.8300
cpd00010	CoA	C21H32N7O16P3S	1172	-4.7877	2.5750	0.7485	unremarkable	15.5200
cpd00327	strcoa	C39H66N7O17P3S	51	-12.3093	2.5200	0.7326	unremarkable	15.5200
cpd01262	Amylotriose	C18H32O16	15	25.3047	2.5200	0.7326	gauge artifact	1.0000
cpd00703	Indoleacetate	C10H8NO2	36	16.5718	2.5000	0.7267	gauge artifact	18.0000
cpd00229	Glycolaldehyde	C2H4O2	19	1.1616	2.4600	0.7151	unremarkable	11.8400
cpd00079	D-glucose-6-phosphate	C6H11O9P	37	2.9043	2.4100	0.7006	unremarkable	7.9300
cpd00188	Arachidonate	C20H31O2	34	52.5106	2.4100	0.7006	gauge artifact	15.5200
cpd00060	L-Methionine	C5H11NO2S	44	1.7617	2.3600	0.6860	unremarkable	17.7800
cpd34766	1,2-diolein	C39H72O5	18	19.0622	2.3350	0.6788	gauge artifact	20.3350
cpd00055	Formaldehyde	CH2O	69	1.3603	2.3300	0.6773	unremarkable	19.6300
cpd00278	Indolepyruvate	C11H8NO3	19	17.9081	2.3100	0.6715	gauge artifact	1.6200
cpd39877	N-(acetyl)-sphing-4-enine	C20H39NO3	29	6.0679	2.2700	0.6599	unremarkable	20.9600
cpd01122	Linoleate	C18H31O2	28	1.8689	2.2400	0.6512	unremarkable	15.5200
cpd00020	Pyruvate	C3H3O3	354	0.0058	2.2300	0.6483	unremarkable	17.3500
cpd00024	2-Oxoglutarate	C5H4O5	365	-0.5034	2.2100	0.6424	unremarkable	15.4100
cpd24683	isobutanal	C4H8O	17	0.0687	2.2000	0.6395	unremarkable	17.9700
cpd15329	1-octadecanoyl-sn-glycerol 3-phosphate	C21H41O7P	15	-14.9618	2.2000	0.6395	unremarkable	15.5200
cpd00334	L-Lactaldehyde	C3H6O2	20	4.1229	2.1850	0.6352	unremarkable	6.6300
cpd00588	Sorbitol	C6H14O6	22	1.3686	2.1550	0.6265	unremarkable	1.8000
cpd28037	RIBOSE	C5H10O5	17	5.8466	2.1100	0.6134	unremarkable	4.0600
cpd00920	4-(2-Aminophenyl)-2,4-dioxobutanoate	C10H8NO4	16	14.8954	2.1050	0.6119	unremarkable	18.4800
cpd14544	4alpha-Methylzymosterol-4-carboxylate	C29H45O3	16	14.2192	2.0850	0.6061	unremarkable	26.1650
cpd00009	Phosphate	HO4P	676	-6.3027	2.0850	0.6061	unremarkable	9.8500
cpd00026	UDP-glucose	C15H22N2O17P2	19	13.3451	2.0300	0.5901	unremarkable	0.9100
cpd00029	Acetate	C2H3O2	192	-5.6946	2.0250	0.5887	unremarkable	15.5200
cpd00536	Oleate	C18H33O2	73	3.4726	2.0200	0.5872	unremarkable	15.5200
cpd00013	NH3	H4N	534	-5.2653	2.0200	0.5872	unremarkable	13.4700
cpd00035	L-Alanine	C3H7NO2	109	-7.3808	2.0100	0.5843	unremarkable	15.7400
cpd00114	IMP	C10H11N4O8P	22	-3.2670	1.9850	0.5770	unremarkable	0.8900
cpd00447	Betaine aldehyde	C5H12NO	19	4.4465	1.9800	0.5756	unremarkable	18.3500
cpd01504	3-Aminopropanal	C3H8NO	20	0.6543	1.9700	0.5727	unremarkable	10.6300
cpd00064	Ornithine	C5H13N2O2	46	-3.9759	1.9650	0.5712	unremarkable	1.8700
cpd00023	L-Glutamate	C5H8NO4	297	-8.0835	1.9600	0.5698	unremarkable	12.5400
cpd00211	Butyrate	C4H7O2	19	-7.0639	1.9400	0.5640	unremarkable	15.5200
cpd00098	Choline	C5H14NO	19	1.0227	1.9300	0.5610	unremarkable	16.9700
cpd01741	ddca	C12H23O2	21	-11.2864	1.9200	0.5581	unremarkable	10.8100
cpd00119	L-Histidine	C6H9N3O2	20	-2.1936	1.9100	0.5552	unremarkable	24.0550
cpd00367	Cytidine	C9H13N3O5	16	-13.2388	1.9000	0.5523	unremarkable	1.0800
cpd00041	L-Aspartate	C4H6NO4	64	-6.9462	1.9000	0.5523	unremarkable	10.7800
cpd00650	Crotonyl-CoA	C25H36N7O17P3S	30	2.5275	1.8800	0.5465	unremarkable	1.9000
cpd03846	octanoate	C8H15O2	17	-7.9770	1.8600	0.5407	unremarkable	12.3600
cpd00134	Palmitoyl-CoA	C37H62N7O17P3S	83	-11.2966	1.8600	0.5407	unremarkable	15.5200
cpd00322	L-Isoleucine	C6H13NO2	19	-8.8562	1.8500	0.5378	unremarkable	18.1600
cpd00508	3MOP	C6H9O3	29	0.5834	1.8500	0.5378	unremarkable	22.8900
cpd00039	L-Lysine	C6H15N2O2	45	-6.1876	1.8300	0.5320	unremarkable	2.1600
cpd03847	Myristic acid	C14H27O2	22	-12.9428	1.7800	0.5174	unremarkable	12.3600
cpd00281	GABA	C4H9NO2	27	-7.5814	1.7700	0.5145	unremarkable	1.3700
cpd00187	Methanamine	CH6N	20	-6.2559	1.7500	0.5087	unremarkable	17.0900
cpd00120	Butyryl-CoA	C25H38N7O17P3S	34	-0.8520	1.7450	0.5073	unremarkable	1.9000
cpd22622	16:1-delta9-CoA	C37H60N7O17P3S	16	9.1133	1.6700	0.4855	unremarkable	15.5200
cpd00065	L-Tryptophan	C11H12N2O2	37	8.5986	1.6700	0.4855	unremarkable	1.9900
cpd00371	Propanal	C3H6O	15	2.0746	1.6500	0.4797	unremarkable	10.4700
cpd00078	Succinyl-CoA	C25H35N7O19P3S	47	-0.9201	1.6400	0.4767	unremarkable	11.6200
cpd00086	Propionyl-CoA	C24H36N7O17P3S	60	0.9598	1.6200	0.4709	unremarkable	13.6300
cpd00087	Tetrahydrofolate	C19H21N7O6	44	-4.7372	1.6200	0.4709	unremarkable	1.3700
cpd00242	H2CO3	CHO3	25	-2.5710	1.6100	0.4680	unremarkable	12.2300
cpd00226	HYXN	C5H4N4O	28	-8.4007	1.6100	0.4680	unremarkable	4.0500
cpd00198	D-Xylulose5-phosphate	C5H9O8P	16	1.3358	1.5300	0.4448	unremarkable	1.0250
cpd00869	4-methylthio 2-oxobutyrate	C5H7O3S	27	8.4246	1.5100	0.4390	unremarkable	17.7600
cpd00288	D-Glucosamine phosphate	C6H13NO8P	23	1.1693	1.5100	0.4390	unremarkable	16.8500
cpd00238	Sedoheptulose7-phosphate	C7H13O10P	27	3.8573	1.5000	0.4360	unremarkable	4.9300
cpd00236	D-Erythrose4-phosphate	C4H7O7P	30	0.9246	1.5000	0.4360	unremarkable	3.2500
cpd00053	L-Glutamine	C5H10N2O3	52	-9.8077	1.4700	0.4273	unremarkable	1.4150
cpd00072	D-fructose-6-phosphate	C6H11O9P	40	4.3591	1.4650	0.4259	unremarkable	1.0050
cpd01398	Linoleoyl-CoA	C39H62N7O17P3S	18	4.5698	1.4600	0.4244	unremarkable	15.5200
cpd02496	1-Palmitoylglycerol 3-phosphate	C19H37O7P	21	-13.2902	1.4500	0.4215	unremarkable	15.5200
cpd00794	TRHL	C12H22O11	32	16.3650	1.4300	0.4157	gauge artifact	4.4750
cpd00363	Ethanol	C2H6O	38	-5.0623	1.4300	0.4157	unremarkable	8.4100
cpd00033	Glycine	C2H5NO2	118	-6.0342	1.4250	0.4142	unremarkable	13.5850
cpd00235	D-mannose-6-phosphate	C6H11O9P	17	4.0144	1.4200	0.4128	unremarkable	0.9700
cpd00122	N-Acetyl-D-glucosamine	C8H15NO6	20	1.6687	1.4200	0.4128	unremarkable	20.0400
cpd00269	2-Oxoadipate	C6H6O5	17	-0.4138	1.4000	0.4070	unremarkable	11.4900
cpd00162	Aminoethanol	C2H8NO	39	-4.4207	1.3800	0.4012	unremarkable	11.7900
cpd00449	Dihydrolipoamide	C8H17NOS2	15	-4.2487	1.3800	0.4012	unremarkable	22.7300
cpd00032	Oxaloacetate	C4H2O5	90	0.6446	1.3700	0.3983	unremarkable	5.7800
cpd00085	beta-Alanine	C3H7NO2	31	-6.5001	1.3500	0.3924	unremarkable	10.6300
cpd00083	GDP-mannose	C16H23N5O16P2	16	10.8781	1.3400	0.3895	unremarkable	1.1100
cpd00043	UDP-galactose	C15H22N2O17P2	17	12.9637	1.3300	0.3866	unremarkable	0.9400
cpd00094	2-Oxobutyrate	C4H5O3	50	0.3244	1.2750	0.3706	unremarkable	12.5800
cpd00246	Inosine	C10H12N4O5	29	1.4326	1.2400	0.3605	unremarkable	0.8900
cpd00579	Serotonin	C10H13N2O	21	-5.1473	1.2400	0.3605	unremarkable	21.8300
cpd00102	Glyceraldehyde3-phosphate	C3H5O6P	68	-0.0836	1.2200	0.3547	unremarkable	1.2200
cpd00161	L-Threonine	C4H9NO3	32	-5.7024	1.2100	0.3517	unremarkable	12.1750
cpd00071	Acetaldehyde	C2H4O	76	0.2979	1.2100	0.3517	unremarkable	12.6650
cpd00237	Androstenedione	C19H26O2	15	-2.7215	1.1500	0.3343	unremarkable	29.0400
cpd00118	Putrescine	C4H14N2	34	-4.7119	1.1400	0.3314	unremarkable	7.3800
cpd00144	UDPglucuronate	C15H19N2O18P2	16	7.1063	1.1400	0.3314	unremarkable	12.0850
cpd00100	Glycerol	C3H8O3	61	-0.8221	1.1200	0.3256	unremarkable	12.5800
cpd00125	5-10-Methylenetetrahydrofolate	C20H21N7O6	35	-1.6446	1.0600	0.3081	unremarkable	1.3700
cpd00054	L-Serine	C3H7NO3	86	-5.0657	1.0500	0.3052	unremarkable	11.0250
cpd00382	Melitose	C18H32O16	29	13.6464	1.0300	0.2994	unremarkable	1.8800
cpd00107	L-Leucine	C6H13NO2	25	-9.1736	1.0200	0.2965	unremarkable	15.2100
cpd01133	Stachyose	C24H42O21	20	10.0985	1.0200	0.2965	unremarkable	1.0600
cpd00346	L-Aspartate4-semialdehyde	C4H7NO3	17	1.2147	1.0100	0.2936	unremarkable	10.9300
cpd19044	(S)-Methylmalonate semialdehyde	C4H5O3	18	0.9403	0.9650	0.2805	unremarkable	22.0000
cpd02533	1-Palmitoylglycerophosphocholine	C24H50NO7P	54	-19.4777	0.9250	0.2689	gauge artifact	15.5200
cpd25193	1-18:0-lysoPC	C26H54NO7P	22	-21.1432	0.9250	0.2689	gauge artifact	15.5200
cpd00182	Adenosine	C10H13N5O4	42	-8.8903	0.9200	0.2674	unremarkable	1.2200
cpd00274	Citrulline	C6H13N3O3	24	-13.2767	0.8700	0.2529	unremarkable	1.6900
cpd00249	Uridine	C9H12N2O6	18	-3.2731	0.8650	0.2515	unremarkable	1.1150
cpd00279	Acetoacetyl-CoA	C25H36N7O18P3S	27	4.7871	0.8300	0.2413	unremarkable	0.9300
cpd00266	Carnitine	C7H15NO3	35	-0.3143	0.8100	0.2355	unremarkable	1.2200
cpd00399	Oleoyl-CoA	C39H64N7O17P3S	51	7.4380	0.8000	0.2326	unremarkable	15.5200
cpd01519	Arachidonyl-CoA	C41H62N7O17P3S	20	56.5793	0.8000	0.2326	gauge artifact	15.5200
cpd02434	1-Oleoylglycerophosphocholine	C26H52NO7P	17	-1.4035	0.8000	0.2326	unremarkable	15.5200
cpd25195	1-16:0-lysoPE	C21H44NO7P	15	-16.0582	0.8000	0.2326	gauge artifact	15.5200
cpd00139	Glycolate	C2H3O3	27	-4.5350	0.7600	0.2209	unremarkable	1.7100
cpd00040	Glyoxalate	C2HO3	107	0.8165	0.7200	0.2093	unremarkable	1.5600
cpd00353	D-threo-Isocitric acid	C6H5O7	22	-5.5962	0.7200	0.2093	unremarkable	15.8500
