compound	name	formula	n_reactions	fitted_offset	observed_median_absdiff	ratio_vs_baseline	verdict	median_sigma
cpd02508	5-Dehydro-4-deoxy-D-glucuronate	C6H7O6	16	-4.7078	8.0400	2.3372	REAL	28.8950
cpd00724	alpha-D-Galactose	C6H12O6	22	-14.1178	7.7150	2.2427	REAL	8.2100
cpd19006	alpha-D-Glucose 6-phosphate	C6H11O9P	23	-3.7384	7.5600	2.1977	REAL	15.8200
cpd00093	Anthranilate	C7H6NO2	25	15.3728	7.5000	2.1802	REAL	33.9600
cpd19028	alpha-D-Ribose 5-phosphate	C5H9O8P	15	-4.5811	7.0400	2.0465	REAL	7.9500
cpd00422	Cinnamoyl-CoA	C30H38N7O17P3S	17	23.6269	6.8500	1.9913	unremarkable	22.0100
cpd00037	UDP-N-acetylglucosamine	C17H25N3O17P2	17	7.4749	6.8300	1.9855	unremarkable	20.6500
cpd00027	D-Glucose	C6H12O6	164	6.7222	6.8200	1.9826	unremarkable	15.7000
cpd00082	D-Fructose	C6H12O6	58	6.7820	6.8100	1.9797	unremarkable	7.9300
cpd00007	O2	O2	1765	3.5948	6.7100	1.9506	unremarkable	25.7800
cpd00073	Urea	CH4N2O	33	-15.5391	6.6600	1.9360	unremarkable	2.0300
cpd00486	Indoleacetaldehyde	C10H9NO	17	24.2570	6.6300	1.9273	unremarkable	16.3700
cpd00158	CELB	C12H22O11	16	16.9255	6.6150	1.9230	unremarkable	7.9300
cpd00092	Uracil	C4H4N2O2	26	-14.1240	6.5850	1.9142	unremarkable	21.2100
cpd00275	L-Kynurenine	C10H12N2O3	32	9.5198	6.4450	1.8735	unremarkable	21.2500
cpd02625	3-Hydroxy-L-1-pyrroline-5-carboxylate	C5H6NO3	16	1.1618	6.3750	1.8532	unremarkable	24.3300
cpd00105	D-Ribose	C5H10O5	23	6.9113	6.2500	1.8169	unremarkable	8.6100
cpd00116	Methanol	CH4O	59	-3.4785	6.0900	1.7703	unremarkable	20.6900
cpd11640	H2	H2	19	-0.6716	6.0500	1.7587	unremarkable	30.6200
cpd01882	Isovaleryl-CoA	C26H40N7O17P3S	18	-1.5713	5.9300	1.7238	unremarkable	21.5400
cpd00070	Malonyl-CoA	C24H33N7O19P3S	160	-2.2147	5.8700	1.7064	unremarkable	15.8400
cpd00521	dTDP-4-oxo-6-deoxy-D-glucose	C16H22N2O15P2	20	1.9147	5.8350	1.6962	unremarkable	18.5700
cpd00192	4-Coumaroyl-CoA	C30H38N7O18P3S	57	15.2148	5.7000	1.6570	unremarkable	22.4300
cpd00270	Caffeoyl-CoA	C30H38N7O19P3S	37	-26.6262	5.6800	1.6512	unremarkable	29.2700
cpd00309	XAN	C5H4N4O2	17	-12.1941	5.5600	1.6163	unremarkable	33.3300
cpd00865	1-O-Sinapoyl-beta-D-glucose	C17H22O10	16	2.0608	5.5200	1.6047	unremarkable	22.2450
cpd00496	D-Arabinono-1,4-lactone	C5H8O5	15	6.1292	5.4700	1.5901	unremarkable	21.0100
cpd00760	2-Methylbutyryl-CoA	C26H40N7O17P3S	19	0.5904	5.4600	1.5872	unremarkable	23.8400
cpd00091	UMP	C9H11N2O9P	46	-7.1043	5.3700	1.5610	unremarkable	31.9600
cpd00152	Agmatine	C5H16N4	19	-9.6447	5.2200	1.5174	unremarkable	1.9700
cpd00355	Nicotinamide ribonucleotide	C11H14N2O8P	15	32.6976	5.1200	1.4884	gauge artifact	0.9100
cpd00133	Nicotinamide	C6H6N2O	21	21.6595	5.1200	1.4884	gauge artifact	7.9900
cpd00179	Maltose	C12H22O11	35	16.1285	5.0900	1.4797	gauge artifact	7.9300
cpd00321	Feruloyl-CoA	C31H40N7O19P3S	18	-5.8220	4.8750	1.4172	unremarkable	21.5950
cpd00129	L-Proline	C5H9NO2	24	2.5768	4.7850	1.3910	unremarkable	17.5800
cpd00095	Glycerone-phosphate	C3H5O6P	89	0.4441	4.6800	1.3605	unremarkable	19.1600
cpd00216	Chorismate	C10H8O6	27	20.1577	4.6200	1.3430	gauge artifact	32.0400
cpd00050	FMN	C17H19N4O9P	22	-1.6006	4.5900	1.3343	unremarkable	27.8550
cpd02357	Dopamine	C8H12NO2	17	-39.9190	4.5000	1.3081	gauge artifact	31.5200
cpd01062	Geraniol	C10H18O	15	7.4754	4.4700	1.2994	unremarkable	33.2500
cpd00036	Succinate	C4H4O4	179	-5.6641	4.4700	1.2994	unremarkable	20.6200
cpd08926	Phytosphingosine	C18H40NO3	18	-10.9386	4.4600	1.2965	unremarkable	26.4500
cpd00160	Cholesterol	C27H46O	49	-12.7830	4.4400	1.2907	unremarkable	39.8400
cpd00142	Acetoacetate	C4H5O3	22	-0.1182	4.4050	1.2805	unremarkable	16.4500
cpd00011	CO2	CO2	924	7.6934	4.2550	1.2369	unremarkable	19.0000
