rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon	dgp_uncertainty	eq_uncertainty
rxn45044			-0.100	-1.580	1.480	1.480	(1) (3R,9Z,12Z,15Z,18Z)-3-hydroxytetracosa-9,12,15,18-tetraenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,9Z,12Z,15Z,18Z)-tetracosa-2,9,12,15,18-pentaenoyl-CoA[0]	h2o	0.000	0.000	3	45	12.580	0.357
rxn44687	3-hydroxy-lesqueroloyl-CoA dehydratase		-0.100	-1.580	1.480	1.480	(1) 3R-hydroxy-lesqueroloyl-CoA[0] <=> (1) H2O[0] + (1) trans-lesqueroloyl-CoA[0]	h2o	0.000	0.000	3	41	12.580	0.357
rxn50955	39259		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(13Z)-docosenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,13Z)-docosadienoyl-CoA[0]	h2o	0.000	0.000	3	43	12.580	0.357
rxn50958	39271		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(15Z)-tetracosenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,15Z)-tetracosadienoyl-CoA[0]	h2o	0.000	0.000	3	45	12.580	0.357
rxn50952	39235		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxytriacontanoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-triacontenoyl-CoA[0]	h2o	0.000	0.000	3	51	12.580	0.357
rxn50946	39159		-0.100	-1.580	1.480	1.480	(1) (3R)-3-hydroxyhexadecanoyl-CoA[0] <=> (1) H2O[0] + (1) (2E)-Hexadecenoyl-CoA[0]	h2o	0.000	0.000	3	37	12.580	0.357
rxn27538	Crotonase	4.2.1.119;4.2.1.17;4.2.1.55	-1.510	-0.030	-1.480	1.480	(1) 3-Hydroxybutanoyl-CoA[0] <=> (1) H2O[0] + (1) Crotonyl-CoA[0]	h2o	0.000	0.000	3	25	13.930	0.563
rxn45872			-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxyadrenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,7Z,10Z,13Z,16Z)-docosa-2,7,10,13,16-pentaenoyl-CoA[0]	h2o	0.000	0.000	3	43	12.580	0.357
rxn51001	39523		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(17Z,20Z,23Z,26Z,29Z)-dotriacontapentaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,17Z,20Z,23Z,26Z,29Z)-dotriacontahexaenoyl-CoA[0]	h2o	0.000	0.000	3	53	12.580	0.357
rxn50966	39351		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(11Z,14Z,17Z,20Z)-hexacosatetraenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,11Z,14Z,17Z,20Z)-hexacosapentaenoyl-CoA[0]	h2o	0.000	0.000	3	47	12.580	0.357
rxn50992	39487		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(11Z,14Z,17Z,20Z,23Z)-hexacosapentaenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,11Z,14Z,17Z,20Z,23Z)-hexacosahexaenoyl-CoA[0]	h2o	0.000	0.000	3	47	12.580	0.357
rxn50984	39423		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(23Z,26Z,29Z,32Z)-octatriacontatetraenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,23Z,26Z,29Z,32Z)-octatriacontapentaenoyl-CoA[0]	h2o	0.000	0.000	3	59	12.580	0.357
rxn50981	39411		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(21Z,24Z,27Z,30Z)-hexatriacontatetraenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,21Z,24Z,27Z,30Z)-hexatriacontapentaenoyl-CoA[0]	h2o	0.000	0.000	3	57	12.580	0.357
rxn50975	39387		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(17Z,20Z,23Z,26Z)-dotriacontatetraenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,17Z,20Z,23Z,26Z)-dotriacontapentaenoyl-CoA[0]	h2o	0.000	0.000	3	53	12.580	0.357
rxn50972	39375		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(15Z,18Z,21Z,24Z)-triacontatetraenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,15Z,18Z,21Z,24Z)-triacontapentaenoyl-CoA[0]	h2o	0.000	0.000	3	51	12.580	0.357
rxn50969	39363		-0.100	-1.580	1.480	1.480	(1) (3R)-hydroxy-(13Z,16Z,19Z,22Z)-octacosatetraenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,13Z,16Z,19Z,22Z)-octacosapentaenoyl-CoA[0]	h2o	0.000	0.000	3	49	12.580	0.357
rxn51044	39699		-0.100	-1.580	1.480	1.480	(1) (R)-3-hydroxy-(13Z)-eicosenoyl-CoA[0] <=> (1) H2O[0] + (1) (2E,13Z)-eicosadienoyl-CoA[0]	h2o	0.000	0.000	3	41	12.580	0.357
