rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon	dgp_uncertainty	eq_uncertainty
rxn36793	quinone reductase	1.6.5.2	-20.190	46.280	-66.470	66.470	(1) NADH[0] + (1) H+[0] + (1) 2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinone[0] => (1) NAD[0] + (1) 2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol[0]	h;nad;nadh	-1.000	-4.000	5	53	62.030	1.146
rxn36867	quinone reductase	1.6.5.2	-20.190	46.280	-66.470	66.470	(1) NADH[0] + (1) H+[0] + (1) 2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinone[0] => (1) NAD[0] + (1) 2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol[0]	h;nad;nadh	-1.000	-4.000	5	53	62.030	1.146
rxn22291	RXN-11983.c		-16.400	-82.650	66.250	66.250	(1) O2[0] + (1) 8-methyltetraphene-1,5,6,11,12-pentol[0] => (1) H2O2[0] + (1) Dehydrorabelomycin[0]	h2o2;o2	0.000	0.000	4	19	77.240	2.484
rxn41887	THN monooxygenase		-58.030	-124.020	65.990	65.990	(1) O2[0] + (1) 1,3,6,8-Naphthalenetetrol[0] => (1) H2O[0] + (1) H+[0] + (1) Flaviolin[0]	h;h2o;o2	1.000	2.000	5	10	56.970	
rxn36855	quinone reductase	1.6.5.2	-25.540	40.290	-65.830	65.830	(1) NADH[0] + (1) H+[0] + (1) 2-Hexaprenyl-6-methoxy-1,4-benzoquinone[0] => (1) NAD[0] + (1) 2-methoxy-6-all trans-hexaprenyl-2-methoxy-1,4-benzoquinol[0]	h;nad;nadh	-1.000	-4.000	5	37	57.030	1.487
rxn36789	quinone reductase	1.6.5.2	-25.540	40.290	-65.830	65.830	(1) NADH[0] + (1) H+[0] + (1) 2-decaprenyl-6-methoxy-1,4-benzoquinone[0] => (1) NAD[0] + (1) 2-methoxy-6-all trans-decaprenyl-2-methoxy-1,4-benzoquinol[0]	h;nad;nadh	-1.000	-4.000	5	57	57.030	1.487
rxn36782	quinone reductase	1.6.5.2	-25.540	40.290	-65.830	65.830	(1) NADH[0] + (1) H+[0] + (1) 2-Hexaprenyl-6-methoxy-1,4-benzoquinone[0] => (1) NAD[0] + (1) 2-methoxy-6-all trans-hexaprenyl-2-methoxy-1,4-benzoquinol[0]	h;nad;nadh	-1.000	-4.000	5	37	57.030	1.487
rxn36863	quinone reductase	1.6.5.2	-25.540	40.290	-65.830	65.830	(1) NADH[0] + (1) H+[0] + (1) 2-decaprenyl-6-methoxy-1,4-benzoquinone[0] => (1) NAD[0] + (1) 2-methoxy-6-all trans-decaprenyl-2-methoxy-1,4-benzoquinol[0]	h;nad;nadh	-1.000	-4.000	5	57	57.030	1.487
rxn36865	quinone reductase	1.6.5.2	-25.540	40.290	-65.830	65.830	(1) NADH[0] + (1) H+[0] + (1) 2-nonaprenyl-6-methoxy-1,4-benzoquinone[0] => (1) NAD[0] + (1) 2-methoxy-6-all trans-nonaprenyl-2-methoxy-1,4-benzoquinol[0]	h;nad;nadh	-1.000	-4.000	5	52	57.030	1.487
rxn36791	quinone reductase	1.6.5.2	-25.540	40.290	-65.830	65.830	(1) NADH[0] + (1) H+[0] + (1) 2-nonaprenyl-6-methoxy-1,4-benzoquinone[0] => (1) NAD[0] + (1) 2-methoxy-6-all trans-nonaprenyl-2-methoxy-1,4-benzoquinol[0]	h;nad;nadh	-1.000	-4.000	5	52	57.030	1.487
rxn37549	SHIKIMATE-PQQ-RXN.c.metaexp.CPD-12115_DEMETHYLMENAQUINONE	1.1.5.8	-9.490	56.330	-65.820	65.820	(1) Shikimate[0] + (1) 2-Demethylmenaquinone 8[0] <=> (1) 3-Dehydroshikimate[0] + (1) 2-Demethylmenaquinol 8[0]		0.000	0.000	4	50	64.800	1.507
rxn37556	SHIKIMATE-PQQ-RXN.e.metaexp.CPD-12115_DEMETHYLMENAQUINONE	1.1.5.8	-9.490	56.330	-65.820	65.820	(1) Shikimate[0] + (1) 2-Demethylmenaquinone 8[0] <=> (1) 3-Dehydroshikimate[0] + (1) 2-Demethylmenaquinol 8[0]		0.000	0.000	4	50	64.800	1.507
rxn37557	SHIKIMATE-PQQ-RXN.e.metaexp.CPD-12830_CPD-6947	1.1.5.8	-9.490	56.330	-65.820	65.820	(1) Shikimate[0] + (1) Demethylphylloquinone[0] <=> (1) 3-Dehydroshikimate[0] + (1) 3-phytyl-1,4-naphtoquinol[0]		0.000	0.000	4	30	64.800	1.507
rxn37550	SHIKIMATE-PQQ-RXN.c.metaexp.CPD-12830_CPD-6947	1.1.5.8	-9.490	56.330	-65.820	65.820	(1) Shikimate[0] + (1) Demethylphylloquinone[0] <=> (1) 3-Dehydroshikimate[0] + (1) 3-phytyl-1,4-naphtoquinol[0]		0.000	0.000	4	30	64.800	1.507
