compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd00443	ABEE	C7H6NO2	-1	9	21.487
cpd05235	tetracosanoate	C24H47O2	-1	8	-21.442
cpd07395	Ononin	C22H22O9	0	5	21.296
cpd00639	Formononetin	C16H11O4	-1	8	-21.296
cpd03222	5alpha-Cholesta-7,24-dien-3beta-ol	C27H44O	0	10	21.073
cpd03221	Zymosterol	C27H44O	0	7	21.073
cpd00780	Fumarylacetoacetate	C8H6O6	-2	9	21.032
cpd23597	1,2-dipalmitoyl-phosphatidyl-ethanolamine	C37H74NO8P	0	7	-21.008
cpd24503	4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol	C29H48O2	0	12	20.836
cpd02533	1-Palmitoylglycerophosphocholine	C24H50NO7P	0	54	-20.610
cpd27285	indole-3-ketol	C10H9NO2	0	5	20.604
cpd00667	11-cis-Retinol	C20H30O	0	8	-20.448
cpd00763	4-Maleylacetoacetate	C8H6O6	-2	7	20.424
cpd24650	1D-myo-inositol (1,2,3,5,6) pentakisphosphate	C6H7O21P5	-10	7	-20.406
cpd00931	5-Amino-6--5-phosphoribosylaminouracil	C9H13N4O9P	-2	7	20.316
cpd00045	Adenosine 3-5-bisphosphate	C10H11N5O10P2	-4	11	-20.218
cpd00518	2-Hydroxymuconic semialdehyde	C6H5O4	-1	7	20.125
cpd03238	7alpha-Hydroxycholest-4-en-3-one	C27H44O2	0	5	-20.121
cpd00216	Chorismate	C10H8O6	-2	27	19.970
cpd00658	Isochorismate	C10H8O6	-2	9	19.964
cpd00463	Cholestenone	C27H44O	0	7	-19.934
cpd07830	Caffeyl aldehyde	C9H8O3	0	5	-19.827
cpd23245	2-hydroxybenzoyl-CoA	C28H36N7O18P3S	-4	11	-19.490
cpd00263	Pyridoxol	C8H11NO3	0	7	-19.397
cpd17741	8-Oxogeranial	C10H14O2	0	5	19.397
cpd02785	Pentagalloyl-beta-D-glucose	C41H31O26	-1	9	-19.092
cpd00493	Pyridoxamine phosphate	C8H12N2O5P	-1	13	-19.030
cpd15026	3-Hexenal	C6H10O	0	6	18.886
cpd00801	Cellobiose-1,5-lactone	C12H20O11	0	5	18.819
cpd03220	gamma-Carotene	C40H56	0	8	18.808
cpd26147	dipalmitoyl phosphatidate	C35H67O8P	-2	10	-18.769
cpd00689	Porphobilinogen	C10H13N2O4	-1	7	18.754
cpd02068	3-Methylglutaconyl-CoA	C27H37N7O19P3S	-5	5	18.699
cpd26606	glycerol tripalmitate	C51H98O6	0	5	-18.631
cpd34766	1,2-diolein	C39H72O5	0	18	18.520
cpd01966	Dimethylacryloyl-CoA	C26H38N7O17P3S	-4	5	18.409
cpd04073	Vanillate	C8H7O4	-1	7	-18.355
cpd06739	(R)-(+)-Citronellal	C10H18O	0	13	18.260
cpd08021	DMSO	C2H6OS	0	6	18.201
cpd03848	Arachidic acid	C20H39O2	-1	9	-18.094
cpd00868	p-hydroxyphenylpyruvate	C9H7O4	-1	42	17.952
cpd15297	Lignoceroyl-CoA	C45H78N7O17P3S	-4	12	-17.931
cpd00128	Adenine	C5H5N5	0	40	-17.925
cpd03691	Piperideine	C5H10N	1	10	17.846
cpd08210	ADC	C10H10NO5	-1	9	17.832
cpd03038	14-Demethyllanosterol	C29H48O	0	12	17.800
cpd00278	Indolepyruvate	C11H8NO3	-1	19	17.744
cpd17073	2-amino-2-deoxyisochorismic acid	C10H10NO5	-1	7	17.730
cpd25365	4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol	C28H45O3	-1	12	-17.644
cpd25459	1-buten-3-one	C4H6O	0	5	17.601
cpd40676	2-hexadecanoyl-sn-glycero-3-phosphocholine	C24H50NO7P	0	6	-17.570
cpd26605	1,2-dipalmitoylglycerol	C35H68O5	0	9	-17.502
cpd03709	Salicylaldehyde	C7H6O2	0	11	-17.432
cpd02780	Inositol 1,2,4,5,6-pentakisphosphate	C6H7O21P5	-10	7	-16.847
cpd00158	CELB	C12H22O11	0	16	16.748
cpd24940	hexacosanal	C26H52O	0	5	-16.746
cpd00076	Sucrose	C12H22O11	0	64	16.736
cpd01804	3-Hydroxykynurenine	C10H12N2O4	0	11	-16.580
cpd04395	Menadiol	C11H10O2	0	5	-16.555
cpd11217	1,4-Dihydroxy-2-naphthoyl-CoA	C32H38N7O19P3S	-4	5	-16.535
cpd11255	1,2-dihydroxy-3-keto-5-methylthiopentene	C6H10O3S	0	6	16.534
cpd00703	Indoleacetate	C10H8NO2	-1	36	16.463
cpd19486	16-Hydroxypalmitate	C16H31O3	-1	11	-16.460
cpd02435	Androstanolone	C19H30O2	0	10	-16.428
cpd02720	5-Amino-6--5-phosphoribitylaminouracil	C9H15N4O9P	-2	7	16.423
cpd01080	ocdca	C18H35O2	-1	28	-16.415
cpd01342	Pregnenolone	C21H32O2	0	6	16.412
cpd00450	Methyl sulfide	C2H6S	0	10	16.396
cpd08238	(S)-(-)-Citronellal	C10H18O	0	14	16.339
cpd03480	2-Hydroxyphenylacetate	C8H7O3	-1	11	-16.249
cpd00239	H2S	HS	-1	15	-16.216
cpd00794	TRHL	C12H22O11	0	32	16.186
cpd00616	Pretyrosine	C10H12NO5	-1	11	16.120
cpd00217	Brachiose	C12H22O11	0	8	16.117
cpd02730	3-Deoxy-D-manno-octulosonate8-phosphate	C8H12O11P	-3	7	-16.097
cpd23440	4-isopropylcyclohexenecarbaldehyde	C10H16O	0	28	-16.052
cpd00378	Formamide	CH3NO	0	6	-16.021
cpd08252	(1R,4R)-Dihydrocarvone	C10H16O	0	5	-15.958
cpd00179	Maltose	C12H22O11	0	35	15.950
cpd00613	Hexadecanol	C16H34O	0	12	-15.907
cpd00019	S-Adenosyl-homocysteine	C14H20N6O5S	0	37	-15.775
cpd25195	1-16:0-lysoPE	C21H44NO7P	0	15	-15.748
cpd00742	Allophanate	C2H3N2O3	-1	5	-15.702
cpd00343	N-Carbamoyl-L-aspartate	C5H6N2O5	-2	8	-15.672
cpd01693	6-Phosphosucrose	C12H21O14P	-2	16	15.615
cpd02129	3-Hydroxybenzyl alcohol	C7H8O2	0	5	-15.579
cpd23791	(Z)-2-buten-1-ol	C4H8O	0	7	15.562
cpd00046	CMP	C9H12N3O8P	-2	11	-15.553
cpd00365	Retinol	C20H30O	0	13	-15.546
cpd00778	2,5-Dihydroxypyridine	C5H5NO2	0	7	-15.520
cpd24651	1D-myo-inositol (1,2,5,6) tetrakisphosphate	C6H8O18P4	-8	6	-15.466
cpd24475	4alpha-methyl-cholesta-8-enol	C28H48O	0	12	-15.425
cpd00206	dCMP	C9H12N3O7P	-2	7	-15.424
cpd00093	Anthranilate	C7H6NO2	-1	25	15.420
cpd00214	Palmitate	C16H31O2	-1	62	-15.327
cpd01074	Nigerose	C12H22O11	0	7	15.284
cpd01061	Geranial	C10H16O	0	34	15.224
cpd15329	1-octadecanoyl-sn-glycerol 3-phosphate	C21H41O7P	-2	15	-15.201
cpd00073	Urea	CH4N2O	0	33	-15.135
cpd24942	tetracosanal	C24H48O	0	5	-15.071
cpd00464	alpha-Tolualdehyde	C8H8O	0	22	15.007
cpd00709	beta D-Galactose	C6H12O6	0	35	-15.005
cpd00127	Phenol	C6H6O	0	13	-15.000
cpd02103	N2-Succinyl-L-arginine	C10H17N4O5	-1	8	-14.990
cpd05405	Leaf aldehyde	C6H10O	0	8	14.966
cpd00215	Pyridoxal	C8H9NO3	0	13	-14.960
cpd01243	Desmosterol	C27H44O	0	6	14.928
cpd17424	2-Aminobut-2-enoate	C4H7NO2	0	7	14.927
cpd00551	DTYL	C4H6O2	0	5	14.887
cpd00920	4-(2-Aminophenyl)-2,4-dioxobutanoate	C10H8NO4	-1	16	14.819
cpd28293	UDP-GLUCOSE	C15H22N2O17P2	-2	12	14.643
cpd00478	Pyridoxine phosphate	C8H10NO6P	-2	7	-14.630
cpd01393	Icosanoyl-CoA	C41H70N7O17P3S	-4	23	-14.587
cpd00192	4-Coumaroyl-CoA	C30H38N7O18P3S	-4	57	14.565
cpd00465	Ureidoglycolate	C3H5N2O4	-1	15	-14.392
cpd01466	Maleylpyruvate	C7H4O6	-2	5	14.340
cpd24935	1-tetradecanol	C14H30O	0	9	-14.232
cpd00051	L-Arginine	C6H15N4O2	1	58	-14.217
cpd14544	4alpha-Methylzymosterol-4-carboxylate	C29H45O3	-1	16	14.209
cpd02262	7alpha-Hydroxycholesterol	C27H46O2	0	5	-14.144
cpd06761	Nerol	C10H18O	0	6	14.142
cpd02125	Tiglyl-CoA	C26H38N7O17P3S	-4	12	14.107
cpd05400	3-Hexenol	C6H12O	0	7	14.106
cpd00653	D-Galactonate	C6H11O7	-1	5	-14.065
cpd00724	alpha-D-Galactose	C6H12O6	0	22	-14.038
cpd00943	Inositol 1,3,4,5,6-pentakisphosphate	C6H7O21P5	-10	8	-13.995
cpd17740	8-Hydroxygeraniol	C10H18O2	0	6	13.946
