compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd22621	(3R)-3-hydroxy-stearoyl-CoA	C39H66N7O18P3S	-4	5	-8.669
cpd00065	L-Tryptophan	C11H12N2O2	0	37	8.634
cpd02067	3-Indoleglycolaldehyde	C10H9NO2	0	9	8.630
cpd05498	beta-Cryptoxanthin	C40H56O	0	5	-8.620
cpd00298	dTMP	C10H13N2O8P	-2	10	-8.616
cpd00285	Phosphoethanolamine	C2H7NO4P	-1	7	-8.599
cpd01889	4-Acetamidobutanoate	C6H10NO3	-1	6	-8.497
cpd22622	16:1-delta9-CoA	C37H60N7O17P3S	-4	16	8.492
cpd01487	alpha-D-Xylose	C5H10O5	0	11	-8.459
cpd35301	keto-L-sorbose	C6H12O6	0	7	8.422
cpd00433	(+)-Neomenthol	C10H20O	0	6	-8.358
cpd00405	Hexadecanal	C16H32O	0	13	-8.351
cpd09879	S-(Hydroxymethyl)glutathione	C11H18N3O7S	-1	6	8.335
cpd00759	S-Formylglutathione	C11H16N3O7S	-1	6	-8.335
cpd01495	Dehydroalanine	C3H5NO2	0	12	8.313
cpd01758	N-Acetylputrescine	C6H15N2O	1	10	-8.297
cpd00738	phosphoserine	C3H6NO6P	-2	9	-8.263
cpd01257	L-Galactose	C6H12O6	0	6	8.251
cpd24549	(+)-isomenthol	C10H20O	0	5	-8.240
cpd03844	alpha-Cellobiose	C12H22O11	0	5	8.159
cpd02295	1-4-Dihydroxy-2-naphthoate	C11H7O4	-1	6	-8.144
cpd08265	(1R,2R,4S)-Iso-dihydrocarveol	C10H18O	0	5	-8.097
cpd03845	beta-Cellobiose	C12H22O11	0	8	8.056
cpd01720	3-Ureidopropanoate	C4H7N2O3	-1	5	-8.047
cpd40675	1-hexadecanoyl-N-(acetyl)-sphing-4-enine	C36H69NO4	0	9	-8.011
cpd03846	octanoate	C8H15O2	-1	17	-8.009
cpd01711	Isobutyrate	C4H7O2	-1	5	-7.980
cpd00156	L-Valine	C5H11NO2	0	14	-7.954
cpd00146	Carbamoylphosphate	CH2NO5P	-2	17	-7.931
cpd00023	L-Glutamate	C5H8NO4	-1	297	-7.911
cpd03607	4-(Phosphonooxy)-threonine	C4H8NO7P	-2	5	-7.870
cpd22119	4-(Phosphonooxy)-L-threonine	C4H8NO7P	-2	5	-7.870
cpd09688	1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	C42H82NO8P	0	7	-7.861
cpd40495	1-(9Z-octadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine	C42H82NO8P	0	5	-7.858
cpd00186	D-Glutamate	C5H8NO4	-1	13	-7.854
cpd01260	Lauroyl-CoA	C33H54N7O17P3S	-4	33	-7.852
cpd01034	Toluol	C7H8	0	7	7.797
cpd01733	Ferulaldehyde	C10H10O3	0	11	7.782
cpd00299	dUMP	C9H11N2O8P	-2	12	-7.781
cpd00345	5-Methyltetrahydrofolate	C20H23N7O6	-2	16	-7.750
cpd24293	protodeoxyviolaceinate	C21H14N3O2	-1	8	7.694
cpd24292	protoviolaceinate	C21H14N3O3	-1	6	-7.694
cpd00011	CO2	CO2	0	924	7.644
cpd00911	6-phospho-D-glucono-1-5-lactone	C6H9O9P	-2	13	7.636
cpd00067	H+	H	1	5598	7.634
cpd00037	UDP-N-acetylglucosamine	C17H25N3O17P2	-2	17	7.612
cpd16244	MTAL	C4H8OS	0	6	7.574
cpd03662	n-Butanol	C4H10O	0	13	-7.574
cpd27216	hexanol	C6H14O	0	7	-7.552
cpd02528	UDP-4-oxo-6-deoxy-D-glucose	C15H20N2O16P2	-2	6	7.550
cpd30321	beta-D-Fructose	C6H12O6	0	35	-7.548
cpd19069	Phenylacetic acid	C8H7O2	-1	9	7.538
cpd00819	L-Arabinono-1,4-lactone	C5H8O5	0	12	7.527
cpd00705	L-2-Aminoadipate	C6H10NO4	-1	13	-7.489
cpd01062	Geraniol	C10H18O	0	15	7.484
cpd00126	GMP	C10H12N5O8P	-2	12	-7.473
cpd03521	Dihydroneopterin phosphate	C9H12N5O7P	-2	5	-7.464
cpd00281	GABA	C4H9NO2	0	27	-7.448
cpd00341	N-Carbamoylputrescine	C5H14N3O	1	8	-7.421
cpd08264	(1R,2S,4S)- Neoiso-dihydrocarveol	C10H18O	0	5	-7.396
cpd01157	Chitobiose	C16H28N2O11	0	11	7.395
cpd01627	alpha-L-Rhamnose	C6H12O5	0	5	-7.378
cpd19019	L-Cystathionine	C7H14N2O4S	0	10	-7.370
cpd19108	(-)-Linalool	C10H18O	0	6	7.351
cpd00663	Acrylyl-CoA	C24H34N7O17P3S	-4	20	7.336
cpd00441	(CH3)3N	C3H10N	1	9	-7.322
cpd00852	beta-Glucogallin	C13H16O10	0	26	7.310
cpd00516	meso-2,6-Diaminopimelate	C7H14N2O4	0	7	-7.269
cpd01234	Campesterol	C28H48O	0	8	7.267
cpd00117	D-Alanine	C3H7NO2	0	37	-7.242
cpd00035	L-Alanine	C3H7NO2	0	109	-7.209
cpd28229	trans-2-hexenol	C6H12O	0	5	7.196
cpd03123	3-Oxohexanoyl-CoA	C27H40N7O18P3S	-4	7	7.173
cpd01527	D-Xylonolactone	C5H8O5	0	8	7.164
cpd08250	(1R,2R,4R)-Dihydrocarveol	C10H18O	0	5	-7.139
cpd15069	7-Methylxanthine	C6H6N4O2	0	6	-7.095
cpd00144	UDPglucuronate	C15H19N2O18P2	-3	16	7.094
cpd00472	UDPgalacturonate	C15H19N2O18P2	-3	8	7.084
cpd27408	Linalools	C10H18O	0	5	7.075
cpd05264	beta-D-Glucuronic acid	C6H9O7	-1	9	-7.071
cpd00211	Butyrate	C4H7O2	-1	19	-7.069
cpd02535	2,3-Dihydroxy-3-methylvalerate	C6H11O4	-1	17	-7.065
cpd00504	LL-2,6-Diaminopimelate	C7H14N2O4	0	6	-7.059
cpd02024	Phosphonoacetaldehyde	C2H4O4P	-1	7	-7.051
cpd11193	benzylacetate	C9H10O2	0	5	6.985
cpd02532	1-O,6-O-Digalloyl-beta-D-glucose	C20H20O14	0	6	6.978
cpd00185	D-Arabinose	C5H10O5	0	8	6.950
cpd00604	4-Coumarate	C9H7O3	-1	16	6.949
cpd03105	Acetol	C3H6O2	0	14	6.937
cpd00091	UMP	C9H11N2O9P	-2	46	-6.925
cpd15204	(S)-3-Hydroxyoctadecanoyl-CoA	C39H66N7O18P3S	-4	5	-6.863
cpd00105	D-Ribose	C5H10O5	0	23	6.853
cpd11203	Phenylglyoxylyl-CoA	C29H36N7O18P3S	-4	8	6.840
cpd22007	3-dehydro-alpha-D-glucose	C6H10O6	0	5	-6.822
cpd05262	galacturonate	C6H9O7	-1	10	-6.806
cpd00399	Oleoyl-CoA	C39H64N7O17P3S	-4	51	6.799
cpd02671	1-O,2-O,6-O-Trigalloyl-beta-D-glucose	C27H24O18	0	5	6.795
cpd16638	cis-octadec-9-enoyl-coa	C39H64N7O17P3S	-4	14	6.793
cpd25359	4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol	C29H50O2	0	12	-6.793
cpd02416	N-Acetyl-beta-D-glucosamine	C8H15NO6	0	10	-6.778
cpd00041	L-Aspartate	C4H6NO4	-1	64	-6.775
cpd16494	DL-Glyceryl 1-phosphate	C3H7O6P	-2	6	-6.765
cpd01698	alpha-L-Arabinose	C5H10O5	0	5	-6.760
cpd00589	D-Tagatose	C6H12O6	0	5	-6.716
cpd02095	L-2,4-Diaminobutyrate	C4H11N2O2	1	6	-6.715
cpd00082	D-Fructose	C6H12O6	0	58	6.714
cpd02045	1-Hydroxy-2-naphthoate	C11H7O3	-1	6	-6.688
cpd00425	(CH3)2NH	C2H8N	1	10	-6.677
cpd15642	tetradecanal	C14H28O	0	7	-6.675
cpd24657	1D-myo-inositol (1,2,3,4) tetrakisphosphate	C6H8O18P4	-8	8	-6.671
cpd24652	1D-myo-inositol (1,2,3,6) tetrakisphosphate	C6H8O18P4	-8	10	-6.671
cpd01507	3-Oxoadipyl-CoA	C27H37N7O20P3S	-5	5	6.666
cpd00027	D-Glucose	C6H12O6	0	164	6.653
cpd00712	2-Dehydropantoate	C6H9O4	-1	10	6.641
cpd00138	D-Mannose	C6H12O6	0	12	6.614
cpd00225	Benzaldehyde	C7H6O	0	19	6.613
cpd16126	5-keto-4-deoxyuronate	C6H7O6	-1	13	6.568
cpd00910	Galactinol	C12H22O11	0	20	6.565
cpd02361	4-Hydroxyphenylacetaldehyde	C8H8O2	0	17	6.553
cpd02398	Zymostenol	C27H46O	0	8	-6.515
cpd00877	Lathosterol	C27H46O	0	12	-6.501
cpd00424	Cystathionine	C7H14N2O4S	0	6	-6.489
cpd08270	(1S,2R,4S)-Neo-dihydrocarveol	C10H18O	0	5	-6.487
cpd08685	Abietal	C20H30O	0	11	-6.445
cpd27437	MANNOSE	C6H12O6	0	6	6.442
cpd08251	(1R,2S,4R)-Neo-dihydrocarveol	C10H18O	0	5	-6.434
cpd00497	XMP	C10H11N4O9P	-2	7	6.402
cpd01646	2-Isopropylmalate	C7H10O5	-2	8	-6.400
cpd00876	3-Hydroxyisobutyrate	C4H7O3	-1	8	-6.382
cpd01113	Hexanoate	C6H11O2	-1	10	-6.367
cpd00727	2-Phosphoglycolate	C2H2O6P	-3	7	-6.349
cpd00085	beta-Alanine	C3H7NO2	0	31	-6.327
cpd25136	1-16:0-2-18:2-phosphatidylethanolamine	C39H74NO8P	0	10	-6.280
cpd00009	Phosphate	HO4P	-2	676	-6.277
cpd00379	Glutarate	C5H6O4	-2	7	-6.210
cpd00726	1,3-Propanediamine	C3H12N2	2	19	-6.202
cpd00212	L-Sorbose	C6H12O6	0	7	6.182
cpd03128	Decanoyl-CoA	C31H50N7O17P3S	-4	22	-6.179
cpd00851	trans-4-Hydroxy-L-proline	C5H9NO3	0	10	-6.157
cpd00934	Inositol 1,3,4,5-tetrakisphosphate	C6H8O18P4	-8	6	-6.150
cpd00277	Deoxyguanosine	C10H13N5O4	0	12	-6.140
cpd02691	2-methyl-3-hydroxy-butyryl-CoA	C26H40N7O18P3S	-4	8	6.129
cpd03710	trans-O-Hydroxybenzylidenepyruvate	C10H7O4	-1	7	6.121
cpd00982	FADH2	C27H33N9O15P2	-2	119	6.100
cpd24270	(2E)-arachidoenoyl-CoA	C41H68N7O17P3S	-4	8	-6.095
cpd00187	Methanamine	CH6N	1	20	-6.070
cpd08680	Abietol	C20H32O	0	10	-6.062
cpd00352	delta1-Piperideine-6-L-carboxylate	C6H8NO2	-1	10	-6.057
cpd01879	3-Dehydrosphinganine	C18H38NO2	1	10	-6.050
cpd00496	D-Arabinono-1,4-lactone	C5H8O5	0	15	6.040
cpd00652	D-Mucic acid	C6H8O8	-2	13	-6.034
cpd03526	N-Succinyl-L-glutamate 5-semialdehyde	C9H11NO6	-2	6	-6.033
cpd01059	Ferulate	C10H9O4	-1	9	-6.032
cpd00169	3-Phosphoglycerate	C3H4O7P	-3	20	-6.024
cpd14533	22alpha-Hydroxy-5alpha-campestan-3-one	C28H48O2	0	7	-5.987
cpd02693	3-Isopropylmalate	C7H10O5	-2	7	-5.967
cpd00869	4-methylthio 2-oxobutyrate	C5H7O3S	-1	27	5.965
cpd00666	Tartrate	C4H4O6	-2	5	-5.957
cpd00163	UDP-xylose	C14H20N2O16P2	-2	9	5.943
cpd00691	UDP-L-arabinose	C14H20N2O16P2	-2	5	5.923
cpd00039	L-Lysine	C6H15N2O2	1	45	-5.901
cpd32830	sucrose-3-lauroyl-4-isovalerate	C29H52O13	0	5	5.897
cpd02531	1-Linoleoylglycerophosphocholine	C26H50NO7P	0	6	-5.880
cpd00482	2-Phospho-D-glycerate	C3H4O7P	-3	13	-5.876
cpd00886	D-3-Amino-isobutanoate	C4H9NO2	0	5	-5.873
cpd01450	Corticosterone	C21H30O4	0	5	5.869
cpd02706	(E)-3,7-Dimethylocta-1,6-diene-3,8-diol	C10H18O2	0	5	5.863
cpd00795	(R)-2-Hydroxyglutarate	C5H6O5	-2	10	-5.863
cpd00033	Glycine	C2H5NO2	0	118	-5.860
cpd02748	1,2,3,6-Tetrakis-O-galloyl-beta-D-glucose	C34H28O22	0	5	5.857
cpd00339	5-Aminopentanoate	C5H11NO2	0	9	-5.846
cpd03637	Zeaxanthin	C40H56O2	0	13	-5.840
cpd01974	4-Hydroxy-L-glutamate	C5H8NO5	-1	5	-5.839
cpd00404	D-Ornithine	C5H13N2O2	1	6	-5.815
cpd01573	(S)-2-Aminobutanoate	C4H9NO2	0	10	-5.807
cpd00501	beta-D-Glucose 1-phosphate	C6H11O9P	-2	19	5.799
cpd28037	RIBOSE	C5H10O5	0	17	5.787
cpd08267	(1S,2S,4S)-Dihydrocarveol	C10H18O	0	5	-5.784
cpd02812	D-erythro-Isocitric acid	C6H5O7	-3	8	-5.782
cpd00017	S-Adenosyl-L-methionine	C15H23N6O5S	1	34	-5.763
cpd01501	2-Methylcitrate	C7H7O7	-3	12	-5.758
cpd00417	L-Lyxitol	C5H12O5	0	14	-5.736
cpd00549	D-Lysine	C6H15N2O2	1	9	-5.706
cpd03055	Imidazolone acetate	C5H5N2O3	-1	7	-5.682
cpd03125	(2E)-Hexenoyl-CoA	C27H40N7O17P3S	-4	14	5.677
cpd00029	Acetate	C2H3O2	-1	192	-5.667
cpd00036	Succinate	C4H4O4	-2	179	-5.650
cpd01024	Methane	CH4	0	16	-5.640
cpd01182	Kynurenate	C10H6NO3	-1	16	-5.637
cpd00470	N1-Acetylspermidine	C9H23N3O	2	10	-5.635
cpd26821	D-Glucose	C6H12O6	0	10	5.624
cpd00353	D-threo-Isocitric acid	C6H5O7	-3	22	-5.598
cpd01834	MEK	C4H8O	0	5	5.580
cpd00918	2-Acetamido-5-oxopentanoate	C7H10NO4	-1	8	-5.571
cpd25360	4alpha-formyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol	C29H48O2	0	14	-5.566
cpd03121	3-Oxooctanoyl-CoA	C29H44N7O18P3S	-4	10	5.557
cpd00550	D-Serine	C3H7NO3	0	9	-5.548
cpd00919	Homocitrate	C7H7O7	-3	5	-5.547
cpd08243	(+)-Linalool	C10H18O	0	10	5.547
cpd00161	L-Threonine	C4H9NO3	0	32	-5.547
cpd00797	(R)-3-Hydroxybutanoate	C4H7O3	-1	8	-5.533
cpd08254	(1S,2R,4R)-Neoiso-dihydrocarveol	C10H18O	0	5	-5.528
cpd01155	Cadaverine	C5H16N2	2	8	-5.508
cpd01490	beta-D-Mannose	C6H12O6	0	5	-5.487
cpd05170	Verbascose	C30H52O26	0	10	5.464
cpd23288	3-(4-hydroxyphenyl)-3-keto-propanoyl-CoA	C30H38N7O19P3S	-4	6	-5.456
cpd00930	imidazole acetol-phosphate	C6H7N2O5P	-2	7	5.438
cpd19043	(S)-3-Hydroxyisobutyrate	C4H7O3	-1	6	-5.429
cpd23287	3-(4-hydroxyphenyl)-3-hydroxy-propanoyl-CoA	C30H40N7O19P3S	-4	6	-5.325
cpd00221	D-Lactate	C3H5O3	-1	31	-5.319
cpd10408	Isobutyl alcohol	C4H10O	0	7	-5.306
cpd00159	L-Lactate	C3H5O3	-1	23	-5.306
cpd24753	4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-dial	C14H16O2	0	9	-5.279
cpd01258	L-Norvaline	C5H11NO2	0	5	-5.260
cpd00340	2,5-Dioxopentanoate	C5H5O4	-1	8	5.254
cpd02884	FAICAR	C10H13N4O9P	-2	6	5.253
cpd00089	Glucose-1-phosphate	C6H11O9P	-2	58	5.231
cpd00875	KDO	C8H13O8	-1	8	5.221
cpd01577	2-Oxosuccinamate	C4H4NO4	-1	8	-5.196
cpd03113	(S)-3-Hydroxyhexadecanoyl-CoA	C37H62N7O18P3S	-4	6	-5.192
cpd26831	D-Xylose	C5H10O5	0	5	5.185
cpd03559	Optal	C3H8O	0	10	-5.180
cpd00488	PGF2a	C20H33O5	-1	9	5.179
cpd00308	Malonate	C3H2O4	-2	14	-5.160
cpd00010	CoA	C21H32N7O16P3S	-4	1172	-5.157
cpd03052	Imidazole acetaldehyde	C5H6N2O	0	8	5.156
cpd00485	D-Mannose1-phosphate	C6H11O9P	-2	15	5.148
cpd01419	Ureidoglycine	C3H7N3O3	0	8	-5.132
cpd02448	2,4-Diaminopentanoate	C5H13N2O2	1	5	-5.115
cpd02041	(S)-2-Hydroxyglutarate	C5H6O5	-2	7	-5.108
cpd00579	Serotonin	C10H13N2O	1	21	-5.103
cpd00695	2-Oxoglutaramate	C5H6NO4	-1	20	-5.102
cpd19042	L-erythro-4-Hydroxyglutamate	C5H8NO5	-1	14	-5.100
cpd00448	D-Glyceraldehyde	C3H6O3	0	18	5.094
cpd00412	Deoxyuridine	C9H12N2O5	0	9	-5.078
cpd10516	Fe+3	Fe	3	11	5.071
cpd10515	Fe+2	Fe	2	13	-5.071
cpd25508	2-O-digalloyl-1,3,4,6-tetra-O-beta-D-galloylglucose	C48H35O30	-1	6	5.064
cpd00013	NH3	H4N	1	534	-5.061
cpd00363	Ethanol	C2H6O	0	38	-5.048
cpd01270	FMNH2	C17H21N4O9P	-2	22	-5.043
cpd00456	3-Hydroxybenzoate	C7H5O3	-1	9	-5.028
cpd01629	beta-L-Arabinose	C5H10O5	0	6	-5.024
cpd03608	4-Hydroxy-L-threonine	C4H9NO4	0	5	-5.016
cpd01682	O-Acetylcarnitine	C9H17NO4	0	6	4.998
cpd00630	3-Oxoadipate	C6H6O5	-2	5	4.998
cpd01535	Dodecanal	C12H24O	0	9	-4.998
cpd05274	Palmitoleic acid	C16H29O2	-1	9	4.983
cpd03372	Homoisocitrate	C7H7O7	-3	6	-4.973
cpd02364	2-Oxo-5-guanidinopentanoate	C6H11N3O3	0	8	-4.947
cpd02259	4-Hydroxybenzoylformate	C8H5O4	-1	6	-4.935
cpd00184	Thymidine	C10H14N2O5	0	6	-4.930
cpd00080	Glycerol-3-phosphate	C3H7O6P	-2	74	-4.928
cpd27282	indole-3-glycol	C10H11NO2	0	5	4.922
cpd09576	Paraxanthine	C7H8N4O2	0	5	-4.909
cpd01599	Glutaconyl-1-CoA	C26H35N7O19P3S	-5	7	4.905
cpd00475	Ribose 1-phosphate	C5H9O8P	-2	20	4.897
cpd01680	N1-Acetylspermine	C12H31N4O	3	9	-4.897
cpd00054	L-Serine	C3H7NO3	0	86	-4.894
cpd01298	Aminoacetone	C3H8NO	1	12	4.874
cpd01700	D-Citramalate	C5H6O5	-2	6	-4.861
cpd11314	L-Sorbosonate	C6H9O7	-1	5	4.845
cpd01892	4-Hydroxybenzoyl-CoA	C28H36N7O18P3S	-4	7	-4.838
cpd08253	(1S,2S,4R)-Iso-dihydrocarveol	C10H18O	0	5	-4.824
cpd00546	Cortisol	C21H30O5	0	9	4.820
cpd00566	Cortisone	C21H28O5	0	5	-4.820
cpd00900	GDP-4-dehydro-D-rhamnose	C16H21N5O15P2	-2	17	4.812
cpd00524	2-Inosose	C6H10O6	0	8	-4.802
cpd20873	9,10-Epoxy-18-hydroxystearate	C18H33O4	-1	5	4.801
cpd20874	9,10,18-Trihydroxystearate	C18H35O5	-1	5	-4.801
cpd26845	DEOXY-RIBOSE-1P	C5H9O7P	-2	9	4.801
cpd03223	5,7,22,24(28)-Ergostatetraenol	C28H42O	0	6	4.798
cpd02508	5-Dehydro-4-deoxy-D-glucuronate	C6H7O6	-1	16	-4.791
cpd00260	Isocitrate	C6H5O7	-3	24	-4.780
cpd00267	Sphingoid	C18H38NO2	1	25	4.767
cpd00180	Oxalate	C2O4	-2	12	-4.759
cpd00047	Formate	CHO2	-1	90	-4.752
cpd26629	alpha-L-galactose-1-phosphate	C6H11O9P	-2	5	4.737
cpd14655	L-Galactose 1-phosphate	C6H11O9P	-2	5	4.737
cpd25144	1-(9Z-octadecenoyl)-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphoethanolamine	C41H76NO8P	0	6	4.734
cpd25197	1-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine	C23H46NO7P	0	12	-4.734
cpd41215	1',3'-bis-[1,2-di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho]-glycerol	C81H140O17P2	-2	8	4.734
cpd41214	1'-[1,2-di-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho]-3'-[1-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phospho]-glycerol	C63H110O16P2	-2	10	-4.734
cpd35523	1-14:0-2-lysophosphatidylcholine	C22H46NO7P	0	7	-4.733
cpd41488	1-tetradecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine	C40H76NO8P	0	5	4.733
cpd00087	Tetrahydrofolate	C19H21N7O6	-2	44	-4.690
cpd19028	alpha-D-Ribose 5-phosphate	C5H9O8P	-2	15	-4.655
cpd23049	1H-indole-3-ethanol, 5-hydroxy-	C10H11NO2	0	5	-4.625
cpd00130	L-Malate	C4H4O5	-2	54	-4.624
cpd00137	Citrate	C6H5O7	-3	21	-4.582
cpd03198	Melibiose	C12H22O11	0	7	4.565
cpd00323	L-Pipecolate	C6H11NO2	0	8	-4.552
cpd14659	L-Galactonate	C6H11O7	-1	7	-4.533
cpd02187	Methacrylyl-CoA	C25H36N7O17P3S	-4	11	4.531
cpd24263	3-oxo-arachidoyl-CoA	C41H68N7O18P3S	-4	5	-4.530
cpd02312	5alpha-Pregnane-3,20-dione	C21H32O2	0	7	4.529
cpd00139	Glycolate	C2H3O3	-1	27	-4.528
cpd04533	Isoamyl alcohol	C5H12O	0	8	-4.527
cpd00193	APS	C10H12N5O10PS	-2	5	4.513
cpd01335	Octanoyl-CoA	C29H46N7O17P3S	-4	24	-4.501
cpd02246	CoM	C2H5O3S2	-1	21	-4.484
cpd02438	Methyl CoM	C3H7O3S2	-1	13	4.484
cpd00866	17alpha-Hydroxyprogesterone	C21H30O3	0	9	-4.481
cpd00118	Putrescine	C4H14N2	2	34	-4.457
cpd00745	Hydracrylic acid	C3H5O3	-1	10	-4.455
cpd19030	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	-1	8	-4.445
cpd00871	D-Ribulose 1,5-bisphosphate	C5H8O11P2	-4	6	-4.419
cpd00447	Betaine aldehyde	C5H12NO	1	19	4.403
cpd00822	O-Succinyl-L-homoserine	C8H12NO6	-1	10	-4.379
cpd14937	(2E)-Octadecenoyl-CoA	C39H64N7O17P3S	-4	12	-4.373
cpd00781	5-Dehydrogluconate	C6H9O7	-1	7	4.349
cpd03597	Tyrosol	C8H10O2	0	7	4.335
cpd03228	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	C27H46O3	0	5	4.322
cpd02773	3alpha,7alpha-Dihydroxy-5beta-cholestanate	C27H45O4	-1	5	-4.322
cpd00279	Acetoacetyl-CoA	C25H36N7O18P3S	-4	27	4.315
cpd00176	2-keto-3-deoxygluconate	C6H9O6	-1	14	4.289
cpd00072	D-fructose-6-phosphate	C6H11O9P	-2	40	4.279
cpd00208	LACT	C12H22O11	0	11	4.275
cpd02047	DOC	C21H30O3	0	6	4.265
cpd26807	D-ARABINOSE	C5H10O5	0	5	4.260
cpd24273	(2E)-cerotenoyl-CoA	C47H80N7O17P3S	-4	7	4.260
cpd00157	Glycerone	C3H6O3	0	9	4.249
cpd00162	Aminoethanol	C2H8NO	1	39	-4.241
cpd14588	9,9'-Di-cis-zeta-carotene	C40H60	0	14	-4.234
cpd26581	cerotoyl-CoA	C47H82N7O17P3S	-4	8	-4.229
cpd00449	Dihydrolipoamide	C8H17NOS2	0	15	-4.220
cpd00992	1,2-Ethanediol	C2H6O2	0	5	-4.205
cpd19488	Palustradienal	C20H30O	0	9	-4.195
cpd01734	D-Galactono-1,5-lactone	C6H10O6	0	5	-4.131
cpd00693	D-Lactaldehyde	C3H6O2	0	15	4.094
cpd00114	IMP	C10H11N4O8P	-2	22	-4.086
cpd00334	L-Lactaldehyde	C3H6O2	0	20	4.083
cpd00386	D-Malate	C4H4O5	-2	5	-4.080
cpd14552	3-Keto-4-methylzymosterol	C28H44O	0	7	4.079
cpd01709	2-Hydroxyglutarate	C5H6O5	-2	6	-4.072
cpd02211	L-2-Amino-acetoacetate	C4H7NO3	0	9	4.042
cpd19016	Ornithine	C5H13N2O2	1	13	-4.032
cpd03130	(2E)-Octenoyl-CoA	C29H44N7O17P3S	-4	14	4.017
cpd26609	sphing-4-enine-16-ceramide	C34H67NO3	0	6	-4.011
cpd00364	Chinone	C6H4O2	0	10	4.004
cpd01092	Allantoin	C4H6N4O3	0	7	-3.999
cpd00898	Inositol 1,4-bisphosphate	C6H10O12P2	-4	6	3.970
cpd00668	ALCTT	C5H7O4	-1	9	3.966
cpd00154	Xylose	C5H10O5	0	13	3.962
cpd02096	L-3-Amino-isobutyrate	C4H9NO2	0	5	-3.955
cpd00400	Acrylate	C3H3O2	-1	10	3.954
cpd01943	2,5-Diketocamphane	C10H14O2	0	6	-3.936
cpd02180	(+)-exo-5-Hydroxycamphor	C10H16O2	0	5	3.936
cpd00235	D-mannose-6-phosphate	C6H11O9P	-2	17	3.935
cpd03119	3-Oxodecanoyl-CoA	C31H48N7O18P3S	-4	8	3.905
cpd01123	Maleamate	C4H4NO3	-1	7	-3.878
cpd02188	2-trans,6-trans-Farnesal	C15H24O	0	14	3.869
cpd00829	2-trans,6-trans-Farnesol	C15H26O	0	5	-3.869
cpd00374	Tyramine	C8H12NO	1	13	3.856
cpd00418	NO	NO	0	5	-3.838
cpd00409	Androsterone	C19H30O2	0	5	-3.824
cpd19006	alpha-D-Glucose 6-phosphate	C6H11O9P	-2	23	-3.819
cpd00863	beta-D-Glucose 6-phosphate	C6H11O9P	-2	43	-3.807
cpd19487	Palustradienol	C20H32O	0	9	-3.805
cpd02484	Inositol 3-phosphate	C6H11O9P	-2	11	3.790
cpd20870	18-Oxooleate	C18H31O3	-1	5	3.782
cpd20869	18-Hydroxyoleate	C18H33O3	-1	5	-3.782
cpd20876	22-Hydroxydocosanoate	C22H43O3	-1	6	-3.781
cpd20877	22-Oxo-docosanoate	C22H41O3	-1	7	3.781
cpd24939	eicosanal	C20H40O	0	7	3.780
cpd24932	1-eicosanol	C20H42O	0	7	-3.780
cpd26869	DIOH-ISOVALERATE	C5H9O4	-1	6	-3.773
cpd02498	2,3-Dihydroxy-isovalerate	C5H9O4	-1	9	-3.771
cpd00238	Sedoheptulose7-phosphate	C7H13O10P	-2	27	3.768
cpd00074	S	S	0	5	-3.748
cpd00223	Glycerate	C3H5O4	-1	27	-3.742
cpd00064	Ornithine	C5H13N2O2	1	46	-3.739
cpd00326	Sinapoyl-CoA	C32H42N7O20P3S	-4	8	-3.723
cpd03333	Sinapaldehyde	C11H12O4	0	5	3.723
cpd00245	Aniline	C6H7N	0	9	3.688
cpd00765	L-Gulonolactone	C6H10O6	0	7	3.679
cpd03260	5beta-Pregnane-3,20-dione	C21H32O2	0	5	3.679
cpd01170	Ergosterol	C28H44O	0	8	-3.614
cpd36209	CPD-15709	C6H11O9P	-2	7	3.610
cpd00401	Benzoyl-CoA	C28H36N7O17P3S	-4	30	3.610
cpd00007	O2	O2	0	1765	3.605
cpd00237	Androstenedione	C19H26O2	0	15	-3.599
cpd21454	(6E)-8-Oxolinalool	C10H16O2	0	5	3.597
cpd24367	1,2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine	C44H80NO8P	0	6	3.585
cpd02799	Methylisocitrate	C7H7O7	-3	9	-3.566
cpd02258	4-Hydroxy-2-oxovalerate	C5H7O4	-1	5	3.542
cpd00141	Propionate	C3H5O2	-1	14	-3.540
cpd08289	1-deoxy-D-xylulose5-phosphate	C5H9O7P	-2	7	3.512
cpd01398	Linoleoyl-CoA	C39H62N7O17P3S	-4	18	3.511
