variant,label,model_id,status,growth_flux,grows,n_overrides
kbase_baseline,KBase baseline (on-disk bounds),GCF_000007945.1,optimal,0.0,False,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000008165.1,optimal,81.09450129376918,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000008945.1,optimal,0.0,False,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000009905.1,optimal,40.251329300150104,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000010305.1,optimal,35.90370984057859,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000010625.1,optimal,30.825522916464443,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000011305.1,optimal,49.46528031974372,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000014285.1,optimal,45.35018848672075,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000014405.1,optimal,8.421641259978584,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000014425.1,optimal,29.98487263175728,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000014865.1,optimal,0.0,False,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000015745.1,optimal,60.28981313172385,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000016345.1,optimal,23.43356846966498,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000016745.1,optimal,35.323144960888676,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000016885.1,optimal,37.197053249441495,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000018405.1,optimal,0.0,False,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000020645.1,optimal,38.40144020761349,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000023265.1,optimal,25.9956102079562,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000024425.1,optimal,0.0,False,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000025185.1,optimal,24.60944805929893,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000025265.1,optimal,55.17325090449646,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000025725.1,optimal,59.862707601148706,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000046685.1,optimal,24.87115242200009,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000092365.1,optimal,55.13520070131959,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000143845.1,optimal,23.453275992679465,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000164695.2,optimal,56.142347049532866,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000164985.3,optimal,67.75061193320555,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000179915.2,optimal,35.017981733620246,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000195535.1,optimal,42.463674449691986,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000196355.1,optimal,26.033193732139768,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000200595.1,optimal,38.89499324199495,True,0
kbase_baseline,KBase baseline (on-disk bounds),GCF_000219105.1,optimal,48.67972473238354,True,0
