rxn_id,operator,dg,dge
rxn00220,=,7.22,2.27
rxn00221,=,7.22,2.27
rxn00222,=,-3.11,4.34
rxn00223,=,-0.89,2.05
rxn00225,=,-5.36,4.34
rxn00226,>,-9.59,4.37
rxn00227,>,-1.45,0.9
rxn00228,>,-16.62,0.98
rxn00229,>,-117.99,1.03
rxn00230,=,5.6,0.9
rxn00231,>,-6.26,1.01
rxn00232,>,-17.71,4.36
rxn00233,>,-14.35,0.89
rxn00234,=,1.63,0.72
rxn00235,=,-3.68,2.3
rxn00236,>,-16.34,3.94
rxn00237,=,0.0,5.79
rxn00239,=,9.53,5.79
rxn00241,>,-6.81,3.95
rxn00242,>,-3.74,3.95
rxn00243,=,-4.81,4.88
rxn00244,>,-11.61,0.93
rxn00245,>,-8.17,0.76
rxn00247,>,-9.82,4.38
rxn00248,=,6.22,6.12
rxn00249,=,6.22,6.11
rxn00250,=,-1.07,4.38
rxn00251,=,-3.01,1.1
rxn00252,>,1.14,1.1
rxn00253,>,-5.7,0.75
rxn00254,>,-4.72,1.02
rxn00255,=,3.17,0.73
rxn00256,<,8.92,5.0
rxn00257,=,2.11,6.59
rxn00258,=,-0.0,5.02
rxn00259,=,3.17,5.06
rxn00260,=,-0.0,0.73
rxn00261,<,161.07,1.94
rxn00262,>,-23.02,1.11
rxn00263,>,-23.02,1.11
rxn00264,>,-25.49,0.85
rxn00265,=,1.63,0.79
rxn00266,<,8.22,0.79
rxn00268,=,10.15,6.15
rxn00269,>,-21.56,1.06
rxn00270,=,-10.46,4.93
rxn00271,=,9.21,6.21
rxn00272,=,-1.46,0.55
rxn00273,=,5.25,4.95
rxn00274,=,5.25,4.95
rxn00275,=,1.46,0.65
rxn00276,=,1.46,0.61
rxn00278,=,8.69,6.16
rxn00279,>,-4.9,0.67
rxn00280,=,9.21,6.22
rxn00281,=,7.06,4.96
rxn00282,=,0.0,0.64
rxn00283,=,0.0,0.41
rxn00284,=,15.0,6.15
rxn00285,=,-1.06,6.59
rxn00286,=,-0.0,5.05
rxn00287,>,-5.75,4.99
rxn00288,=,-3.85,7.45
rxn00289,=,4.98,0.65
rxn00290,=,-0.0,5.06
rxn00291,=,-0.46,1.07
rxn00292,=,-4.81,4.12
rxn00293,=,1.07,4.12
