pair	rule	criterion	tolerance	n_base	n_nan_crit	n_keep	n_drop	r	median_absdiff	n_both_zero	frac_both_zero	conc_area	conc_tilt	conc_cover	conc_semimajor	conc_semiminor	mvee_area	mvee_tilt	mvee_support
GC_vs_DGPMS	both	sigma	10.0000	25950	0	10156	15794	0.7350	11.5100	4	0.0004	41705.0993	41.1624	0.9500	184.9067	71.7938	4331743.4625	37.8788	4
GC_vs_DGPMS	both	sigma	20.0000	25950	0	1694	24256	0.7243	11.1550	0	0.0000	144106.2301	43.3607	0.9498	338.9104	135.3468	4171376.8649	37.5057	4
EQ_vs_DGPMS	both	sigma	0.5000	19731	0	11722	8009	0.8472	5.9200	1	0.0001	37641.6413	47.3890	0.9499	204.4038	58.6178	5566298.3979	55.9336	3
EQ_vs_DGPMS	both	sigma	1.0000	19731	0	4835	14896	0.8074	12.1400	0	0.0000	68635.7332	48.9910	0.9499	259.7095	84.1226	5566298.3642	55.9335	3
EQ_vs_DGPMS	both	sigma	2.0000	19731	0	876	18855	0.7042	20.7000	0	0.0000	295384.1897	51.7917	0.9498	479.8749	195.9338	5566298.3640	55.9335	3
EQ_vs_DGPMS	both	sigma	5.0000	19731	0	74	19657	0.1210	43.1800	0	0.0000	1555827.6172	84.8577	0.9459	968.3037	511.4463	3764795.2994	69.9956	3
EQ_vs_DGPMS	both	sigma	10.0000	19731	0	15	19716	0.1409	710.6100	0	0.0000						2885191.9460	78.7273	3
EQ_vs_DGPMS	both	sigma	20.0000	19731	0	3	19728	-0.9923	1268.6800	0	0.0000						34193.9197	114.3615	3
GC_vs_EQ	both	ehat	0.5000	18157	0	16905	1252	0.8642	3.0200	2	0.0001	24409.3171	37.6669	0.9500	172.1317	45.1383	3729234.3952	26.9379	4
GC_vs_EQ	both	ehat	1.0000	18157	0	16570	1587	0.8614	3.1200	2	0.0001	24053.3223	37.4537	0.9502	170.0546	45.0233	3729234.3953	26.9379	4
GC_vs_EQ	both	ehat	2.0000	18157	0	13024	5133	0.8562	3.6700	2	0.0002	27103.0605	37.6142	0.9499	178.6159	48.3001	3729234.3959	26.9379	4
GC_vs_EQ	both	ehat	5.0000	18157	0	2801	15356	0.7874	11.7400	0	0.0000	139894.1874	35.9787	0.9500	366.6156	121.4615	3665047.5498	24.8586	4
GC_vs_EQ	both	ehat	10.0000	18157	0	0	18157			0									0
GC_vs_EQ	both	ehat	20.0000	18157	0	0	18157			0									0
GC_vs_DGPMS	both	ehat	0.5000	25950	486	25950	0	0.8038	6.4300	3149	0.1213	36658.2859	39.4147	0.9500	189.5646	61.5552	4334303.1631	39.1453	5
GC_vs_DGPMS	both	ehat	1.0000	25950	486	21233	4717	0.8030	9.3400	26	0.0012	45933.4888	39.4204	0.9502	211.9261	68.9914	4334303.1637	39.1453	5
GC_vs_DGPMS	both	ehat	2.0000	25950	486	18545	7405	0.7846	10.1000	21	0.0011	44111.5496	39.8592	0.9500	202.3104	69.4039	4334303.1641	39.1453	5
GC_vs_DGPMS	both	ehat	5.0000	25950	486	14271	11679	0.7736	12.7300	19	0.0013	51993.6134	40.8143	0.9500	216.1203	76.5781	4334303.1642	39.1453	5
GC_vs_DGPMS	both	ehat	10.0000	25950	0	0	25950			0									0
GC_vs_DGPMS	both	ehat	20.0000	25950	0	0	25950			0									0
EQ_vs_DGPMS	both	ehat	0.5000	19731	436	18219	1512	0.8572	4.3700	1	0.0001	29638.7684	47.1664	0.9500	184.6833	51.0837	5566298.4144	55.9336	3
EQ_vs_DGPMS	both	ehat	1.0000	19731	436	17338	2393	0.8533	4.8100	1	0.0001	29949.6989	47.2574	0.9500	184.3184	51.7218	5566298.4125	55.9336	3
EQ_vs_DGPMS	both	ehat	2.0000	19731	436	12011	7720	0.8340	7.2000	0	0.0000	35685.1214	47.7427	0.9502	194.6923	58.3430	5566298.3988	55.9336	3
EQ_vs_DGPMS	both	ehat	5.0000	19731	359	2793	16938	0.7658	18.8200	0	0.0000	108323.5172	50.3704	0.9499	309.7839	111.3048	5566298.3437	55.9335	3
EQ_vs_DGPMS	both	ehat	10.0000	19731	0	0	19731			0									0
EQ_vs_DGPMS	both	ehat	20.0000	19731	0	0	19731			0									0
