rxn_id,has_modelseed,op_modelseed,has_group_contribution,op_group_contribution,has_equilibrator,op_equilibrator,has_dgpredictor,op_dgpredictor
rxn00151,True,=,True,>,True,=,True,=
rxn00152,True,>,True,>,True,>,True,>
rxn00153,True,>,True,>,True,>,True,>
rxn00154,True,=,True,=,True,=,True,=
rxn00155,True,=,True,=,True,=,True,=
rxn00156,True,>,True,>,True,>,True,>
rxn00157,True,=,True,=,True,=,True,=
rxn00158,True,>,True,>,True,>,True,>
rxn00159,True,>,True,>,True,>,True,>
rxn00160,True,=,True,>,True,=,True,=
rxn00161,True,>,True,>,True,>,True,>
rxn00162,True,>,True,>,True,>,True,>
rxn00163,True,>,True,>,False,,True,<
rxn00164,True,<,True,<,True,<,True,<
rxn00165,True,>,True,>,True,>,True,>
rxn00166,True,>,True,>,True,>,True,>
rxn00168,True,>,True,>,True,>,True,>
rxn00170,True,>,True,>,True,>,True,>
rxn00171,True,=,True,=,True,=,True,=
rxn00172,True,=,True,=,True,=,True,=
rxn00173,True,=,True,=,True,=,True,=
rxn00174,True,>,True,>,True,>,True,>
rxn00175,True,=,True,>,True,=,True,=
rxn00176,True,=,True,=,True,=,True,>
rxn00177,True,=,True,=,True,=,True,=
rxn00178,True,=,True,=,True,=,True,=
rxn00179,True,=,True,=,True,=,True,=
rxn00180,True,=,True,=,True,=,False,
rxn00181,True,=,True,=,True,=,True,=
rxn00182,True,=,True,=,True,=,True,=
rxn00183,True,>,True,=,True,>,True,=
rxn00184,True,=,True,=,True,=,True,=
rxn00185,True,>,True,>,True,>,True,>
rxn00186,True,>,True,>,True,>,True,>
rxn00187,True,>,True,>,True,>,True,>
rxn00188,True,<,True,<,True,<,True,<
rxn00189,True,>,True,>,True,>,True,>
rxn00190,True,>,True,>,True,>,True,>
rxn00191,True,=,True,=,True,=,True,=
rxn00192,True,>,True,>,True,>,True,=
rxn00193,True,=,True,=,True,=,True,=
rxn00194,True,>,True,>,True,>,True,>
rxn00195,True,=,True,=,True,=,True,=
rxn00196,True,=,True,=,True,=,True,=
rxn00197,True,=,True,=,True,=,True,=
rxn00198,True,>,True,>,True,>,True,>
rxn00199,True,>,True,>,True,>,True,>
rxn00200,True,>,True,>,True,>,True,>
rxn00201,True,<,True,<,True,<,True,<
rxn00202,True,<,True,<,True,<,True,>
rxn00203,True,>,True,>,True,>,True,>
rxn00204,True,>,True,>,True,>,True,>
rxn00205,True,>,True,>,True,>,True,>
rxn00206,True,>,True,>,False,,True,=
rxn00207,True,<,True,<,False,,True,<
rxn00208,True,>,True,>,True,>,True,>
rxn00209,True,>,True,>,True,>,True,>
rxn00210,True,>,True,>,True,>,True,>
rxn00211,True,=,True,=,True,=,True,=
rxn00212,True,>,True,>,True,>,True,>
rxn00213,True,=,True,=,True,=,True,=
rxn00214,True,=,True,=,False,,True,=
rxn00215,True,>,True,>,True,>,True,>
rxn00216,True,=,True,>,True,=,True,=
rxn00217,True,=,True,=,True,=,True,=
rxn00218,True,=,True,=,True,=,True,=
rxn00219,True,>,True,>,True,>,True,>
rxn00220,True,>,True,=,True,>,True,>
rxn00221,True,>,True,=,True,>,True,>
rxn00222,True,>,True,=,True,>,True,>
rxn00223,True,=,True,=,True,=,True,=
rxn00224,False,,False,,False,,True,<
rxn00225,True,=,True,=,True,=,True,=
rxn00226,True,>,True,>,True,=,True,<
rxn00227,True,>,True,>,True,>,True,>
rxn00228,True,>,True,>,True,>,True,>
rxn00229,True,>,True,>,True,>,True,>
rxn00230,True,=,True,=,True,=,True,=
rxn00231,True,>,True,>,True,>,True,>
rxn00232,True,>,True,>,True,=,True,>
rxn00233,True,>,True,>,True,>,True,>
rxn00234,True,=,True,=,True,=,True,=
rxn00235,True,>,True,=,True,>,True,>
rxn00236,True,>,True,>,True,>,True,>
rxn00237,True,=,True,=,True,=,True,=
rxn00238,False,,False,,False,,False,
rxn00239,True,=,True,=,True,=,True,=
rxn00240,False,,False,,False,,False,
rxn00241,True,>,True,>,True,>,True,>
rxn00242,True,>,True,>,True,>,True,>
rxn00243,True,>,True,=,True,>,True,>
rxn00244,True,>,True,>,True,>,True,>
rxn00245,True,>,True,>,True,>,True,>
rxn00247,True,>,True,>,True,>,True,>
rxn00248,True,=,True,=,True,=,True,=
rxn00249,True,=,True,=,True,=,True,=
rxn00250,True,=,True,=,True,=,True,=
rxn00251,True,=,True,=,True,=,True,=
rxn00252,True,=,True,>,True,=,True,=
rxn00253,True,>,True,>,True,>,True,>
rxn00254,True,>,True,>,True,>,True,>
rxn00255,True,=,True,=,True,=,True,=
rxn00256,True,<,True,<,True,<,True,<
rxn00257,True,=,True,=,True,=,True,>
rxn00258,True,=,True,=,True,=,True,=
rxn00259,True,=,True,=,False,,True,=
rxn00260,True,=,True,=,True,=,True,=
rxn00261,True,<,True,<,True,<,False,
rxn00262,True,>,True,>,True,>,True,>
rxn00263,True,>,True,>,True,>,True,>
rxn00264,True,>,True,>,True,>,True,>
rxn00265,True,=,True,=,True,=,True,=
rxn00266,True,=,True,<,True,=,True,=
rxn00267,False,,False,,False,,False,
rxn00268,True,=,True,=,True,=,True,=
rxn00269,True,>,True,>,True,>,True,>
rxn00270,True,=,True,=,True,=,True,<
rxn00271,True,=,True,=,True,=,True,=
rxn00272,True,=,True,=,True,=,True,=
rxn00273,True,=,True,=,True,=,False,
rxn00274,True,=,True,=,True,=,True,=
rxn00275,True,=,True,=,True,=,True,=
rxn00276,True,=,True,=,True,=,True,=
rxn00277,False,,False,,False,,False,
rxn00278,True,=,True,=,True,=,True,=
rxn00279,True,>,True,>,True,>,True,>
rxn00280,True,=,True,=,True,=,True,=
rxn00281,True,=,True,=,True,=,False,
rxn00282,True,=,True,=,True,=,True,=
rxn00283,True,=,True,=,True,=,True,=
rxn00284,True,<,True,=,True,<,True,<
rxn00285,True,=,True,=,True,=,True,=
rxn00286,True,=,True,=,True,=,True,=
rxn00287,True,>,True,>,True,>,True,>
rxn00288,True,<,True,=,True,<,True,<
rxn00289,True,=,True,=,True,=,True,=
rxn00290,True,=,True,=,True,=,True,=
rxn00291,True,=,True,=,True,=,True,=
rxn00292,True,>,True,=,True,>,True,>
rxn00293,True,=,True,=,True,=,True,=
rxn00295,True,=,True,=,True,=,True,=
rxn00296,False,,False,,False,,False,
rxn00297,True,=,True,=,True,=,True,=
rxn00298,True,=,True,=,True,=,True,=
rxn00299,True,>,True,>,True,>,True,>
rxn00300,True,>,True,>,True,>,True,>
rxn00301,True,>,True,>,True,>,True,>
rxn00302,True,>,True,>,False,,True,=
rxn00303,True,=,True,>,True,=,True,=
rxn00304,True,=,True,=,True,=,True,=
rxn00305,True,>,True,>,True,>,True,>
rxn00306,True,=,True,=,True,=,True,=
rxn00307,True,>,True,>,True,>,True,>
rxn00308,True,>,True,>,True,>,True,>
rxn00309,True,=,True,=,True,=,True,=
rxn00310,True,>,True,>,True,>,True,>
rxn00311,True,>,True,>,True,=,True,>
rxn00312,True,>,True,>,True,>,True,>
rxn00313,True,>,True,>,True,>,True,>
rxn00314,True,=,True,=,True,=,True,=
rxn00315,False,,True,=,False,,True,=
rxn00316,True,>,True,>,True,>,True,=
rxn00317,False,,True,=,False,,True,=
rxn00318,True,=,True,=,True,=,True,>
rxn00319,True,>,True,=,True,>,True,>
rxn00320,True,=,True,=,True,=,True,=
rxn00321,True,=,True,=,True,=,True,=
rxn00322,True,>,True,>,True,>,True,>
rxn00323,True,=,True,=,True,=,True,=
rxn00324,True,<,True,=,True,<,True,<
rxn00325,True,>,True,>,True,>,True,>
rxn00326,True,=,True,=,True,=,True,<
rxn00327,True,>,True,>,True,>,True,>
rxn00328,True,=,True,=,True,=,True,=
rxn00330,True,<,True,<,True,<,True,<
rxn00331,True,=,True,=,True,=,True,=
rxn00332,True,<,True,<,True,<,True,<
rxn00333,True,>,True,>,True,>,True,>
rxn00334,True,=,True,=,True,=,True,>
rxn00335,True,=,True,=,True,=,True,=
rxn00336,True,=,True,=,True,=,True,=
rxn00337,True,=,True,=,True,=,True,=
rxn00338,True,>,True,>,True,>,True,>
