cpd_id,has_modelseed,has_group_contribution,has_equilibrator,has_dgpredictor
cpd00227,True,True,True,False
cpd00228,True,True,False,False
cpd00229,True,True,True,False
cpd00231,True,True,False,False
cpd00232,True,True,True,False
cpd00233,True,True,False,False
cpd00234,True,True,True,False
cpd00235,True,True,True,False
cpd00236,True,True,True,False
cpd00237,True,True,True,False
cpd00238,True,True,True,False
cpd00239,True,True,True,False
cpd00240,True,True,True,False
cpd00241,True,True,True,False
cpd00242,True,True,True,False
cpd00243,False,False,False,False
cpd00244,False,False,False,False
cpd00245,True,True,True,False
cpd00246,True,True,True,False
cpd00247,True,True,False,False
cpd00248,True,True,True,False
cpd00249,True,True,True,False
cpd00250,True,True,True,False
cpd00251,True,True,True,False
cpd00253,True,True,False,False
cpd00254,True,False,True,False
cpd00255,True,True,True,False
cpd00256,True,True,True,False
cpd00257,True,True,True,False
cpd00258,True,True,False,False
cpd00259,True,True,True,False
cpd00260,True,True,True,False
cpd00261,True,True,False,False
cpd00262,True,True,True,False
cpd00263,True,True,True,False
cpd00264,True,True,True,False
cpd00265,True,True,False,False
cpd00266,True,True,True,False
cpd00267,True,True,True,False
cpd00268,True,True,False,False
cpd00269,True,True,True,False
cpd00270,True,True,True,False
cpd00271,False,False,False,False
cpd00272,True,True,True,False
cpd00273,False,False,False,False
cpd00274,True,True,True,False
cpd00275,True,True,True,False
cpd00276,True,True,True,False
cpd00277,True,True,True,False
cpd00278,True,True,True,False
cpd00279,True,True,True,False
cpd00280,True,True,True,False
cpd00281,True,True,True,False
cpd00282,True,True,True,False
cpd00283,True,True,True,False
cpd00284,True,True,True,False
cpd00285,True,True,True,False
cpd00286,True,True,True,False
cpd00287,True,True,True,False
cpd00288,True,True,True,False
cpd00289,True,True,True,False
cpd00290,True,True,True,False
cpd00291,True,True,True,False
cpd00292,True,True,True,False
cpd00293,True,True,True,False
cpd00294,True,True,True,False
cpd00295,True,True,True,False
cpd00296,True,True,True,False
cpd00297,True,True,True,False
cpd00298,True,True,True,False
cpd00299,True,True,True,False
cpd00300,True,True,True,False
cpd00301,True,True,False,False
cpd00302,True,True,True,False
cpd00303,True,True,False,False
cpd00304,True,True,True,False
cpd00305,True,True,True,False
cpd00306,True,True,True,False
cpd00307,True,True,True,False
cpd00308,True,True,True,False
cpd00309,True,True,True,False
cpd00310,True,True,True,False
cpd00311,True,True,True,False
cpd00312,True,True,True,False
cpd00313,True,True,True,False
cpd00314,True,True,True,False
cpd00315,True,True,True,False
cpd00316,True,True,True,False
cpd00317,True,True,True,False
cpd00318,True,True,True,False
cpd00319,True,True,True,False
cpd00320,True,True,True,False
cpd00321,True,True,True,False
cpd00322,True,True,True,False
cpd00323,True,True,True,False
cpd00324,True,True,True,False
cpd00325,True,True,True,False
cpd00326,True,True,True,False
cpd00327,True,True,True,False
cpd00328,True,True,True,False
cpd00329,True,True,True,False
cpd00330,True,True,True,False
cpd00331,True,True,True,False
cpd00332,True,True,True,False
cpd00333,True,True,True,False
cpd00334,True,True,True,False
cpd00335,True,True,False,False
cpd00336,False,False,True,False
cpd00337,True,True,True,False
cpd00338,True,True,True,False
cpd00339,True,True,True,False
cpd00340,True,True,True,False
cpd00341,True,True,True,False
cpd00342,True,True,True,False
cpd00343,True,True,True,False
cpd00344,True,True,True,False
cpd00345,True,True,True,False
cpd00346,True,True,True,False
cpd00347,True,True,True,False
cpd00348,True,True,True,False
cpd00349,True,True,True,False
cpd00350,True,True,True,False
cpd00351,True,True,True,False
cpd00352,True,True,True,False
cpd00353,True,True,True,False
cpd00354,False,False,False,False
cpd00355,True,True,True,False
cpd00356,True,True,True,False
cpd00357,True,True,True,False
cpd00358,True,True,True,False
cpd00359,True,True,True,False
cpd00360,True,True,True,False
cpd00361,True,True,True,False
cpd00362,True,True,True,False
cpd00363,True,True,True,False
cpd00364,True,True,False,False
cpd00365,True,True,True,False
cpd00366,True,True,True,False
cpd00367,True,True,True,False
cpd00368,True,True,False,False
cpd00369,True,True,True,False
cpd00370,True,True,False,False
cpd00371,True,True,True,False
cpd00372,True,True,False,False
cpd00373,True,True,True,False
cpd00374,True,True,True,False
cpd00375,False,False,False,False
cpd00376,True,True,True,False
cpd00378,True,True,True,False
cpd00379,True,True,True,False
cpd00380,True,True,True,False
cpd00381,True,True,True,False
cpd00382,True,True,True,False
cpd00383,True,True,True,False
cpd00384,True,True,True,False
cpd00385,True,True,True,False
cpd00386,True,True,True,False
cpd00387,True,True,True,False
cpd00388,True,True,True,False
cpd00389,True,True,True,False
cpd00390,True,True,False,False
cpd00391,True,True,False,False
cpd00392,True,True,True,False
cpd00393,True,True,True,False
cpd00394,False,False,False,False
cpd00395,True,True,True,False
cpd00396,True,True,False,False
cpd00397,True,True,False,False
cpd00398,True,True,True,False
cpd00399,True,True,True,False
cpd00400,True,True,True,False
cpd00401,True,True,True,False
cpd00402,True,True,True,False
cpd00403,True,True,True,False
cpd00404,True,True,True,False
cpd00405,True,True,True,False
cpd00406,False,False,True,False
cpd00407,True,True,False,False
cpd00408,True,True,True,False
cpd00409,True,True,True,False
cpd00410,False,False,False,False
cpd00411,True,True,True,False
cpd00412,True,True,True,False
cpd00413,True,True,True,False
cpd00414,True,True,False,False
cpd00415,True,True,True,False
cpd00416,True,True,True,False
cpd00417,True,True,True,False
cpd00418,True,False,True,False
cpd00419,True,True,True,False
cpd00420,True,True,True,False
cpd00421,False,False,False,False
