rxn_id,has_modelseed_current,op_modelseed_current,via
rxn34914,False,,undefined
rxn34915,False,,undefined
rxn34916,False,,undefined
rxn34917,False,,undefined
rxn34918,False,,undefined
rxn34919,False,,undefined
rxn34920,False,,undefined
rxn34921,False,,undefined
rxn34922,False,,undefined
rxn34923,False,,undefined
rxn34924,False,,undefined
rxn34925,False,,undefined
rxn34926,False,,undefined
rxn34927,False,,undefined
rxn34928,False,,undefined
rxn34929,False,,undefined
rxn34930,False,,undefined
rxn34931,False,,undefined
rxn34932,False,,undefined
rxn34933,False,,undefined
rxn34934,False,,undefined
rxn34935,False,,undefined
rxn34936,False,,undefined
rxn34937,False,,undefined
rxn34938,False,,undefined
rxn34939,False,,undefined
rxn34940,False,,undefined
rxn34941,False,,undefined
rxn34942,False,,undefined
rxn34943,False,,undefined
rxn34944,False,,undefined
rxn34945,False,,undefined
rxn34946,False,,undefined
rxn34947,False,,undefined
rxn34948,False,,undefined
rxn34949,False,,undefined
rxn34950,False,,undefined
rxn34951,False,,undefined
rxn34952,False,,undefined
rxn34953,False,,undefined
rxn34955,False,,undefined
rxn34956,False,,undefined
rxn34957,False,,undefined
rxn34958,False,,undefined
rxn34959,False,,undefined
rxn34960,False,,undefined
rxn34961,False,,undefined
rxn34962,False,,undefined
rxn34963,False,,undefined
rxn34964,False,,undefined
rxn34965,False,,undefined
rxn34966,False,,undefined
rxn34967,False,,undefined
rxn34968,False,,undefined
rxn34969,False,,undefined
rxn34970,False,,undefined
rxn34971,False,,undefined
rxn34972,False,,undefined
rxn34973,False,,undefined
rxn34974,False,,undefined
rxn34975,False,,undefined
rxn34976,False,,undefined
rxn34977,False,,undefined
rxn34978,False,,undefined
rxn34979,False,,undefined
rxn34980,False,,undefined
rxn34981,False,,undefined
rxn34982,False,,undefined
rxn34983,False,,undefined
rxn34984,False,,undefined
rxn34985,False,,undefined
rxn34986,False,,undefined
rxn34987,False,,undefined
rxn34988,False,,undefined
rxn34989,False,,undefined
rxn34990,False,,undefined
rxn34991,False,,undefined
rxn34992,False,,undefined
rxn34993,False,,undefined
rxn34994,False,,undefined
rxn34995,False,,undefined
rxn34996,False,,undefined
rxn34997,False,,undefined
rxn34998,False,,undefined
rxn34999,False,,undefined
rxn35000,False,,undefined
rxn35001,False,,undefined
rxn35002,False,,undefined
rxn35003,False,,undefined
rxn35004,False,,undefined
rxn35005,False,,undefined
rxn35006,False,,undefined
rxn35007,False,,undefined
rxn35008,False,,undefined
rxn35009,False,,undefined
rxn35010,False,,undefined
rxn35011,False,,undefined
rxn35012,False,,undefined
rxn35013,False,,undefined
rxn35014,False,,undefined
rxn35015,False,,undefined
rxn35016,False,,undefined
rxn35017,False,,undefined
rxn35018,False,,undefined
rxn35019,False,,undefined
rxn35020,False,,undefined
rxn35021,False,,undefined
rxn35022,False,,undefined
rxn35023,False,,undefined
rxn35024,False,,undefined
rxn35025,False,,undefined
rxn35026,False,,undefined
rxn35027,False,,undefined
rxn35028,False,,undefined
rxn35029,False,,undefined
rxn35030,False,,undefined
rxn35031,False,,undefined
rxn35032,False,,undefined
rxn35033,False,,undefined
rxn35034,False,,undefined
rxn35035,False,,undefined
rxn35036,False,,undefined
rxn35037,False,,undefined
rxn35038,False,,undefined
rxn35039,False,,undefined
rxn35040,False,,undefined
rxn35041,False,,undefined
rxn35042,False,,undefined
rxn35043,False,,undefined
rxn35044,False,,undefined
rxn35045,False,,undefined
rxn35046,False,,undefined
rxn35047,False,,undefined
rxn35048,False,,undefined
rxn35049,False,,undefined
rxn35050,False,,undefined
rxn35051,False,,undefined
rxn35052,False,,undefined
rxn35053,False,,undefined
rxn35054,False,,undefined
rxn35055,False,,undefined
rxn35056,False,,undefined
rxn35057,False,,undefined
rxn35058,False,,undefined
rxn35059,False,,undefined
rxn35060,False,,undefined
rxn35061,False,,undefined
rxn35062,False,,undefined
rxn35063,False,,undefined
rxn35064,False,,undefined
rxn35065,False,,undefined
rxn35066,False,,undefined
rxn35067,False,,undefined
rxn35068,False,,undefined
rxn35069,False,,undefined
rxn35070,False,,undefined
rxn35071,False,,undefined
rxn35072,False,,undefined
rxn35073,False,,undefined
rxn35074,False,,undefined
rxn35075,False,,undefined
rxn35076,False,,undefined
rxn35077,False,,undefined
rxn35078,False,,undefined
rxn35079,False,,undefined
rxn35080,False,,undefined
rxn35081,False,,undefined
rxn35082,False,,undefined
rxn35083,False,,undefined
rxn35084,False,,undefined
rxn35085,False,,undefined
rxn35086,False,,undefined
rxn35087,False,,undefined
rxn35088,False,,undefined
rxn35089,False,,undefined
rxn35090,False,,undefined
rxn35091,False,,undefined
rxn35092,False,,undefined
rxn35093,False,,undefined
rxn35094,False,,undefined
rxn35095,False,,undefined
rxn35096,False,,undefined
rxn35097,False,,undefined
rxn35098,False,,undefined
rxn35099,False,,undefined
rxn35100,False,,undefined
rxn35101,False,,undefined
rxn35102,False,,undefined
rxn35103,False,,undefined
rxn35104,False,,undefined
rxn35105,False,,undefined
rxn35106,False,,undefined
rxn35107,False,,undefined
rxn35108,False,,undefined
rxn35109,False,,undefined
rxn35110,False,,undefined
rxn35111,False,,undefined
rxn35112,False,,undefined
rxn35113,False,,undefined
rxn35114,False,,undefined
rxn35115,False,,undefined
rxn35116,False,,undefined
rxn35117,False,,undefined
rxn35118,False,,undefined
rxn35119,False,,undefined
rxn35120,False,,undefined
rxn35121,False,,undefined
rxn35122,False,,undefined
rxn35123,False,,undefined
rxn35124,False,,undefined
rxn35125,False,,undefined
rxn35126,False,,undefined
rxn35127,False,,undefined
rxn35128,False,,undefined
rxn35129,False,,undefined
rxn35130,False,,undefined
rxn35131,False,,undefined
rxn35132,False,,undefined
rxn35133,False,,undefined
rxn35134,False,,undefined
rxn35135,False,,undefined
rxn35136,False,,undefined
rxn35137,False,,undefined
rxn35138,False,,undefined
rxn35139,False,,undefined
rxn35140,False,,undefined
rxn35142,False,,undefined
rxn35143,False,,undefined
rxn35144,False,,undefined
rxn35145,False,,undefined
rxn35146,False,,undefined
rxn35147,False,,undefined
rxn35148,False,,undefined
rxn35149,False,,undefined
rxn35150,False,,undefined
rxn35151,False,,undefined
rxn35152,False,,undefined
rxn35153,False,,undefined
rxn35154,False,,undefined
rxn35155,False,,undefined
rxn35156,False,,undefined
rxn35157,False,,undefined
rxn35158,False,,undefined
rxn35159,False,,undefined
rxn35160,False,,undefined
rxn35161,False,,undefined
rxn35162,False,,undefined
rxn35163,False,,undefined
rxn35164,True,<,eQuilibrator
rxn35165,False,,undefined
rxn35166,False,,undefined
rxn35167,False,,undefined
rxn35168,False,,undefined
rxn35169,False,,undefined
rxn35170,False,,undefined
rxn35171,False,,undefined
rxn35172,False,,undefined
rxn35173,False,,undefined
rxn35174,False,,undefined
rxn35175,False,,undefined
rxn35176,False,,undefined
rxn35177,False,,undefined
rxn35178,False,,undefined
rxn35179,False,,undefined
rxn35180,False,,undefined
rxn35181,False,,undefined
rxn35182,False,,undefined
rxn35183,False,,undefined
rxn35184,False,,undefined
rxn35185,False,,undefined
rxn35186,False,,undefined
rxn35187,False,,undefined
rxn35188,False,,undefined
rxn35189,False,,undefined
rxn35190,False,,undefined
rxn35191,False,,undefined
rxn35192,False,,undefined
rxn35193,False,,undefined
rxn35194,False,,undefined
rxn35195,False,,undefined
rxn35196,False,,undefined
rxn35197,False,,undefined
rxn35198,False,,undefined
rxn35199,False,,undefined
rxn35200,False,,undefined
rxn35201,False,,undefined
rxn35202,False,,undefined
rxn35203,False,,undefined
rxn35204,False,,undefined
rxn35205,False,,undefined
rxn35206,False,,undefined
rxn35207,False,,undefined
rxn35208,False,,undefined
rxn35209,True,>,eQuilibrator
rxn35210,False,,undefined
rxn35211,True,=,eQuilibrator
rxn35212,True,=,eQuilibrator
rxn35213,False,,undefined
rxn35214,True,=,eQuilibrator
rxn35215,True,>,eQuilibrator
rxn35217,False,,undefined
rxn35218,True,=,eQuilibrator
rxn35234,True,=,eQuilibrator
rxn35236,False,,undefined
rxn35241,True,=,eQuilibrator
rxn35242,True,=,eQuilibrator
rxn35245,True,>,eQuilibrator
rxn35246,True,=,eQuilibrator
rxn35247,True,>,eQuilibrator
rxn35248,False,,undefined
rxn35249,False,,undefined
rxn35251,True,>,eQuilibrator
rxn35254,True,>,eQuilibrator
rxn35258,True,>,eQuilibrator
rxn35270,True,>,GC_fallback
