rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn38444	zeaxanthin,NAD(P)H:oxygen oxidoreductase	1.14.13.90	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Zeaxanthin[0] => (1) H2O[0] + (1) NADP[0] + (1) Antheraxanthin[0]	-104.910	-77.990	-79.720	26.920	h;h2o;nadp;nadph;o2	7	40	C;H;N;O;P	R07199	R07199	1	3	0	15	5	104.910	26.920	25.190	1.730
rxn38445	zeaxanthin,NAD(P)H:oxygen oxidoreductase	1.14.13.90	OK	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Zeaxanthin[0] => (1) H2O[0] + (1) NAD[0] + (1) Antheraxanthin[0]	-104.910	-77.990	-80.310	26.920	h;h2o;nad;nadh;o2	7	40	C;H;N;O;P	R06946	R06946	1	6	0	15	5	104.910	26.920	24.600	2.320
rxn11901	R08391	1.14.14.1	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Tretin M[0] => (1) H2O[0] + (1) NADP[0] + (1) all-trans-5,6-Epoxyretinoic acid[0]	-104.910	-77.990	-77.230	27.680	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R08391	R08391	1	1	0	13	5	104.910	26.920	27.680	0.760
rxn04755	zeaxanthin,NADH:oxygen oxidoreductase	1.14.13.90	OK	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Zeaxanthin[0] => (1) H2O[0] + (1) NAD[0] + (1) Antheraxanthin[0]	-104.910	-77.990	-80.310	26.920	h;h2o;nad;nadh;o2	7	40	C;H;N;O;P	R06946	R06946	1	6	0	15	5	104.910	26.920	24.600	2.320
rxn24542	zeaxanthin,NAD(P)H:oxygen oxidoreductase	1.14.13.90	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Zeaxanthin[0] => (1) H2O[0] + (1) NADP[0] + (1) Antheraxanthin[0]	-104.910	-77.990	-79.720	26.920	h;h2o;nadp;nadph;o2	7	40	C;H;N;O;P	R07199	R07199	1	3	0	15	5	104.910	26.920	25.190	1.730
rxn38447	zeaxanthin,NAD(P)H:oxygen oxidoreductase	1.14.13.90	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Antheraxanthin[0] => (1) H2O[0] + (1) NADP[0] + (1) Violaxanthin[0]	-104.910	-77.990	-79.720	26.920	h;h2o;nadp;nadph;o2	7	40	C;H;N;O;P	R07200	R07200	1	3	0	17	5	104.910	26.920	25.190	1.730
rxn38448	zeaxanthin,NAD(P)H:oxygen oxidoreductase	1.14.13.90	OK	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) Antheraxanthin[0] => (1) H2O[0] + (1) NAD[0] + (1) Violaxanthin[0]	-104.910	-77.990	-80.310	26.920	h;h2o;nad;nadh;o2	7	40	C;H;N;O;P	R06947	R06947	1	13	0	17	5	104.910	26.920	24.600	2.320
rxn11847	R08319		CI:2	(1) 2-Hydroxyiminostilbene[0] => (2) H+[0] + (1) 2H-Dibenz[b,f]azepin-2-one[0]	0.150	-26.710	-0.980	26.860	h	3	14	C;H;N;O	R08319	R08319	1	1	0	6	4	26.710	26.860	1.130	25.730
rxn25725	CYP79D3		OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 2-(hydroxyamino)-3-methylpentanoate[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-dihydroxy-L-isoleucine[0]	-83.950	-57.170	-58.320	26.780	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R10028	R10028	1	20	0	10	3	83.950	26.780	25.630	1.150
rxn16427	N-hydroxy-L-tryptophan,NADPH:oxygen oxidoreductase (N-hydroxylating)	1.14.13.125	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) N-Hydroxy-L-tryptophan[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-Dihydroxy-L-tryptophan[0]	-83.950	-57.170	-58.320	26.780	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R09584	R09584	1	2	0	14	3	83.950	26.780	25.630	1.150
rxn16424	N-hydroxy-L-phenylalanine,NADPH:oxygen oxidoreductase (N-hydroxylating)	1.14.13.124	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) N-Hydroxy-L-phenylalanine[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-Dihydroxy-L-phenylalanine[0]	-83.950	-57.170	-58.320	26.780	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R09580	R09580	1	1	0	12	3	83.950	26.780	25.630	1.150
rxn25726	CYP79D3		OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 2-(hydroxyamino)-3-methylpentanoate[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-dihydroxy-L-isoleucine[0]	-83.950	-57.170	-58.320	26.780	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R10028	R10028	1	20	0	10	3	83.950	26.780	25.630	1.150
rxn22368	tryptophan N-hydroxylase	1.14.13.125	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) N-Hydroxy-L-tryptophan[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-Dihydroxy-L-tryptophan[0]	-83.950	-57.170	-58.320	26.780	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R09584	R09584	1	2	0	14	3	83.950	26.780	25.630	1.150
rxn24039	CYP79D2		OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) N-hydroxy-L-valine[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-dihydroxy-L-valine[0]	-83.950	-57.170	-58.320	26.780	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R10032	R10032	1	2	0	10	3	83.950	26.780	25.630	1.150
rxn24038	CYP79D2		OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) N-hydroxy-L-valine[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-dihydroxy-L-valine[0]	-83.950	-57.170	-58.320	26.780	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R10032	R10032	1	2	0	10	3	83.950	26.780	25.630	1.150
rxn28364	CYP79A1	1.14.13.41	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) N-Hydroxy-L-tyrosine[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-Dihydroxy-L-tyrosine[0]	-83.950	-57.180	-58.320	26.770	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R04460	R04460	1	6	0	12	3	83.950	26.770	25.630	1.140
rxn24420	CYP79A1	1.14.13.41	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) N-Hydroxy-L-tyrosine[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-Dihydroxy-L-tyrosine[0]	-83.950	-57.180	-58.320	26.770	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R04460	R04460	1	6	0	12	3	83.950	26.770	25.630	1.140
rxn32509	N-hydroxy-L-tyrosine,NADPH:oxygen oxidoreductase (N-hydroxylating)	1.14.13.41	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) N-Hydroxy-L-tyrosine[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-Dihydroxy-L-tyrosine[0]	-83.950	-57.180	-58.320	26.770	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R04460	R04460	1	6	0	12	3	83.950	26.770	25.630	1.140
rxn03082	N-hydroxy-L-tyrosine,NADPH:oxygen oxidoreductase (N-hydroxylating)	1.14.13.41	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) N-Hydroxy-L-tyrosine[0] => (1) H2O[0] + (1) NADP[0] + (1) N,N-Dihydroxy-L-tyrosine[0]	-83.950	-57.180	-58.320	26.770	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R04460	R04460	1	6	0	12	3	83.950	26.770	25.630	1.140
rxn16356	urate,NADH:oxygen oxidoreductase (5-hydroxyisourate forming)	1.14.13.113	CI:-1	(1) NADH[0] + (1) O2[0] + (2) H+[0] + (1) Urate[0] => (1) H2O[0] + (1) NAD[0] + (1) 5-Hydroxyisourate[0]	-95.070	-121.440	-107.910	26.370	h;h2o;nad;nadh;o2	7	21	C;H;N;O;P	R09514	R09514	1	1	0	14	5	121.440	26.370	12.840	13.530
rxn15688	R07542		CI:2	(1) gamma-Carotene[0] => (2) H+[0] + (1) 1',2'-Dihydrochlorobactene[0]	-43.310	-16.960	2.510	45.820	h	3	40	C;H	R07542	R07542	1	1	0	2	2	43.310	26.350	45.820	19.470
