rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn33688	Caffeoyl-CoA O-methyltransferase	2.1.1.104	OK	(1) S-Adenosyl-L-methionine[0] + (1) Caffeoyl-CoA[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Feruloyl-CoA[0]	-4.360	-1.770	-23.110	21.340	h;sah;sam	5	31	C;H;N;O;P;S	R01942	R01942	1	4	0	14	2	23.110	2.590	18.750	21.340
rxn01426	S-Adenosyl-L-methionine:caffeoyl-CoA 3-O-methyltransferase	2.1.1.104	OK	(1) S-Adenosyl-L-methionine[0] + (1) Caffeoyl-CoA[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Feruloyl-CoA[0]	-4.360	-1.770	-23.110	21.340	h;sah;sam	5	31	C;H;N;O;P;S	R01942	R01942	1	4	0	14	2	23.110	2.590	18.750	21.340
rxn15953	ADP:D-glucose 6-phosphotransferase	2.7.1.147	OK	(1) ADP[0] + (1) alpha-D-Glucose[0] <=> (1) AMP[0] + (2) H+[0] + (1) alpha-D-Glucose 6-phosphate[0]	-23.560	-2.230	-2.790	21.330	adp;amp;h	5	10	C;H;N;O;P	R09085	R09085	1	1	0	8	2	23.560	21.330	20.770	0.560
rxn16454	S-adenosyl-L-methionine:tricetin 3'-O-methyltransferase	2.1.1.-;2.1.1.169;2.1.1.175	OK	(1) S-Adenosyl-L-methionine[0] + (1) Tricetin[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 3'-O-Methyltricetin[0]	-4.360	-1.750	-23.060	21.310	h;sah;sam	5	16	C;H;N;O;S	R09612	R09612	1	1	0	12	2	23.060	2.610	18.700	21.310
rxn02649	S-Adenosyl-L-methionine:isoorientin 3'-O-methyltransferase	2.1.1.78	OK	(1) S-Adenosyl-L-methionine[0] + (1) Isoorientin[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Isoscoparin[0]	-4.360	-1.800	-23.100	21.300	h;sah;sam	5	22	C;H;N;O;S	R03731	R03731	1	1	0	14	2	23.100	2.560	18.740	21.300
rxn39437			OK	(1) S-Adenosyl-L-methionine[0] + (1) Xanthurenate[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) 8-Methoxykynurenate[0]	-2.890	-1.810	-23.100	21.290	h;sah;sam	5	15	C;H;N;O;S	R03955	R03955	1	6	0	10	2	23.100	1.080	20.210	21.290
rxn02231	S-adenosyl-L-methionine:sterigmatocystin 8-O-methyltransferase	2.1.1.110	OK	(1) S-Adenosyl-L-methionine[0] + (1) Sterigmatocystin[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) O-Methylsterigmatocystin[0]	-4.360	-1.790	-23.080	21.290	h;sah;sam	5	19	C;H;N;O;S	R03111	R03111	1	1	0	16	2	23.080	2.570	18.720	21.290
rxn02136	S-Adenosyl-L-methionine:xanthotoxol O-methyltransferase	2.1.1.70;2.1.1.93	OK	(1) S-Adenosyl-L-methionine[0] + (1) Xanthotoxol[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Methoxsalen[0]	-4.360	-1.770	-23.060	21.290	h;sah;sam	5	15	C;H;N;O;S	R02982	R02982	1	1	0	12	2	23.060	2.590	18.700	21.290
rxn33703	S-adenosyl-L-methionine:caffeoyl-CoA 3-O-methyltransferase	2.1.1.104	OK	(1) S-Adenosyl-L-methionine[0] + (1) 5-Hydroxyferuloyl-CoA[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Sinapoyl-CoA[0]	-4.360	-1.860	-23.150	21.290	h;sah;sam	5	32	C;H;N;O;P;S	R06578	R06578	1	4	0	14	2	23.150	2.500	18.790	21.290
rxn02232	S-Adenosyl-L-methionine:6-demethylsterigmatocystin 6-O-methyltransferase	2.1.1.109	OK	(1) S-Adenosyl-L-methionine[0] + (1) 6-Demethylsterigmatocystin[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) H+[0] + (1) Sterigmatocystin[0]	-4.360	-1.770	-23.060	21.290	h;sah;sam	5	18	C;H;N;O;S	R03112	R03112	1	2	0	16	2	23.060	2.590	18.700	21.290
