rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	is_redox	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn16706	9beta-pimara-7,15-diene,NADPH:oxygen 19-oxidoreductase	1.14.13.144	OK	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 9beta-Pimara-7,15-diene[0] => (4) H2O[0] + (3) NADP[0] + (1) 9beta-Pimara-7,15-dien-19-oate[0]	-318.400	-316.940	-315.670	2.730	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R09865	R09865	1	1	0	16	4	1	318.400	1.460	2.730	1.270
rxn37184	methylsterol monooxygenase	1.14.13.72	OK	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] => (4) H2O[0] + (3) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	-314.720	-316.940	-315.090	2.220	h;h2o;nadp;nadph;o2	7	29	C;H;N;O;P	R10058	R10058	1	1	0	18	4	1	316.940	2.220	0.370	1.850
rxn40150	11-oxo-beta-amyrin,NADPH:oxygen oxidoreductase (30-hydroxylating)		OK	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 11-Oxo-beta-amyrin[0] => (4) H2O[0] + (3) NADP[0] + (1) Enoxolone[0]	-314.720	-316.940	-313.030	3.910	h;h2o;nadp;nadph;o2	7	30	C;H;N;O;P	R10316	R10316	1	1	0	20	4	1	316.940	2.220	1.690	3.910
rxn11683	R07509	1.14.13.72	OK	(3) NADPH[0] + (3) O2[0] + (2) H+[0] + (1) 14-Demethyllanosterol[0] => (4) H2O[0] + (3) NADP[0] + (1) 4alpha-Methylzymosterol-4-carboxylate[0]	-314.720	-316.940	-313.330	3.610	h;h2o;nadp;nadph;o2	7	29	C;H;N;O;P	R07509	R07509	1	1	0	18	4	1	316.940	2.220	1.390	3.610
rxn37185	methylsterol monooxygenase	1.14.13.72	OK	(3) NADH[0] + (3) O2[0] + (2) H+[0] + (1) 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol[0] => (4) H2O[0] + (3) NAD[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	-314.720	-316.930	-316.840	2.210	h;h2o;nad;nadh;o2	7	29	C;H;N;O;P	R10057	R10057	1	1	0	18	4	1	316.930	2.210	2.120	0.090
rxn14236	7alpha,26-dihydroxy-4-cholesten-3-one,NADPH:oxygen oxidoreductase (26-hydroxylating)	1.14.13.15	OK	(2) NADPH[0] + (2) O2[0] + (1) H+[0] + (1) 7alpha,26-Dihydroxy-4-cholesten-3-one[0] => (3) H2O[0] + (2) NADP[0] + (1) 7alpha-Hydroxy-3-oxo-4-cholestenoate[0]	-222.140	-222.820	-218.770	4.050	h;h2o;nadp;nadph;o2	7	27	C;H;N;O;P	R08725	R08725	1	1	0	18	5	1	222.820	0.680	3.370	4.050
rxn14371	cholest-5-ene-3beta,26-diol,NADPH:oxygen oxidoreductase (26-hydroxylating)	1.14.13.15	OK	(2) NADPH[0] + (2) O2[0] + (1) H+[0] + (1) 26-Hydroxycholesterol[0] => (3) H2O[0] + (2) NADP[0] + (1) 3beta-Hydroxy-5-cholestenoate[0]	-222.140	-222.820	-218.770	4.050	h;h2o;nadp;nadph;o2	7	27	C;H;N;O;P	R08726	R08726	1	1	0	18	5	1	222.820	0.680	3.370	4.050
rxn39787	Trichloroethanol, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)		OK	(2) NADPH[0] + (2) O2[0] + (1) H+[0] + (1) Trichloroethanol[0] => (3) H2O[0] + (2) NADP[0] + (1) Trichloroacetate[0]	-222.140	-222.810	-218.710	4.100	h;h2o;nadp;nadph;o2	7	21	C;Cl;H;N;O;P	R07107	R07107	1	4	0	10	5	1	222.810	0.670	3.430	4.100
rxn28804	RXN1F-152.d	1.14.13.129	OK	(2) NADH[0] + (2) O2[0] + (2) H+[0] + (1) beta-Carotene[0] => (2) H2O[0] + (2) NAD[0] + (1) Zeaxanthin[0]	-196.060	-194.400	-193.520	2.540	h;h2o;nad;nadh;o2	7	40	C;H;N;O;P	R09747	R09747	1	5	0	14	4	1	196.060	1.660	2.540	0.880
rxn16595	beta-carotene,NADH:oxygen oxidoreductase (3,3'-hydroxylating)	1.14.13.129	OK	(2) NADH[0] + (2) O2[0] + (2) H+[0] + (1) beta-Carotene[0] => (2) H2O[0] + (2) NAD[0] + (1) Zeaxanthin[0]	-196.060	-194.400	-193.520	2.540	h;h2o;nad;nadh;o2	7	40	C;H;N;O;P	R09747	R09747	1	5	0	14	4	1	196.060	1.660	2.540	0.880
rxn02251	D-Ribulose 1,5-bisphosphate oxygenase	4.1.1.-;4.1.1.39	OK	(1) O2[0] + (1) D-Ribulose 1,5-bisphosphate[0] => (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) 2-Phosphoglycolate[0]	-124.360	-123.410	-125.580	2.170	h;o2	5	5	C;H;O;P	R03140	R03140	1	9	0	0	3	0	125.580	0.950	1.220	2.170
rxn25701	RXN-961.d	4.1.1.-;4.1.1.39	OK	(1) O2[0] + (1) D-Ribulose 1,5-bisphosphate[0] => (2) H+[0] + (1) 3-Phosphoglycerate[0] + (1) 2-Phosphoglycolate[0]	-124.360	-123.410	-125.580	2.170	h;o2	5	5	C;H;O;P	R03140	R03140	1	9	0	0	3	0	125.580	0.950	1.220	2.170
rxn39287	2,4'-dihydroxyacetophenone oxidoreductase (C-C-bond-cleaving)	1.13.11.41	OK	(1) O2[0] + (1) 4-Hydroxyphenacyl alcohol[0] => (1) Formate[0] + (2) H+[0] + (1) 4-Hydroxybenzoate[0]	-121.700	-121.030	-123.040	2.010	h;o2	5	8	C;H;O	R01305	R01305	1	3	0	2	3	1	123.040	0.670	1.340	2.010
rxn11740	R08206	1.14.13.54	OK	(1) NADPH[0] + (1) O2[0] + (1) 17alpha-Hydroxyprogesterone[0] => (1) H2O[0] + (1) NADP[0] + (1) Acetate[0] + (1) Androstenedione[0]	-117.890	-122.100	-118.000	4.210	h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R08206	R08206	1	1	0	18	5	1	122.100	4.210	0.110	4.100
rxn00229	(S)-lactate:oxygen 2-oxidoreductase (decarboxylating)	1.13.12.4	OK	(1) O2[0] + (1) L-Lactate[0] => (1) H2O[0] + (1) CO2[0] + (1) Acetate[0]	-117.990	-118.860	-119.520	1.530	co2;h2o;o2	5	3	C;H;O	R00319	R00319	1	1	0	0	1	1	119.520	0.870	1.530	0.660
rxn39416	Octadecanal alkane-lyase		OK	(2) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Octadecanal[0] => (1) H2O[0] + (2) NADP[0] + (1) Formate[0] + (1) Heptadecane[0]	-116.710	-118.830	-114.890	3.940	h;h2o;nadp;nadph;o2	8	21	C;H;N;O;P	R03728	R03728	1	4	0	10	5	1	118.830	2.120	1.820	3.940
rxn40146	kanamycin-B,2-oxoglutarate:oxygen oxidoreductase (deaminating, 2'-hydroxylating)	1.14.11.37	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Bekanamycin[0] => (1) CO2[0] + (1) NH3[0] + (1) Succinate[0] + (1) 2'-Dehydrokanamycin A[0]	-117.900	-118.740	-114.270	4.470	co2;nh3;o2	7	18	C;H;N;O	R10312	R10312	1	1	0	6	0	1	118.740	0.840	3.630	4.470
rxn38402	4-methylsterol oxidase	1.14.13.72	OK	(1) NADH[0] + (1) O2[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0] => (1) H2O[0] + (1) NAD[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	-118.580	-118.190	-114.840	3.740	h2o;nad;nadh;o2	6	29	C;H;N;O;P	R05734	R05734	1	23	0	18	5	1	118.580	0.390	3.740	3.350
rxn38401	4-methylsterol oxidase	1.14.13.72	OK	(1) NADPH[0] + (1) O2[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0] => (1) H2O[0] + (1) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	-118.580	-118.190	-114.250	4.330	h2o;nadp;nadph;o2	6	29	C;H;N;O;P	R05738	R05738	1	2	0	18	5	1	118.580	0.390	4.330	3.940
rxn11661	3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde,NADH:oxygen oxidoreductase (hydroxylating)	1.14.13.72	OK	(1) NADH[0] + (1) O2[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0] => (1) H2O[0] + (1) NAD[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	-118.580	-118.190	-114.840	3.740	h2o;nad;nadh;o2	6	29	C;H;N;O;P	R05734	R05734	1	23	0	18	5	1	118.580	0.390	3.740	3.350
rxn04003	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen oxidoreductase (hydroxylating)	1.14.13.72	OK	(1) NADPH[0] + (1) O2[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0] => (1) H2O[0] + (1) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate[0]	-118.580	-118.190	-114.250	4.330	h2o;nadp;nadph;o2	6	29	C;H;N;O;P	R05738	R05738	1	2	0	18	5	1	118.580	0.390	4.330	3.940
rxn05113	indole,NADPH:oxygen oxidoreductase (2-hydroxylating)	1.14.13.137	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) indol[0] => (1) H2O[0] + (1) NADP[0] + (1) Indolin-2-one[0]	-112.540	-115.680	-113.560	3.140	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R07403	R07403	1	4	0	14	3	1	115.680	3.140	1.020	2.120
rxn39038	RXN-6681.r.cornexp.NADP_NADPH	1.14.13.137	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) indol[0] => (1) H2O[0] + (1) NADP[0] + (1) Indolin-2-one[0]	-112.540	-115.680	-113.560	3.140	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R07403	R07403	1	4	0	14	3	1	115.680	3.140	1.020	2.120
rxn04054	inosine:oxygen 5'-oxidoreductase	1.1.3.28	OK	(1) O2[0] + (1) Inosine[0] => (1) H2O[0] + (1) H+[0] + (1) 9-Riburonosylhypoxanthine[0]	-113.360	-114.160	-109.200	4.960	h;h2o;o2	5	10	C;H;N;O	R05821	R05821	1	2	0	6	2	1	114.160	0.800	4.160	4.960
rxn01824	R02518	4.1.1.-	CI:2	(1) NADPH[0] + (1) O2[0] + (1) Homogentisate[0] => (1) H2O[0] + (1) NADP[0] + (1) CO2[0] + (1) Gentisate aldehyde[0]	-108.610	-108.670	-113.220	4.610	co2;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R02518	R02518	1	1	0	12	5	1	113.220	0.060	4.610	4.550
rxn16626	2-oxoglutarate:oxygen oxidoreductase (decarboxylating, ethylene-forming)	1.13.12.19	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (2) H+[0] => (1) H2O[0] + (3) CO2[0] + (1) Ethylene[0]	-112.010	-109.010	-109.470	3.000	co2;h;h2o;o2	6	5	C;H;O	R09784	R09784	1	1	0	0	3	1	112.010	3.000	2.540	0.460
rxn00312	L-Lysine:oxygen 2-oxidoreductase (decarboxylating)	1.13.12.2	OK	(1) O2[0] + (1) L-Lysine[0] => (1) H2O[0] + (1) CO2[0] + (1) 5-Aminopentanamide[0]	-109.260	-111.770	-108.970	2.800	co2;h2o;o2	5	6	C;H;N;O	R00449	R00449	1	1	0	0	3	1	111.770	2.510	0.290	2.800
rxn13771	rxn13771	1.6.3.2;1.6.3.4	OK	(2) NADH[0] + (1) O2[0] + (2) H+[0] => (2) H2O[0] + (2) NAD[0]	-108.780	-109.510	-110.950	2.170	h;h2o;nad;nadh;o2	5	21	C;H;N;O;P	R10517	R10517	1	27	0	10	3	1	110.950	0.730	2.170	1.440
rxn07840	R08050	1.14.11.-;1.14.11.55	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Ectoine[0] => (1) CO2[0] + (1) Succinate[0] + (1) 5-Hydroxyectoine[0]	-110.080	-109.810	-109.810	0.270	co2;o2	6	6	C;H;N;O	R08050	R08050	1	1	0	2	2	1	110.080	0.270	0.270	0.000
rxn04967	mugineic acid,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.25	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Mugineic acid[0] => (1) CO2[0] + (1) Succinate[0] + (1) 3-Epihydroxymugineic acid[0]	-110.080	-109.810	-106.440	3.640	co2;o2	6	12	C;H;N;O	R07186	R07186	1	1	0	2	2	1	110.080	0.270	3.640	3.370
rxn15670	flavanone,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.9	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) (2S)-Flavanone[0] => (1) CO2[0] + (1) Succinate[0] + (1) Dihydroflavonol[0]	-110.080	-109.810	-106.650	3.430	co2;o2	6	15	C;H;O	R07329	R07329	1	2	0	6	2	1	110.080	0.270	3.430	3.160
rxn01369	2-Deoxyuridine,2-oxoglutarate:oxygen oxidoreductase (2'-hydroxylating)	1.14.11.3	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Deoxyuridine[0] => (1) CO2[0] + (1) Succinate[0] + (1) Uridine[0]	-110.080	-107.990	-108.590	2.090	co2;o2	6	9	C;H;N;O	R01879	R01879	1	1	0	4	2	1	110.080	2.090	1.490	0.600
rxn01767	flavanone,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.9	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Naringenin[0] => (1) CO2[0] + (1) Succinate[0] + (1) Aromadendrin[0]	-110.080	-109.840	-108.220	1.860	co2;o2	6	15	C;H;O	R02444	R02444	1	1	0	6	2	1	110.080	0.240	1.860	1.620
rxn07783	flavanone,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.9	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Pinocembrin[0] => (1) CO2[0] + (1) Succinate[0] + (1) Pinobanksin[0]	-110.080	-109.840	-108.220	1.860	co2;o2	6	15	C;H;O	R07993	R07993	1	1	0	6	2	1	110.080	0.240	1.860	1.620
rxn02602	flavanone,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.9	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Eriodictyol[0] => (1) CO2[0] + (1) Succinate[0] + (1) Taxifolin[0]	-110.080	-109.840	-108.220	1.860	co2;o2	6	15	C;H;O	R03640	R03640	1	1	0	6	2	1	110.080	0.240	1.860	1.620
rxn05073	flavanone,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.9	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Flavanone[0] => (1) CO2[0] + (1) Succinate[0] + (1) Dihydroflavonol[0]	-110.080	-109.810	-106.650	3.430	co2;o2	6	15	C;H;O	R07329	R07329	1	2	0	6	2	1	110.080	0.270	3.430	3.160
rxn07786	flavanone,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.9	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Liquiritigenin[0] => (1) CO2[0] + (1) Succinate[0] + (1) Garbanzol[0]	-110.080	-109.840	-108.220	1.860	co2;o2	6	15	C;H;O	R07996	R07996	1	1	0	6	2	1	110.080	0.240	1.860	1.620
rxn40466	OA-6129-A,2-oxoglutarate:oxygen oxidoreductase (8-hydroxylating)	1.14.20.-	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) OA-6129 A[0] => (1) CO2[0] + (1) Succinate[0] + (1) OA-6129 B2[0]	-108.280	-107.670	-109.840	2.170	co2;o2	6	20	C;H;N;O;S	R10735	R10735	1	1	0	4	2	1	109.840	0.610	1.560	2.170
rxn40296	NADPH:oxygen oxidoreductase (H2O-forming)		OK	(2) NADPH[0] + (1) O2[0] + (2) H+[0] => (2) H2O[0] + (2) NADP[0]	-108.780	-109.520	-109.790	1.010	h;h2o;nadp;nadph;o2	5	21	C;H;N;O;P	R10518	R10518	1	1	0	10	3	1	109.790	0.740	1.010	0.270
rxn00401	L-Arginine:oxygen 2-oxidoreductase (decarboxylating)	1.13.12.1	OK	(1) O2[0] + (1) L-Arginine[0] => (1) H2O[0] + (1) CO2[0] + (1) 4-Guanidinobutanamide[0]	-109.260	-106.640	-108.970	2.620	co2;h2o;o2	5	6	C;H;N;O	R00559	R00559	1	2	0	0	3	1	109.260	2.620	0.290	2.330
rxn30616	ARGININE-2-MONOOXYGENASE-RXN	1.13.12.1	OK	(1) O2[0] + (1) L-Arginine[0] => (1) H2O[0] + (1) CO2[0] + (1) 4-Guanidinobutanamide[0]	-109.260	-106.640	-108.970	2.620	co2;h2o;o2	5	6	C;H;N;O	R00559	R00559	1	2	0	0	3	1	109.260	2.620	0.290	2.330
rxn11657	R05426	1.14.12.12	OK	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) (S)-1-Phenylethanol[0] => (2) H2O[0] + (1) NAD[0] + (1) Acetophenone[0]	-106.570	-105.070	-109.240	4.170	h;h2o;nad;nadh;o2	7	21	C;H;N;O;P	R05426	R05426	1	1	0	12	5	1	109.240	1.500	2.670	4.170
rxn15329	4-Trimethylammoniobutanoate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.1	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) gamma-butyrobetaine[0] => (1) CO2[0] + (1) Succinate[0] + (1) Carnitine[0]	-108.280	-107.910	-109.050	1.140	co2;o2	6	7	C;H;N;O	R02397	R02397	1	4	0	0	2	1	109.050	0.370	0.770	1.140
rxn15330	4-Trimethylammoniobutanoate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.1	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) gamma-butyrobetaine[0] => (1) CO2[0] + (1) Succinate[0] + (1) D-Carnitine[0]	-108.280	-108.540	-109.050	0.770	co2;o2	6	7	C;H;N;O	R02397	R02397	1	4	0	0	2	1	109.050	0.260	0.770	0.510
rxn39339	4-Trimethylammoniobutanoate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)		OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) gamma-butyrobetaine[0] => (1) CO2[0] + (1) Succinate[0] + (1) Carnitine[0]	-108.280	-107.910	-109.050	1.140	co2;o2	6	7	C;H;N;O	R02397	R02397	1	4	0	0	2	0	109.050	0.370	0.770	1.140
rxn01727	4-Trimethylammoniobutanoate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.1	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) gamma-butyrobetaine[0] => (1) CO2[0] + (1) Succinate[0] + (1) Carnitine[0]	-108.280	-107.910	-109.050	1.140	co2;o2	6	7	C;H;N;O	R02397	R02397	1	4	0	0	2	1	109.050	0.370	0.770	1.140
rxn40218	L-enduracididine,2-oxoglutarate:O2 oxidoreductase (3-hydroxylating)	1.14.11.40	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) L-Enduracididine[0] => (1) CO2[0] + (1) Succinate[0] + (1) (3S)-3-Hydroxy-L-enduracididine[0]	-108.280	-107.730	-108.690	0.960	co2;o2	6	6	C;H;N;O	R10413	R10413	1	1	0	2	2	1	108.690	0.550	0.410	0.960
rxn03544	R05229	1.14.11.26	OK	(1) CO2[0] + (1) Succinate[0] + (1) Deacetylcephalosporin C[0] <= (1) O2[0] + (1) 2-Oxoglutarate[0] + (1) DAOC[0]	106.470	106.730	108.290	1.820	co2;o2	6	14	C;H;N;O;S	R05229	R05229	1	1	0	4	2	1	108.290	0.260	1.820	1.560
rxn27385	TML-alpha-ketoglutarate dioxygenase	1.14.11.8	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) N6,N6,N6-Trimethyl-L-lysine[0] => (1) CO2[0] + (1) Succinate[0] + (1) 3-Hydroxy-N6,N6,N6-trimethyl-L-lysine[0]	-108.280	-107.680	-106.540	1.740	co2;o2	6	9	C;H;N;O	R03451	R03451	1	2	0	0	2	1	108.280	0.600	1.740	1.140
rxn03763	deoxyamidinoproclavaminate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.21	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Deoxyamidinoproclavaminate[0] => (1) CO2[0] + (1) Succinate[0] + (1) Amidinoproclavaminate[0]	-108.280	-107.670	-105.790	2.490	co2;o2	6	9	C;H;N;O	R05466	R05466	1	1	0	2	2	1	108.280	0.610	2.490	1.880
rxn02469	N6,N6,N6-Trimethyl-L-lysine,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)	1.14.11.8	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) N6,N6,N6-Trimethyl-L-lysine[0] => (1) CO2[0] + (1) Succinate[0] + (1) 3-Hydroxy-N6,N6,N6-trimethyl-L-lysine[0]	-108.280	-107.680	-106.540	1.740	co2;o2	6	9	C;H;N;O	R03451	R03451	1	2	0	0	2	1	108.280	0.600	1.740	1.140
rxn39757	13-dihydrocarminomycin,NADPH:oxygen oxidoreductase		OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 13-Dihydrocarminomycin[0] => (2) H2O[0] + (1) NADP[0] + (1) Carminomycin[0]	-105.020	-105.100	-107.960	2.940	h;h2o;nadp;nadph;o2	7	26	C;H;N;O;P	R06692	R06692	1	2	0	20	5	1	107.960	0.080	2.940	2.860
rxn04891	1,1-dichloroethylene, NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)	1.14.14.1	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Vinylidene chloride[0] => (1) H2O[0] + (1) NADP[0] + (1) 2,2-Dichloroacetaldehyde[0]	-106.960	-105.880	-105.220	1.740	h;h2o;nadp;nadph;o2	7	21	C;Cl;H;N;O;P	R07088	R07088	1	1	0	10	4	1	106.960	1.080	1.740	0.660
rxn40148	30-hydroxy-11-oxo-beta-amyrin,NADPH:oxygen oxidoreductase (30-hydroxylating)		OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 30-Hydroxy-11-oxo-beta-amyrin[0] => (2) H2O[0] + (1) NADP[0] + (1) Glycyrrhetaldehyde[0]	-103.560	-104.630	-106.560	3.000	h;h2o;nadp;nadph;o2	7	30	C;H;N;O;P	R10314	R10314	1	1	0	20	5	1	106.560	1.070	3.000	1.930
rxn01026	Thymine,2-oxoglutarate:oxygen oxidoreductase (7-hydroxylating)	1.14.11.6	OK	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) Thymine[0] => (1) CO2[0] + (1) Succinate[0] + (1) 5-Hydroxymethyluracil[0]	-106.470	-105.770	-106.090	0.700	co2;o2	6	5	C;H;N;O	R01412	R01412	1	1	0	2	2	1	106.470	0.700	0.380	0.320
rxn16704	9beta-pimara-7,15-dien-19-ol,NADPH:oxygen 19-oxidoreductase	1.14.13.144	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 9beta-Pimara-7,15-dien-19-ol[0] => (2) H2O[0] + (1) NADP[0] + (1) 9beta-Pimara-7,15-dien-19-al[0]	-103.560	-104.630	-106.340	2.780	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R09863	R09863	1	1	0	16	5	1	106.340	1.070	2.780	1.710
rxn39754	13-dihydrodaunorubicin,NADPH:oxygen oxidoreductase (13-hydroxylating)	1.14.13.181	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 13-Dihydrodaunorubicin[0] => (2) H2O[0] + (1) NADP[0] + (1) Daunomycin[0]	-105.020	-105.090	-106.260	1.240	h;h2o;nadp;nadph;o2	7	27	C;H;N;O;P	R06689	R06689	1	2	0	20	5	1	106.260	0.070	1.240	1.170
rxn39689	Abietadienol,NADPH:oxygen oxidoreductase (18-hydroxylating)		OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Abietol[0] => (2) H2O[0] + (1) NADP[0] + (1) Abietal[0]	-103.560	-104.630	-105.780	2.220	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R06354	R06354	1	2	0	16	5	1	105.780	1.070	2.220	1.150
rxn03998	4beta-hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol,NADH:oxygen oxidoreductase (hydroxylating)	1.14.13.72	OK	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol[0] => (2) H2O[0] + (1) NAD[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0]	-103.560	-104.620	-105.560	2.000	h;h2o;nad;nadh;o2	7	29	C;H;N;O;P	R05733	R05733	1	2	0	18	5	1	105.560	1.060	2.000	0.940
rxn16762	8-hydroxylinalool,NADH:oxygen 8-oxidoreductase	1.14.13.-;1.14.13.151	OK	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) (E)-3,7-Dimethylocta-1,6-diene-3,8-diol[0] => (2) H2O[0] + (1) NAD[0] + (1) (6E)-8-Oxolinalool[0]	-105.110	-104.620	-102.050	3.060	h;h2o;nad;nadh;o2	7	21	C;H;N;O;P	R09924	R09924	1	1	0	10	5	1	105.110	0.490	3.060	2.570
rxn24581	artemisinic alcohol monooxygenase	1.14.13.-	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) artemisinic alcohol[0] => (2) H2O[0] + (1) NADP[0] + (1) artemisinic aldehyde[0]	-105.110	-104.630	-100.630	4.480	h;h2o;nadp;nadph;o2	7	21	C;H;N;O;P	R10024	R10024	1	2	0	14	5	1	105.110	0.480	4.480	4.000
rxn04002	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen oxidoreductase (hydroxylating)	1.14.13.72	OK	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol[0] => (2) H2O[0] + (1) NADP[0] + (1) 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde[0]	-103.560	-104.630	-104.970	1.410	h;h2o;nadp;nadph;o2	7	29	C;H;N;O;P	R05737	R05737	1	1	0	18	5	1	104.970	1.070	1.410	0.340
rxn32672	imidazole-4-acetate,NADH:oxygen oxidoreductase (5-hydroxylating)	1.14.13.5	OK	(1) NADH[0] + (1) O2[0] + (1) H+[0] + (1) 4-Imidazoleacetate[0] => (1) H2O[0] + (1) NAD[0] + (1) Imidazolone acetate[0]	-99.820	-104.680	-101.710	4.860	h;h2o;nad;nadh;o2	7	21	C;H;N;O;P	R04066	R04066	1	3	0	12	5	1	104.680	4.860	1.890	2.970
