rxn	name	ec	status	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	cofactors	n_participants	max_carbon	elements	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	is_transport	total_rings	n_groups_changed	is_redox	dg_scale	absdiff_gc_eq	absdiff_gc_dgp	absdiff_eq_dgp
rxn03354	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase	1.2.1.3	OK	(1) H2O[0] + (1) NAD[0] + (1) 5-Hydroxyindoleacetaldehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) 5-Hydroxyindoleacetate[0]	-9.800	-8.680	-7.260	2.540	h;h2o;nad;nadh	6	21	C;H;N;O;P	R04903	R04903	1	20	0	14	5	1	9.800	1.120	2.540	1.420
rxn03455	6-oxohexanoate:NADP oxidoreductase	1.2.1.4;1.2.1.63	OK	(1) H2O[0] + (1) NADP[0] + (1) 6-Oxohexanoate[0] <=> (1) NADPH[0] + (2) H+[0] + (1) Adipate[0]	-9.800	-9.060	-6.180	3.620	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R05099	R05099	1	1	0	10	5	1	9.800	0.740	3.620	2.880
rxn00196	2,5-dioxopentanoate:NADP+ 5-oxidoreductase	1.2.1.26;1.2.1.3	OK	(1) H2O[0] + (1) NADP[0] + (1) 2,5-Dioxopentanoate[0] <=> (1) NADPH[0] + (1) 2-Oxoglutarate[0] + (2) H+[0]	-9.800	-8.470	-6.180	3.620	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R00264	R00264	1	1	0	10	5	1	9.800	1.330	3.620	2.290
rxn03422	N-succinyl-L-glutamate 5-semialdehyde:NAD+ oxidoreductase	1.2.1.-;1.2.1.71	OK	(1) H2O[0] + (1) NAD[0] + (1) N-Succinyl-L-glutamate 5-semialdehyde[0] => (1) NADH[0] + (2) H+[0] + (1) N-Succinyl-L-glutamate[0]	-9.800	-9.450	-5.880	3.920	h;h2o;nad;nadh	6	21	C;H;N;O;P	R05049	R05049	1	4	0	10	5	1	9.800	0.350	3.920	3.570
rxn03366	R04917	1.2.1.-	OK	(1) H2O[0] + (1) NADP[0] + (1) 5-(2'-Formylethyl)-4,6-dihydroxypicolinate[0] <=> (1) NADPH[0] + (2) H+[0] + (1) 5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate[0]	-9.800	-9.060	-8.040	1.760	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R04917	R04917	1	1	0	12	5	1	9.800	0.740	1.760	1.020
rxn03424	L-erythro-4-Hydroxyglutamate:NAD+ oxidoreductase	1.5.1.12;1.5.99.8	OK	(1) NADH[0] + (2) H+[0] + (1) 4-Hydroxy-L-glutamate[0] <=> (1) H2O[0] + (1) NAD[0] + (1) L-4-Hydroxyglutamatesemialdehyde[0]	9.800	8.670	6.620	3.180	h;h2o;nad;nadh	6	21	C;H;N;O;P	R05051	R05051	1	4	0	10	5	1	9.800	1.130	3.180	2.050
rxn03423	N4-Acetylaminobutanal:NAD+ oxidoreductase	1.2.1.3	OK	(1) H2O[0] + (1) NAD[0] + (1) N4-Acetylaminobutanal[0] <=> (1) NADH[0] + (2) H+[0] + (1) 4-Acetamidobutanoate[0]	-9.800	-8.550	-5.200	4.600	h;h2o;nad;nadh	6	21	C;H;N;O;P	R05050	R05050	1	4	0	10	5	1	9.800	1.250	4.600	3.350
rxn33432	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase	1.2.1.3	OK	(1) H2O[0] + (1) NAD[0] + (1) 5-Hydroxyindoleacetaldehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) 5-Hydroxyindoleacetate[0]	-9.800	-8.680	-7.260	2.540	h;h2o;nad;nadh	6	21	C;H;N;O;P	R04903	R04903	1	20	0	14	5	1	9.800	1.120	2.540	1.420
rxn01993	2-Hydroxymuconate semialdehyde:NAD+ 6-oxidoreductase	1.2.1.32;1.2.1.85	OK	(1) H2O[0] + (1) NAD[0] + (1) 2-Hydroxymuconic semialdehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) 2-Hydroxymuconate[0]	-9.800	-9.060	-7.460	2.340	h;h2o;nad;nadh	6	21	C;H;N;O;P	R02762	R02762	1	1	0	10	5	1	9.800	0.740	2.340	1.600
rxn03365	R04916	1.2.1.-	OK	(1) H2O[0] + (1) NAD[0] + (1) 5-(2'-Formylethyl)-4,6-dihydroxypicolinate[0] <=> (1) NADH[0] + (2) H+[0] + (1) 5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate[0]	-9.800	-9.070	-7.460	2.340	h;h2o;nad;nadh	6	21	C;H;N;O;P	R04916	R04916	1	1	0	12	5	1	9.800	0.730	2.340	1.610
rxn01729	glutarate-semialdehyde:NAD+ oxidoreductase	1.2.1.20	OK	(1) H2O[0] + (1) NAD[0] + (1) 5-Oxopentanoate[0] <=> (1) NADH[0] + (2) H+[0] + (1) Glutarate[0]	-9.800	-9.060	-5.600	4.200	h;h2o;nad;nadh	6	21	C;H;N;O;P	R02401	R02401	1	1	0	10	5	1	9.800	0.740	4.200	3.460
rxn03934	R05663	1.2.1.28;1.2.1.7	OK	(1) H2O[0] + (1) NADP[0] + (1) o-Tolualdehyde[0] <=> (1) NADPH[0] + (2) H+[0] + (1) o-Toluate[0]	-9.800	-8.670	-9.000	1.130	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R05663	R05663	1	1	0	12	5	1	9.800	1.130	0.800	0.330
rxn05127	R07418	1.2.1.-	OK	(1) H2O[0] + (1) NADP[0] + (1) gamma-glutamyl-gamma-butyraldehyde[0] <=> (1) NADPH[0] + (2) H+[0] + (1) gamma-Glutamyl-GABA[0]	-9.800	-8.610	-5.830	3.970	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R07418	R07418	1	1	0	10	5	1	9.800	1.190	3.970	2.780
rxn05126	R07417	1.2.1.-	OK	(1) H2O[0] + (1) NAD[0] + (1) gamma-glutamyl-gamma-butyraldehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) gamma-Glutamyl-GABA[0]	-9.800	-8.610	-5.250	4.550	h;h2o;nad;nadh	6	21	C;H;N;O;P	R07417	R07417	1	1	0	10	5	1	9.800	1.190	4.550	3.360
rxn31894	Succinate-semialdehyde dehydrogenase	1.2.1.16;1.2.1.24	OK	(1) H2O[0] + (1) NAD[0] + (1) 4-Oxobutanoate[0] <=> (1) NADH[0] + (1) Succinate[0] + (2) H+[0]	-9.800	-8.470	-5.610	4.190	h;h2o;nad;nadh	6	21	C;H;N;O;P	R00713	R00713	1	3	0	10	5	1	9.800	1.330	4.190	2.860
rxn00779	D-glyceraldehyde 3-phosphate:NADP+ oxidoreductase	1.2.1.9	OK	(1) H2O[0] + (1) NADP[0] + (1) Glyceraldehyde3-phosphate[0] => (1) NADPH[0] + (2) H+[0] + (1) 3-Phosphoglycerate[0]	-9.800	-9.330	-9.570	0.470	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R01058	R01058	1	1	0	10	5	1	9.800	0.470	0.230	0.240
rxn33559	(R)-Lactaldehyde:NAD+ 2-oxidoreductase	1.2.1.23	OK	(1) H2O[0] + (1) NAD[0] + (1) D-Lactaldehyde[0] <=> (1) NADH[0] + (2) H+[0] + (1) D-Lactate[0]	-9.800	-8.410	-7.620	2.180	h;h2o;nad;nadh	6	21	C;H;N;O;P	R01735	R01735	1	2	0	10	5	1	9.800	1.390	2.180	0.790
rxn00508	Succinate-semialdehyde:NAD+ oxidoreductase	1.2.1.16;1.2.1.24	OK	(1) H2O[0] + (1) NAD[0] + (1) 4-Oxobutanoate[0] <=> (1) NADH[0] + (1) Succinate[0] + (2) H+[0]	-9.800	-8.470	-5.610	4.190	h;h2o;nad;nadh	6	21	C;H;N;O;P	R00713	R00713	1	3	0	10	5	1	9.800	1.330	4.190	2.860
rxn32195	Succinate-semialdehyde dehydrogenase (NAD(P)+)	1.2.1.16;1.2.1.79	OK	(1) H2O[0] + (1) NADP[0] + (1) 4-Oxobutanoate[0] <=> (1) NADPH[0] + (1) Succinate[0] + (2) H+[0]	-9.800	-8.470	-6.190	3.610	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R00714	R00714	1	6	0	10	5	1	9.800	1.330	3.610	2.280
rxn00509	Succinate-semialdehyde:NADP+ oxidoreductase	1.2.1.16;1.2.1.79	OK	(1) H2O[0] + (1) NADP[0] + (1) 4-Oxobutanoate[0] <=> (1) NADPH[0] + (1) Succinate[0] + (2) H+[0]	-9.800	-8.470	-6.190	3.610	h;h2o;nadp;nadph	6	21	C;H;N;O;P	R00714	R00714	1	6	0	10	5	1	9.800	1.330	3.610	2.280
