radius	group	coef_kJ_per_mol	n_heavy_atoms	n_training_compounds	n_modelseed_compounds
2	C[C@@H](N)CC(=O)N	-6.1303	7	1	2
2	CC[C@@H](C(=O)[O-])NC	-6.1303	8	1	5
1	ClC(Cl)Cl	-6.0887	4	1	1
2	ClCC(Cl)(Cl)Cl	6.0732	6	1	1
2	c[nH]cc(C)c	6.0680	6	4	281
2	ccc(c(C)c)c(c)[nH]	6.0680	9	4	262
2	C[C@H](O)O	-6.0265	4	2	298
2	CO[C@@H](O)[C@H](O)C	-6.0265	7	2	102
2	C[C@@H](O)[C@@H]([NH3+])C(=O)[O-]	5.9999	8	1	2
2	C[C@H]([NH3+])[C@H](O)C(=O)[O-]	5.9999	8	1	1
2	ClCCCl	-5.8869	4	1	1
2	CC(=N)CCC	5.8574	6	2	10
2	C=NCCC	5.8574	5	2	19
2	CC(=NCC)C	5.8574	6	2	7
2	C[C@@H](C)C(C)(O)C(=O)[O-]	-5.8420	9	1	1
2	CC(C)(O)[C@H](C)C(=O)[O-]	-5.8420	9	1	1
2	CCOC(O)C	-5.8271	6	5	45
1	N#C[S-]	5.8171	3	1	2
2	CC(C)C	5.7814	4	9	2145
2	C[C@@H](O)C(=O)CO	5.7755	7	6	30
2	COC(OP)[C@@H](N)C	5.7719	8	1	2
2	C[C@@H](C)OC(O)C	-5.7711	7	2	54
2	[SH-]	5.7623	1	1	3
1	[SH-]	5.7623	1	1	3
2	CC(=N)CC(=O)N	-5.7498	7	1	7
2	CC(=NC(=O)N)C	-5.7498	7	1	4
1	cc[n+]	5.7455	3	5	121
2	CC(=O)C[C@H](C)O	-5.7355	7	2	28
2	C[C@H](C)C	5.7307	4	2	1529
2	C[C@H]([NH3+])C(=O)[O-]	-5.6786	6	42	783
2	CCC	-5.6614	3	27	5003
2	C/C=C/C(=O)[O-]	-5.6234	6	2	27
1	[nH]c(=O)n	-5.6040	4	1	41
2	Cc(c)n([C@@H](C)O)c(=O)[nH]	-5.6040	10	1	1
2	ccc(C(=O)[O-])n(C)c	-5.6040	9	1	2
2	[nH]c(=O)n	-5.6040	4	1	41
2	cc(C(=O)[O-])n	-5.6040	6	1	36
2	Cc(n)cc(=O)[nH]	-5.6040	7	1	2
2	cnc(nc)c(c)[nH]	5.5859	8	1	39
2	cnc(N)c(c)[nH]	5.5859	7	1	15
2	c[nH]c(c(N)n)c(n)n	5.5859	9	1	40
2	cc(c)[nH]cn	5.5859	6	1	50
2	C[NH+](C)C	5.5702	4	1	638
1	C[NH+]	5.5702	2	1	642
2	COC(O)(CO)[C@H](O)C	-5.4739	9	3	10
2	CN(C)CC(=O)[O-]	5.4725	7	2	13
2	C[C@H](C)O[C@H](O)C	-5.4635	7	35	1628
1	C[C@H](C)C	5.4250	4	10	4744
2	C[C@@](O)(C(=O)[O-])C	-5.3901	7	1	18
2	CCC(=O)[C@@H](O)C	-5.3901	7	1	12
2	C[C@@H](O)[C@H](O)CC	-5.3901	7	1	43
2	CC[C@@](O)(C(=O)[O-])CC	-5.3901	9	1	7
2	C[C@@](O)(C)CC(=O)C	-5.3901	8	1	16
1	NC(N)=O	-5.3786	4	6	209
2	cn([C@H](OC)[C@H](O)C)c	5.3530	9	77	1891
1	O=S=O	-5.3389	3	1	1
2	CCS	-5.3289	3	5	101
2	CC(=NC(=O)N)N	5.3134	7	3	22
2	cnc(=O)[nH]c	-5.3134	6	3	66
2	c-c(n)nc(=O)[nH]	-5.3134	7	3	35
2	cc(c)N(CC)C(=N)C	5.3134	9	3	15
2	c-c(n)n(CC)c(c)c	-5.3134	9	3	34
2	cn(C[C@@H](C)O)c	-5.3134	7	3	35
1	c-c(n)n	-5.3134	4	3	75
2	C[C@@H](O)[C@@H](O)CN	5.3134	7	3	24
2	C[C@@H](O)[C@@H](O)Cn	-5.3134	7	3	34
1	CCn	-5.3134	3	3	200
1	CC(=N)N	5.3134	4	3	42
2	CCCC(=O)O	-5.3104	6	1	1546
2	CC[C@@H]([NH3+])C(=O)[O-]	5.2832	7	7	93
2	C/C=C/CC	5.2818	5	1	405
2	C=C/CCC	5.2818	5	1	469
1	C[NH2+]C	5.2670	3	8	832
2	CC(=O)[C@@H](O)[C@H](C)O	5.2612	8	2	9
2	C[C@H](O)[C@H](O)C(=O)[O-]	-5.2611	8	1	16
2	C[C@@H](O)[C@@H](O)C(=O)[O-]	-5.2611	8	1	19
2	CC(=O)C(=O)[O-]	5.2448	6	30	344
1	cc(c)N	5.2220	4	13	635
1	CC(=O)N	-5.2157	4	17	1390
2	CC(=O)N	-5.2157	4	17	1390
2	C[C@H](C)OC(C)(O)C	-5.1820	8	6	23
2	C[C@@H](O)CC	5.1710	5	1	5
1	cc(C)n	-5.1698	4	8	443
2	COC(OP)[C@H](O)C	-5.1045	8	2	21
2	C[C@@H](OP(=O)([O-])[O-])O	5.1023	8	8	199
2	C[C@@H](O)[C@@H](O)C=O	-5.0096	7	2	16
1	cc(C)[n+]	5.0064	4	1	32
1	cC[n+]	5.0064	3	1	25
2	cc(C)scn	-5.0064	6	1	4
2	cc(C)[n+]	5.0064	4	1	27
1	ncs	-5.0064	3	1	7
2	cc(C)sc[n+]	5.0064	6	1	10
1	[n+]cs	5.0064	3	1	10
2	cc(C)ncs	-5.0064	6	1	4
2	cc(C[n+](c)c)c	5.0064	7	1	24
2	cCOP(=O)([O-])O	-5.0064	7	1	5
2	c[n+](C)c(C)c(C)s	5.0064	8	1	17
2	cc(C)n	-5.0064	4	4	138
2	ncc(C[n+])c(N)n	5.0064	8	1	20
2	csc(CC)c(C)[n+]	5.0064	8	1	15
2	cC[n+](cs)c(C)c	5.0064	8	1	10
2	csc[n+](C)c	5.0064	6	1	10
2	cc(COP)c	-5.0064	6	1	21
2	cncsc	-5.0064	5	1	7
2	csc(CC)c(C)n	-5.0064	8	1	7
2	ncc(CO)c(N)n	-5.0064	8	1	6
2	cnc(C)c(C)s	-5.0064	7	1	8
2	C/C=C(\C)C(=O)[O-]	4.8859	7	1	12
2	C/C(C)=C/C(=O)[O-]	4.8859	7	1	16
2	CC(=O)OC	4.8674	5	1	719
2	C[C@@H](O)[C@@H](O)C(O)O	-4.8251	8	4	49
2	CCCC	4.7863	4	18	3508
1	O=O	4.7664	2	1	1
2	ClCC(Cl)CCl	-4.7232	6	1	1
2	NCCC(=O)[O-]	4.7153	6	2	9
2	C[C@H](OP(=O)([O-])[O-])C	4.6928	8	2	178
2	C[C@@H](O)[C@@H](OP)[C@H](n)O	4.6928	9	2	38
1	cc(C)c	4.6847	4	36	5439
2	C/C=C/c(c)c	4.6737	6	4	410
2	ccc(F)cc	-4.6513	6	2	81
2	[NH3+][C@@H](CO)C(=O)[O-]	-4.6455	7	5	82
1	C[C@H](N)O	4.6300	4	3	82
2	C[C@H](C)O[C@@H](N)C	4.6300	7	3	54
2	C[C@@H](O)[C@@H](O)[C@H](N)O	4.6300	8	3	38
2	CO[C@H](OP)[C@@H](O)C	-4.6172	8	3	53
2	CC(O)(O)[C@H](O)[C@H](O)C	4.6085	9	1	4
2	CC(C)([NH3+])CO	4.6077	6	2	8
2	cc(Cl)cc(Cl)c	-4.6047	7	1	162
2	CC(O)(COP)O	-4.5983	7	2	9
2	O=C([O-])C(=O)CO	-4.5905	7	2	2
2	cnc([nH]c)c(c)n	4.5817	8	3	25
2	cc(n)[nH]cn	4.5817	6	3	22
2	cc(c)nc[nH]	4.5817	6	3	31
1	CC(C)Cl	-4.5757	4	2	35
1	C[C@H](C)[NH2+]	4.5739	4	5	175
1	cc(n)[nH]	4.5675	4	4	61
2	cnc(c(=O)[nH])c(n)[nH]	4.5533	9	3	10
2	cc(n)nc[nH]	4.5321	6	6	70
2	CCC[C@@H](C)O	-4.5306	6	4	235
1	CSS	4.4816	3	5	109
2	CCC(=O)S	-4.4667	5	1	3
2	CC(C)Cl	-4.4283	4	2	35
2	CC(=O)CC	-4.3426	5	2	32
2	CCC[C@@H](C)[NH2+]	4.3420	6	1	25
2	c[C@@H](C)O	-4.3352	4	1	77
1	c[C@@H](C)O	-4.3352	4	1	318
2	cc([C@H](O)[C@@H](C)O)c	-4.3352	8	1	2
2	c[C@H](O)[C@H](O)CO	-4.3352	7	1	3
2	cc(c)c([C@@H](C)O)c[nH]	-4.3352	9	1	2
2	c-c(c)c(=O)[nH]c	-4.3066	7	1	18
1	cc(c)C	4.3066	4	3	2359
1	CN(C)c	4.3066	4	1	29
2	c-c(c)cc(c)c	-4.3066	7	1	29
2	cc(cc(O)c)N	4.3066	7	1	47
2	CN(C)c(cc)c(c)C	4.3066	9	1	46
1	c-c(c)c	-4.3066	4	1	1354
2	CN=C(C(C)C)N(C)c	4.3066	9	1	9
2	cCC(C(=N)N)C(=O)N	4.3066	9	1	9
2	ccc(c(c)N)CC	4.3066	8	1	31
2	CN(C[C@@H](C)O)c	4.3066	7	1	9
2	cc(O)cc(c)n	-4.3066	7	1	51
2	cccc(c)C	4.3066	6	3	1006
2	ccc(cc)c(c)n	-4.3066	8	1	69
2	ccc(c(c)c)n(C)c	-4.3066	9	1	74
2	CC(C)Cc(c)c	4.3066	7	1	29
2	cnc(n(C)c)-c(c)c	-4.3066	9	1	17
2	ccc(c(=O)[nH])-c(n)n	-4.3066	9	1	17
2	C[C@H](O)[C@@H](OC)[C@H](O)C	4.2997	9	1	20
2	C[C@@H](OC)C(=O)C	-4.2970	7	1	22
2	C[C@@H](O)C(=O)[C@H](O)C	-4.2970	8	1	20
2	C[C@@H](OC)[C@@H]([NH3+])C	4.2970	7	1	7
2	C[C@@H](O)[C@@H]([NH3+])[C@H](O)C	4.2970	8	1	17
2	CC(=O)[C@H](O)[C@@H](O)C	-4.2970	8	1	25
2	C[C@H](O)[C@@H](O)[C@H]([NH3+])C	4.2970	8	1	18
2	[NH3+]CCC=O	-4.1613	5	1	1
2	[NH3+]CCC[NH3+]	4.1613	5	1	1
2	CNC(=O)C(C)C	4.1498	7	2	26
2	C[C@@H]([NH3+])CC(=O)[O-]	-4.0868	7	2	21
2	C[C@@H](O)[C@H](O)C(=O)[O-]	4.0840	8	1	18
2	C[C@@H](C(=O)[O-])O	-4.0840	6	6	324
2	ClCC(Cl)Cl	4.0558	5	1	1
2	C[C@H]([NH3+])CCC	-4.0539	6	3	63
2	CC(=O)[C@H](O)[C@@H](C)O	-4.0406	8	4	24
2	CC(=O)CC(=O)S	4.0357	7	2	111
2	CNc(c(C)n)n(C)c	-4.0011	9	1	3
2	cc(NC=O)n	-4.0011	6	1	1
2	Cc(n)c(N)n(C)c	4.0011	8	2	6
1	CS	-3.9850	2	11	485
2	CC(=O)NC	-3.9772	5	10	957
2	C[C@@H]([NH3+])CCS	3.9772	6	3	28
2	CN[C@@H](CC)C(=O)[O-]	-3.9772	8	15	278
2	C[C@H](C)NC(C)=O	-3.9772	7	11	881
2	C[C@@H](N)CCS	-3.9772	6	1	47
2	CC(O)(O)[C@@H](O)[C@H](O)C	-3.9642	9	7	22
2	C[C@@H](O[C@H](C)O)O	-3.9140	7	2	39
2	C[C@H](N)[C@@H](O)[C@H](O)C	3.9107	8	3	348
2	CSCCC	3.9090	5	3	90
2	CSC[C@H](C)O	3.9090	6	3	18
2	CCSCC	3.9090	5	1	113
2	CO[C@H](CS)[C@@H](O)C	3.9090	8	3	25
2	CC(C)(C)[NH3+]	3.8669	5	2	22
1	CC(=C)O	3.8617	4	5	105
2	CC(=C)O	3.8617	4	5	31
2	C=C(OP)C(=O)[O-]	3.8617	7	1	4
2	C=C(O)C(=O)[O-]	3.8617	6	5	17
2	CC(=C)OP(=O)([O-])[O-]	3.8617	8	1	2
2	ccc(CO)cc	3.8586	7	2	122
2	ccc(C=O)cc	-3.8586	7	2	41
2	CCC[C@H](C)O	3.8571	6	1	646
2	C[C@H](O)[C@H](O)[C@@H](C)O	-3.8525	8	11	197
2	C[C@H](C)NC(N)=O	-3.8505	7	1	9
2	OC[C@H](O)CO	-3.8215	6	1	58
2	C[C@](C)(C)CCC	-3.7989	7	4	1940
2	C[C@@H](O)C=O	-3.7929	5	4	75
2	C[C@@H](N)CCC	3.7824	6	3	358
2	CC[C@@H](O)C[N+]	3.7702	6	1	6
2	C=C/C=O	-3.7130	4	1	51
2	cc(/C=C/C)c	3.7130	6	1	67
2	c/C=C/C=O	-3.7130	5	1	15
2	c/C=C/CO	3.7130	5	1	29
2	C=C/CO	3.7130	4	1	70
2	CC(=C)CC=C	3.7101	6	2	14
1	cC(N)=O	-3.7101	4	15	445
2	CN(C)C=CC	3.7101	6	2	14
2	CN([C@H](OC)[C@H](O)C)C	3.7101	9	2	28
2	CC(=CN(C)C)C	3.7101	7	2	24
2	cc(C(N)=O)c	-3.7101	6	5	40
2	CCC(C(N)=O)=CN	3.7101	8	2	14
2	CCC=CN	3.7101	5	2	14
2	C=CN([C@@H](C)O)C=C	3.7101	8	2	8
2	C=C(C(N)=O)C	3.7101	6	2	19
2	cc([nH])nc[nH]	3.7009	6	1	6
2	CC(=O)CO	-3.6995	5	15	124
2	C=C[C@@H](O)[C@@H](O)C	3.6741	7	1	5
2	CC(=C)CC(=O)C	-3.6741	7	1	4
2	C[C@@H](O)[C@@H](O)C(=O)C	-3.6741	8	1	24
2	CCC(=O)[C@H](O)C	-3.6741	7	1	8
2	CCC(C(=O)[O-])=CC	-3.6741	8	1	2
2	C[C@H](O)[C@H](O)C=C	-3.6741	7	1	11
1	C[N+](C)(C)[O-]	3.6247	5	1	7
2	CSSCC	3.6180	5	3	26
2	C[NH2+]C(C)C(=O)[O-]	3.6113	7	1	2
2	CC(C)[NH2+]	3.6113	4	1	50
2	CC([NH2+])C(=O)[O-]	3.6113	6	1	10
1	CC(C)[NH2+]	3.6113	4	1	93
2	CO[C@H]([C@@H](O)C)[C@@H](O)C	3.6036	9	1	205
2	NCCSS	3.5514	5	1	6
1	N#C[O-]	-3.5333	3	1	1
2	CSC(=O)CC	-3.5323	6	4	120
2	CC(O)C=O	-3.5302	5	1	16
2	O=CC(O)C(=O)[O-]	-3.5302	7	1	1
2	C/C=C\C(=O)[O-]	3.5290	6	1	27
2	C[C@@H]([NH2+])C(=O)[O-]	3.5005	6	1	16
2	C[C@@H](C)[NH2+]	3.5005	4	1	20
2	C[C@H](C)[NH2+][C@@H](C)C	3.5005	7	1	13
2	C[C@@H]([NH2+]C)C(=O)[O-]	3.5005	7	1	5
2	C[C@](C)(C)C	3.4932	5	5	2544
2	CC[C@H](O)[C@@](C)(C)C	3.4932	8	2	161
2	C[C@H](C)CCC	3.4932	6	4	1569
2	C[C@@](C)(C)[C@@H](CC)[C@H](C)C	-3.4932	10	2	137
2	CC[C@@H]([C@H](C)C)[C@](C)(C)C	3.4932	10	2	981
2	CC[C@](C)([C@@H](O)C)[C@@H](C)C	3.4932	10	2	229
2	CCC(=O)[C@@](C)(C)C	-3.4932	8	2	130
1	C[C@@](C)(C)C	-3.4932	5	4	2270
2	C[C@@](C)(C)CCC	3.4932	7	2	1063
2	CC[C@](C)(C(=O)C)[C@@H](C)C	-3.4932	10	2	114
2	C[C@@](C)(C)C	-3.4932	5	4	2067
1	C[C@](C)(C)C	3.4932	5	5	2792
1	C[C@@H](C)N	-3.4916	4	11	906
2	C[C@@H](O)[C@@H](O)C(C)(O)O	-3.4715	9	1	1
2	CN[C@@H]([C@@H](O)O)[C@@H](O)C	3.4671	9	1	675
2	CO[C@H](OP)[C@H](N)C	3.4671	8	1	588
2	CC[NH3+]	-3.4530	3	16	727
1	CC[NH3+]	-3.4530	3	16	727
2	CC(=O)[C@H](O)CO	3.4311	7	2	16
2	C[C@@H]([NH3+])C	3.4258	4	5	238
1	C[C@@H]([NH3+])C	3.4258	4	5	238
2	O	3.4252	1	6	63
2	CC[C@@H](C(=O)[O-])[NH2+]C	-3.4251	8	2	13
2	CCC(O)(CC)C(=O)[O-]	-3.3967	9	1	55
2	C[C@H](O)[C@H](O)[C@H](C)O	-3.3633	8	2	42
2	C[C@H](O)[C@H](C)O	-3.3633	6	2	15
2	Cc(c)nc[nH]	3.3566	6	1	14
2	C/C=C/c(c)n	3.3566	6	1	1
2	Cc(n)c[nH]c	3.3566	6	1	13
2	C=C/c(c[nH])nc	3.3566	7	1	12
2	C[C@@H](O)CO	3.3540	5	10	343
2	CO[C@H](C(=O)[O-])[C@@H](O)C	3.3502	9	4	267
1	C[C@@H](C)[NH2+]	3.3440	4	2	75
2	CSC(C)=O	-3.3423	5	1	12
1	cCl	3.3333	2	3	1037
1	cc(Cl)c	3.3333	4	3	971
2	cc(Cl)c	3.3333	4	3	971
2	C[C@@H](O)C[N+](C)(C)C	3.3272	8	3	32
2	C[C@@H](C)[C@H]([NH3+])C(=O)[O-]	3.3201	8	1	5
2	C[C@@H]([NH3+])[C@H](C)C(=O)[O-]	3.3201	8	1	1
2	CCCCN	3.2785	5	7	663
2	CC(O)(O)C[C@H](O)C	-3.2712	8	2	8
2	CO[C@@H]([C@@H](C)O)[C@H](N)C	-3.2712	9	2	63
2	CCC(O)(C(=O)[O-])OC	-3.2712	9	2	12
2	CC(O)(C(=O)[O-])O	-3.2712	7	2	19
2	CC(O)(C)O[C@@H](C)C	-3.2712	8	2	12
2	CN[C@H]([C@@H](O)C)[C@H](C)O	-3.2712	9	2	67
2	CC[C@H](O)[C@@H](N)C	-3.2712	7	2	62
2	C[C@@H](C(=O)[O-])[NH2+]	-3.2686	6	3	43
1	cc(c)[nH]	3.2682	4	8	866
2	CO[C@@H](CO)[C@@H](O)C	-3.2631	8	1	64
2	C[C@@H](O)[C@H](O)[C@@H](O)O	-3.2631	8	1	68
2	C[C@H](CO)O	-3.2631	5	1	146
2	C/C=C(/C)C(=O)[O-]	-3.2493	7	1	5
2	COC(C)=O	-3.2316	5	5	599
2	[N+]CCO	3.2313	4	1	2
2	ccc(N)nc	3.1765	6	11	131
2	cc(N)nc(=O)n	3.1765	7	11	147
1	nc(=O)n	3.1765	4	11	198
2	nc(N)ccn	3.1765	6	11	124
2	nc(=O)n	3.1765	4	11	198
2	ccn([C@@H](C)O)c(=O)n	3.1765	9	11	132
2	cnc(=O)n(C)c	3.1765	7	11	162
2	N=C(N)N	-3.1650	4	2	20
1	N=C(N)N	-3.1650	4	2	24
1	C=N	-3.1650	2	2	30
2	CC[C@H](O)C[N+]	-3.1453	6	1	2
2	C[C@H](O)C[N+](C)(C)C	-3.1453	8	1	2
2	C[C@H](O)/C=C/C	3.1371	6	1	96
2	C=C/[C@@H](O)CC	3.1371	6	1	84
2	C=C/C(=O)CC	-3.1371	6	1	22
2	CC(=O)/C=C/C	-3.1371	6	1	27
2	CC[C@H](C)O	3.1356	5	1	75
2	CCC[NH3+]	3.1304	4	10	326
1	cn(C)c	3.1094	4	95	2540
2	CC(=O)OP	-3.0988	5	1	2
2	cNC=O	-3.0813	4	2	63
2	C[C@@H](O)C[C@@H](O)O	-3.0697	7	1	18
2	cn([C@@H](CC)OC)c	3.0697	8	16	214
2	CC[C@@H](OP)OC	-3.0697	7	1	60
2	C[C@@H](O)C[C@H](n)O	3.0697	7	16	205
2	[NH3+]CCO	3.0399	4	3	148
2	CC(=O)[C@H](O)[C@H](C)O	3.0067	8	2	12
2	C[C@H](O)[C@@H](C)O	3.0067	6	2	30
2	CO[C@H](CO)[C@@H](O)C	-3.0057	8	127	4691
2	C[C@@H]([NH3+])C(=O)[O-]	-2.9721	6	10	141
2	CC(=O)SCC	-2.9620	6	5	210
2	CC(C)CC	2.9493	5	2	290
2	C[C@@H](O)[C@@H](O)CO	2.9048	7	5	135
2	C[C@@H]([NH3+])CC(C)C	2.8845	7	1	24
1	cNC	2.8777	3	16	652
2	C=C/C	2.8765	3	1	247
2	C/C=C/C	2.8765	4	1	59
2	C[C@H](O)[C@H](O)C(C)(O)O	-2.8743	9	1	1
1	C[C@H]([n+])O	2.8727	4	5	37
2	c[n+]([C@H](OC)[C@H](O)C)c	2.8727	9	5	34
2	C[C@@H](O)[C@@H](O)[C@H]([n+])O	2.8727	8	5	31
2	Cc(c)c[n+](C)c	2.8727	7	5	28
2	cccc[n+]	2.8727	5	5	58
2	ccc[n+](C)c	2.8727	6	5	62
2	cc[n+]([C@@H](C)O)cc	2.8727	8	5	27
2	C[C@H](C)O[C@@H]([n+])C	2.8727	7	5	37
2	CC[C@@H](O)[C@@H](C)O	-2.8677	7	3	49
2	CCC(=O)[C@@H](C)O	-2.8677	7	1	18
2	ccc(C(N)=O)c[n+]	2.8643	8	4	12
1	CC(C)(C)[NH3+]	2.8249	5	2	22
2	CC(C)([NH3+])C(=O)[O-]	2.8249	7	2	11
2	[NH3+][C@@H](C[S-])C(=O)[O-]	2.8223	7	1	1
2	C[C@@H]([NH3+])C[S-]	2.8223	5	1	5
2	c[C@@H]([NH3+])C(=O)[O-]	-2.8219	6	1	3
2	cc([C@@H]([NH3+])C(N)=O)c	2.8219	8	1	21
2	cc([C@@H]([NH3+])C(=O)[O-])c	-2.8219	8	1	3
2	c[C@@H]([NH3+])C(=O)NC	2.8219	7	1	33
2	C[C@H](O)CC(=O)S	2.8117	7	2	38
2	c[nH]c(=O)c(c)n	2.8111	7	18	202
2	ccc(Cl)cc	2.7981	6	2	436
2	COC[C@H](O)C	-2.7934	6	5	124
2	C[C@@H](O)[C@H](O)[C@@H](C)O	-2.7923	8	10	225
2	C[C@@H](O)[C@@H](OC)[C@H](O)C	2.7796	9	5	637
2	NCCS	-2.7638	4	2	9
2	cccc([N+])c	2.7525	6	1	240
2	cccc(N)c	-2.7525	6	8	866
2	ccc(C(=O)[O-])cc	2.7514	8	3	153
2	CCCO	2.7237	4	7	328
2	CC(=O)COP	2.6724	6	6	62
2	CC[C@H](NC)C(=O)N	-2.6683	8	1	32
2	CNC(=O)[C@H](C)N	-2.6683	7	5	385
2	C[C@H](CC(=O)[O-])N	-2.6683	7	1	6
2	C=C/C(=O)OC	-2.6556	6	1	240
2	c/C=C/C(=O)O	-2.6556	6	1	192
2	CC(=O)O[C@@H](C)O	-2.6556	7	1	92
2	cC(=O)N[C@H](C)C	2.6511	7	8	175
2	cc(C(=O)NC)n	2.6511	7	1	37
2	cc(C(N)=O)n	-2.6511	6	2	7
2	cc(=O)[nH]cn	2.6471	6	6	30
2	C[C@@H](O)COP	-2.6444	6	2	684
2	nccc(=O)[nH]	-2.6368	6	11	192
2	CC(=C)C(C)C(=O)[O-]	2.6340	8	1	1
2	CC(C)C(=C)C(=O)[O-]	2.6340	8	1	1
2	C=C(C)CC	-2.6007	5	1	11
2	C=CCOP	2.6007	5	1	3
2	CC=C(C)C	2.6007	5	3	1354
2	CCCOP	-2.6007	5	3	107
2	C=C(C)CCO	-2.6007	6	1	5
2	CC(C)=CCO	2.6007	6	1	25
2	C[C@@H](O)[C@H](O)[C@@H](O)C	-2.5996	8	1	228
2	CNCCC	-2.5789	5	5	434
2	CCCS	-2.5651	4	3	42
2	C[C@H](O)[C@@H](O)[C@@H](C)O	-2.5328	8	6	104
2	ccn([C@@H](C)O)c(=O)[nH]	-2.4800	9	18	338
2	CC(C)C(=O)SC	-2.4749	7	1	24
2	CC(C(=O)[O-])C(=O)S	-2.4749	8	1	1
2	C[C@H](O)[C@@H](O)[C@@H](O)O	-2.4523	8	25	693
2	ccc(N(C)C)cc	2.4120	8	2	89
2	cN(C)CN(c)C	2.4120	7	2	10
1	NCN	2.4120	3	2	33
2	C[C@@H](N)C[S-]	-2.3885	5	1	24
2	CN[C@@H](CS)C(N)=O	2.3885	8	3	116
2	CN[C@@H](C[S-])C(N)=O	-2.3885	8	1	16
2	ccc(NC)cc	2.3874	7	5	77
2	CCCC(=O)[O-]	2.3754	6	40	1336
2	O=CCP(=O)([O-])O	-2.3606	7	1	1
2	O=CCP	-2.3606	4	1	1
2	[NH3+]CCP	2.3606	4	1	3
2	[NH3+]CCP(=O)([O-])O	2.3606	7	1	3
2	CC[C@H](C)[NH3+]	-2.3319	5	1	7
2	CC[C@H]([NH3+])CC	2.3319	6	1	6
2	C[C@H]([NH3+])C[C@@H](C)[NH3+]	2.3319	7	1	3
2	CC(=O)C[C@H](C)[NH3+]	-2.3319	7	1	2
2	C[C@@H]([NH3+])CC	2.3319	5	1	5
1	[Fe+3]	-2.2982	1	1	9
2	[Fe+3]	-2.2982	1	1	9
2	CC(n)=O	2.2943	4	1	3
2	C[C@@H](N)CSS	2.2917	6	2	18
2	C[C@@H]([NH3+])C(C)C	-2.2880	6	1	14
2	CC(C)[C@H]([NH3+])C(=O)[O-]	-2.2880	8	1	2
2	C[C@H](C)OC(O)C	-2.2539	7	27	392
1	Cc(c)n	-2.2474	4	5	253
2	CC(=O)CC(C)C	2.2281	7	1	50
2	CCC(C)C	2.2281	5	1	715
2	CCSSC	2.2075	5	3	43
2	CC(O)(O)[C@@H](O)[C@@H](O)C	-2.1372	9	1	8
1	N=CN	-2.0952	3	1	13
2	CNC=NC	-2.0952	5	1	3
2	CCCC(C)N	-2.0952	6	1	57
2	CC(=O)NC=N	-2.0952	6	1	2
2	C=NC(CC)C(=O)N	-2.0952	8	1	1
2	CC(C)N=CN	-2.0952	6	1	3
2	C[C@@H](O)[C@@H](O)[C@@H](O)O	2.0910	8	5	112
2	C[C@H](C)C(=O)[O-]	-2.0816	6	1	61
2	C[C@@H](C)C(=O)SC	-2.0816	7	1	3
2	C[C@H](C(=O)[O-])C(=O)S	-2.0816	8	1	1
2	[NH3+]	-2.0735	1	2	2
2	CC(C)(C)[C@@H](O)C(N)=O	-2.0655	9	23	1051
2	CNC(=O)[C@@H](C)O	-2.0655	7	23	1060
2	CCCNC	-2.0655	5	25	1097
1	cC=O	-2.0510	3	3	182
2	cC=O	-2.0510	3	3	182
2	cc(C=O)c	-2.0510	5	3	163
2	C[C@H](O)[C@@H](O)[C@H](O)C	-2.0379	8	35	2385
1	cc([nH])N	-2.0196	4	7	97
2	c[nH]c(c(c)N)NC	-2.0196	8	7	94
2	cNC[C@H](C)N	-2.0196	6	5	39
2	cc([nH])NCC	-2.0196	6	5	56
2	cnc(=O)c(c)N	-2.0196	7	7	94
2	cc([nH]c(N)n)N	-2.0196	7	7	94
2	O=C(CO)CO	-2.0195	6	2	24
2	cc(C)cc(c)n	-2.0135	7	2	39
2	cc(C)cc(c)N	2.0135	7	2	22
2	CC(=O)OCC	-2.0094	6	1	1095
2	COC[C@@H](C)[NH3+]	-2.0094	6	1	12
2	CCC[C@H](C)[NH3+]	-2.0024	6	1	15
2	C[C@@H](O)CC(=O)[O-]	-1.9973	7	3	51
2	CC(C)(C)[C@@H](O)C(=O)[O-]	1.9953	9	1	4
2	cNC[C@@H](C)N	1.9611	6	2	17
2	cc(NCC)c	1.9611	6	2	36
2	C[C@@H](C)[C@@H](O)C(=O)[O-]	1.9360	8	1	9
2	C[C@H](O)[C@H](CC)C(=O)[O-]	1.9360	9	1	3
1	CC(Cl)Cl	-1.9225	4	3	33
2	C[NH2+]C	-1.9121	3	1	223
1	C[NH2+]	-1.9121	2	1	228
1	ClC(Cl)(Cl)Cl	-1.8940	5	1	1
1	C[NH+](C)C	1.8567	4	1	1152
2	[NH+]	1.8567	1	1	1
2	CC(=C)[C@H]([NH3+])[C@@H](O)C	1.8328	8	1	2
2	CO[C@@H](C=C)[C@@H]([NH3+])C	1.8328	8	1	1
2	CC=C(C(=O)[O-])[C@H]([NH3+])C	1.8328	9	1	2
2	COC(O)[C@@H](N)C	1.8276	7	2	4
2	Cc(c)c(CO)cn	1.8077	8	1	7
2	cc(C)c(C=O)c(O)c	1.8077	9	1	25
2	cc(C)c(CO)cn	-1.8077	8	2	11
2	Cc(c)c(O)c(C)n	1.8077	8	1	9
2	cc(C)c(O)c(C)n	-1.8077	8	2	13
2	CC(C)[NH2+]C(C)C	1.8057	7	1	9
2	C[C@H]([NH3+])CO	-1.7829	5	1	19
