radius	group	coef_kJ_per_mol	n_heavy_atoms	n_training_compounds	n_modelseed_compounds
2	CCNC(=N)N	-18.2287	6	1	6
2	CNP(=O)([O-])O	-18.2287	6	1	2
2	N=C(N)NP(=O)([O-])O	-18.2287	8	1	1
1	NP(=O)([O-])O	-18.2287	5	1	17
1	CNP	-18.2287	3	1	41
2	CNC(=N)NP	-18.2287	6	1	1
2	CCO	-18.0848	3	132	6080
1	C/C(=C)C	17.5620	4	4	325
1	O=S(=O)([O-])[O-]	-17.5592	5	1	23
1	c[n-]c	-17.4968	3	2	41
1	cc(n)[n-]	-17.4968	4	2	4
2	cnc([n-]c)c(c)[nH]	-17.4968	8	2	3
2	cc([n-])nc(O)n	-17.4968	7	2	4
2	cnc(O)c(c)[nH]	-17.4968	7	2	3
2	c[nH]c(c(O)n)c(n)[n-]	-17.4968	9	2	2
2	cc(O)nc(O)n	-17.4826	7	3	14
1	nc(O)n	-17.4826	4	3	48
2	cnc(O)nc	-17.4826	6	3	9
2	nc(O)n	-17.4826	4	3	11
1	C=NC	17.4231	3	4	279
2	O=C([O-])CO	-17.2612	5	1	32
2	CC(=O)S	-17.1768	4	19	1034
2	CC(N)=O	-17.1627	4	57	4778
2	cccc(O)c	-16.9817	6	12	4247
1	CC(O)(C)O	-16.9452	5	15	93
2	CC(O)(C)O	-16.9452	5	15	89
2	C[C@@H](O)[C@H](O)[C@H](C)O	-16.8922	8	1	27
1	NC(N)=[NH2+]	16.7133	4	7	273
1	C=[NH2+]	16.7133	2	9	369
1	NC(=O)N	-16.7123	4	9	150
2	NC(=O)N	-16.7123	4	9	150
2	CC(=O)NC(=O)N	-16.7123	7	9	98
2	cnc(NC)c(c)n	16.6914	8	1	44
2	C[C@H](C)Nc(c)n	16.6914	7	1	10
2	CC[C@H](Nc)C(=O)[O-]	16.6914	8	1	3
2	[n-]c(=O)[nH]	-16.5983	4	1	2
2	c[n-]c(=O)[nH]c	-16.5983	6	1	2
1	[n-]c(=O)[nH]	-16.5983	4	1	2
2	cc(n)[n-]c(=O)[nH]	-16.5983	7	1	2
2	cc(c)[nH]c(=O)[n-]	-16.5983	7	1	2
2	[N]	16.5914	1	1	1
2	cc(O)n	-16.5841	4	4	20
1	cc(O)n	-16.5841	4	4	109
2	C[C@@H]([NH3+])CC=O	16.4938	6	1	1
2	C[C@@](C)(C)O	-16.4020	5	3	256
1	C[C@H](C)N	16.3770	4	27	1736
2	C	16.2124	1	27	109
2	cnc(c(N)n)c(n)n	16.1848	9	43	1436
1	cc[nH]	16.1271	3	10	636
1	Cc(c)c	-16.0604	4	28	4164
1	N#[N+][O-]	16.0325	3	1	1
1	N#[N+]	16.0325	2	1	23
2	C[C@@H](OP(=O)([O-])O)O	-15.9384	8	17	730
2	CCCC=C	15.8782	5	1	886
2	ccccc	15.6568	5	19	4487
2	CNC(=O)NC	-15.5794	6	3	68
2	C[C@@H](N)CC(=O)[O-]	15.4919	7	3	49
1	CC=C	15.3805	3	9	1845
1	ccc	15.3664	3	81	11415
1	cN(C)C	15.3475	4	6	352
2	cccc(Cl)c	15.3407	6	3	569
2	CC(Cl)(Cl)Cl	-15.3268	5	4	35
2	cc[nH]c(c)c	15.1791	6	5	404
2	ccc([nH]c)c(c)c	15.1791	8	5	680
2	cccc(c)[nH]	15.1791	6	5	663
2	CC(C)(C)O	-15.0806	5	2	760
2	C[C@H](C)O	-15.0784	4	65	2692
2	C=C/C(=O)[O-]	15.0660	5	7	104
2	CC(=O)NC(=N)N	15.0637	7	1	3
2	CCN(C)C(=N)N	15.0637	7	1	2
2	CN(C)CC(=O)N	15.0637	7	1	22
2	CNC(=N)N(C)C	15.0637	7	1	2
2	CNC(=O)CN	15.0637	6	1	123
2	C[C@@H]([NH3+])CC(=O)O	-14.9484	7	1	2
2	CCC(=O)OP	-14.9484	6	1	43
1	NC(=O)[O-]	-14.9458	4	1	16
2	CO[C@@H](C)[C@@H](O)C	-14.9138	7	1	5
2	C[C@@H](C)O	-14.8067	4	83	3409
2	C[C@@H]([NH3+])CCO	14.5636	6	1	15
2	C[N+](C)(C)[O-]	14.4988	5	1	7
2	c/C=C/C(=O)[O-]	14.3990	6	3	47
2	CCO[C@H](C)O	14.1582	6	6	249
2	CN[C@@H](O)C(=O)[O-]	-14.0883	7	1	7
2	N[C@@H](O)C(=O)[O-]	-14.0883	6	1	7
1	C[C@@H](N)O	-14.0883	4	1	69
2	C[C@@H](N)O	-14.0883	4	1	9
2	C[C@H](O)NC(N)=O	-14.0883	7	1	1
2	CNc(c([nH])N)c(=O)n	-13.9483	9	3	61
2	cc(c)N[C@@H](C)C	-13.9483	7	3	28
1	CC(=O)S	-13.8345	4	19	1034
1	nc[nH]	13.7628	3	14	242
2	cnc[nH]c	13.7628	5	14	238
2	C[C@](C)(C)O	-13.7447	5	1	223
2	O=C([O-])CCO	-13.6669	6	1	3
2	CCCC=N	13.6609	5	1	9
2	C[C@H](C)N=CC	13.6609	6	1	4
2	C=N[C@H](C(=O)[O-])CC	13.6609	8	1	8
1	O=NO	-13.5471	3	1	3
1	NO	-13.5471	2	1	332
1	N=O	-13.5471	2	1	79
1	ClCCl	-13.5309	3	1	1
1	C=CC	13.5159	3	14	4116
2	O=C([O-])[C@H](O)CO	-13.4959	7	2	4
2	cc(=O)[nH]c(=O)n	-13.3974	7	22	394
2	cnc(c(c)n)n(C)c	13.3445	9	57	1609
2	cc(n)n([C@@H](C)O)cn	13.3445	9	57	1564
2	CC(N)NC(N)=O	13.3393	7	1	2
2	cncn(C)c	13.3303	6	61	1738
2	cc(c)ncn	13.3303	6	58	1646
2	CC(O)C(=O)[O-]	-13.1818	6	7	126
2	CCSC=O	13.1437	5	1	4
1	O=CS	13.1437	3	1	4
2	CSC=O	13.1437	4	1	4
1	O=CO	-13.1437	3	1	19
2	O=CS	13.1437	3	1	4
2	O=COP(=O)([O-])[O-]	-13.1437	7	1	1
2	O=CO	-13.1437	3	1	19
2	O=COP	-13.1437	4	1	1
2	CCC=NC	13.1211	5	2	10
2	CC[C@@H](O)C(=O)[O-]	-13.1081	7	2	24
2	O=CCC(=O)[O-]	-13.0386	6	1	2
1	C[C@@H](O)O	-13.0236	4	39	1982
1	CC=N	12.9644	3	3	53
2	CNC(=O)CC	-12.9111	6	2	51
2	CCC(N)=O	-12.8756	5	5	296
1	cc(c)n	12.6900	4	64	2250
1	cCO	-12.4357	3	6	377
2	cN[C@@H](CN)CN	-12.3549	7	2	13
2	COP(=O)([O-])OP	-12.3344	7	68	2197
2	C[C@H](O)C(=O)C(=O)[O-]	-12.3197	8	3	7
2	cc(N)n	12.2570	4	60	1662
1	cN	12.2570	2	82	2408
2	CNCC(=O)[O-]	-12.2304	6	9	223
2	CCCl	-12.1702	3	6	161
2	CCC(=O)OC	-12.0605	6	2	1992
1	CC(N)=O	-11.9586	4	57	4778
2	CN(C)c(c([nH])N)c(=O)n	11.9287	10	4	28
2	CNC(=[NH2+])NC	11.8975	6	1	29
2	CC(N)CC(=O)[O-]	11.8975	7	1	9
2	CC(N)C(=O)[O-]	11.8975	6	1	88
2	CCC(NC)C(=O)[O-]	11.8975	8	1	6
2	CC(C)NC(N)=[NH2+]	11.8975	7	1	3
2	CCC(=O)[O-]	-11.8817	5	77	2088
1	N#N	-11.8105	2	1	1
1	c/C=C	11.7433	3	6	766
2	CCNC(N)=O	11.7354	6	2	21
2	O=C(O)[C@H](O)CO	-11.6985	7	1	2
2	C[C@@H](O)C(=O)OP	-11.6985	7	1	1
2	N#C[S-]	11.6342	3	1	2
2	ClC=C(Cl)Cl	11.6226	5	1	1
2	COC[C@@H](O)C	-11.5257	6	9	245
2	C[C@H](N)C(=O)[O-]	11.5147	6	18	625
