radius	group	feature_index	coefficient_kJ_per_mol	used_in_training	n_training_compounds	n_all_modelseed_compounds
1	CC[C-]	495	0	0	0	6
1	CC[CH2]	496	0	0	0	4
1	CC[CH]	497	0	0	0	2
1	CC[N+]	498	1.376246159	1	12	430
1	CC[N-]	499	0	0	0	4
1	CC[NH+]	500	0	0	0	1004
1	CC[NH2+]	501	0.9168858761	1	5	594
1	CC[NH3+]	502	-3.45300374	1	16	727
1	CC[O]	503	0	0	0	1
1	CC[P+]	504	0	0	0	2
1	CC[PH+]	505	0	0	0	1
1	CC[PH]	506	0	0	0	11
1	CC[S+]	507	0	0	0	24
1	CC[S-]	508	0.4338012251	1	2	34
1	CC[S]	509	0	0	0	5
1	CC[Se+]	510	0	0	0	5
1	CC[Se-]	511	0	0	0	2
1	CC[SeH]	512	0	0	0	2
1	CC[Se]	513	0	0	0	20
1	CC[Si]	514	0	0	0	3
1	CC[n+]	515	0	0	0	44
1	CCc	516	-0.7554830096	1	11	513
1	CCl	517	-7.275384714	1	19	556
1	CCn	518	-5.313352796	1	3	200
1	CF	519	0	0	0	347
1	CI	520	0	0	0	13
1	CI(c)O	521	0	0	0	1
1	CN	522	-35.79279013	1	35	1829
1	CN(Br)C	523	0	0	0	1
1	CN(C)C	524	24.24636338	1	10	1337
1	CN(C)N	525	0	0	0	45
1	CN(C)O	526	0	0	0	85
1	CN(C)P	527	0	0	0	17
1	CN(C)S	528	0	0	0	27
1	CN(C)[NH3+]	529	0	0	0	1
1	CN(C)[O-]	530	0	0	0	1
1	CN(C)[O]	531	0	0	0	6
1	CN(C)c	532	4.306579772	1	1	29
1	CN(N)C	533	0	0	0	27
1	CN(N)O	534	0	0	0	1
1	CN(O)C	535	0	0	0	27
1	CN(O)O	536	0	0	0	14
1	CN(O)c	537	0	0	0	11
1	CN(P)C	538	0	0	0	12
1	CN(S)C	539	0	0	0	15
1	CN(S)S	540	0	0	0	1
1	CN([O-])C	541	0	0	0	3
1	CN(c)C	542	-6.175634328	1	1	90
1	CN(c)N	543	0	0	0	3
1	CN(c)O	544	0	0	0	3
1	CN(c)c	545	0	0	0	11
1	CN=C	546	-1.132894771	1	6	182
1	CN=N	547	0	0	0	11
1	CN=O	548	0	0	0	7
1	CN=[N+]	549	0	0	0	6
1	CN=c	550	0	0	0	4
1	CNC	551	-25.4224056	1	85	5558
1	CNN	552	0	0	0	50
1	CNO	553	0	0	0	66
1	CNP	554	-18.22868412	1	1	41
1	CNS	555	0	0	0	43
1	CN[C-]	556	0	0	0	1
1	CN[N+]	557	0	0	0	2
1	CN[NH+]	558	0	0	0	1
1	CN[NH2+]	559	0	0	0	6
1	CNc	560	0	0	0	381
1	CO	561	-97.87114986	1	313	16617
1	COC	562	-44.14793704	1	185	12170
1	COI	563	0	0	0	1
1	CON	564	0	0	0	123
1	COO	565	0	0	0	75
1	COP	566	-67.76581923	1	160	4516
1	COS	567	0	0	0	199
1	CO[As]	568	0	0	0	2
1	CO[N+]	569	0	0	0	13
1	CO[N-]	570	0	0	0	7
1	CO[PH]	571	0	0	0	3
1	CO[Si]	572	0	0	0	2
1	COc	573	0	0	0	162
1	COn	574	0	0	0	14
1	CP	575	0	0	0	25
1	CP(=O)(O)F	576	0	0	0	2
1	CP(=O)(O)O	577	0	0	0	6
1	CP(=O)([O-])N	578	0	0	0	1
1	CP(=O)([O-])O	579	-24.85426626	1	3	118
1	CP(=O)([O-])[O-]	580	0	0	0	14
1	CP(=O)([O])[O]	581	0	0	0	4
1	CP(C)(=O)O	582	0	0	0	1
1	CP(C)(=O)[O-]	583	0	0	0	18
1	CP(C)(C)=O	584	0	0	0	1
1	CP(O)(=S)S	585	0	0	0	2
1	CP(O)(O)=S	586	0	0	0	2
1	CS	587	-3.984981208	1	11	485
1	CS(=O)(=O)C	588	0	0	0	11
1	CS(=O)(=O)F	589	0	0	0	3
1	CS(=O)(=O)O	590	0	0	0	9
1	CS(=O)(=O)S	591	0	0	0	2
1	CS(=O)(=O)[O-]	592	0	0	2	155
1	CS(=O)(=O)[O]	593	0	0	0	3
1	CS(=O)C	594	0	0	0	7
1	CS(=O)S	595	0	0	0	7
1	CS(=O)[O-]	596	0	0	0	14
1	CS(C)(=N)=O	597	0	0	0	3
1	CS(C)(=O)=O	598	0	0	0	14
1	CS(C)=O	599	9.795142069	1	1	39
1	CS(N)(=O)=O	600	0	0	0	24
1	CS(N)=O	601	0	0	0	1
1	CS([N-])(=O)=O	602	0	0	0	9
1	CS(c)(=O)=O	603	0	0	0	1
1	CSC	604	-6.576919423	1	31	1939
1	CSN	605	0	0	0	7
1	CSO	606	0	0	0	10
1	CSP	607	0	0	0	63
1	CSS	608	4.481614746	1	5	109
1	CS[As]	609	0	0	0	9
1	CS[SeH]	610	0	0	0	1
1	CS[Se]	611	0	0	0	3
1	CSc	612	0	0	0	5
1	C[131I]	613	0	0	0	1
1	C[As+]	614	0	0	0	2
1	C[As+](C)(C)C	615	0	0	0	2
1	C[AsH2]	616	0	0	0	1
1	C[AsH]	617	0	0	0	1
1	C[AsH]C	618	0	0	0	2
1	C[As]	619	0	0	0	23
1	C[As](=O)([O-])O	620	0	0	0	3
1	C[As](C)(=O)[O-]	621	0	0	0	1
1	C[As](C)(=S)[S-]	622	0	0	0	1
1	C[As](C)(C)=O	623	0	0	0	7
1	C[As](C)([O-])=S	624	0	0	0	1
1	C[As](C)C	625	0	0	0	1
1	C[As](C)O	626	0	0	0	3
1	C[As](C)S	627	0	0	0	2
1	C[As](C)[As]	628	0	0	0	2
1	C[As](O)(=S)[S-]	629	0	0	0	1
1	C[As](O)O	630	0	0	0	3
1	C[As](O)S	631	0	0	0	1
1	C[As](S)S	632	0	0	0	2
1	C[As](S)[As]	633	0	0	0	2
1	C[As]([O-])(O)=S	634	0	0	0	1
1	C[B-](c)(c)c	635	0	0	0	1
1	C[C+](C)C	636	0	0	0	1
1	C[C+](C)[N]	637	0	0	0	8
1	C[C+](N)[O]	638	0	0	0	2
1	C[C-](C)C	639	0	0	0	3
1	C[C-](C)[N+]	640	0	0	0	5
1	C[C-](N)C	641	0	0	0	1
1	C[C-](N)S	642	0	0	0	1
1	C[C-](O)C	643	0	0	0	1
1	C[C-]([N+])C	644	0	0	0	4
