pair	condition	n	pearson_r	spearman_rho	median_abs_delta	frac_sign_flip	mean_of_25_pearson_r	mean_of_25_spearman_rho	mean_of_25_median_abs_delta	mean_of_25_frac_sign_flip	sd_of_pearson_r_across_controls
GC_vs_BASE	as_shipped	18670	0.21906836677166336	0.3290563797920339	9.11	0.2531333690412426					
GC_vs_BASE	kegg_fixed	9277	0.8133979988445226	0.6262338069065684	5.6899999999999995	0.23951708526463297					
GC_vs_BASE	random_control	9277	0.23325583082509843	0.3299520505158705	9.03	0.24964967122992346	0.21500426845979972	0.32776722562084565	9.1228	0.25288778700010783	0.013430827948750093
EQ_vs_BASE	as_shipped	13870	0.2606628674720349	0.4405004324964598	4.75	0.26186012977649603					
EQ_vs_BASE	kegg_fixed	7889	0.7738360273716348	0.7202821461202737	2.83	0.1911522372924325					
EQ_vs_BASE	random_control	7889	0.272822014828244	0.44265286245843505	4.76	0.2673342628977057	0.26560257020583056	0.44192345117542353	4.7632	0.26200025351755607	0.01946581381261704
BASE_vs_FT	as_shipped	20567	0.274530491415889	0.4392134731729185	7.6699999999999875	0.2224923421014246					
BASE_vs_FT	kegg_fixed	10185	0.8343564758722907	0.8213018176303893	3.35	0.15375552282768779					
BASE_vs_FT	random_control	10185	0.27695979266439863	0.4424623958869397	7.550000000000011	0.21620029455081002	0.27350530579718035	0.4406378435821771	7.6636000000000015	0.22165144820814928	0.01637832722571129
