rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn16704	9beta-pimara-7,15-dien-19-ol,NADPH:oxygen 19-oxidoreductase	1.14.13.144	-104.630	-106.340	1.710	1.710	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) 9beta-Pimara-7,15-dien-19-ol[0] => (2) H2O[0] + (1) NADP[0] + (1) 9beta-Pimara-7,15-dien-19-al[0]	h;h2o;nadp;nadph;o2	-1.000	-8.000	7	21
rxn37586	N-ribosyladenine ribohydrolase	3.2.2.1;3.2.2.7	-4.760	-3.040	-1.720	1.720	(1) H2O[0] + (1) Adenosine[0] => (1) Adenine[0] + (1) beta-D-Ribofuranose[0]	h2o	0.000	0.000	4	10
rxn37956	(2R,3S)-3-isopropylmalate:NAD+ oxidoreductase	1.1.1.85	4.440	6.160	-1.720	1.720	(1) NAD[0] + (1) 3-Isopropylmalate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 2-isopropyl-3-oxosuccinate[0]	h;nad;nadh	1.000	4.000	5	21
rxn03062	3-Isopropylmalate:NAD+ oxidoreductase	1.1.1.85	4.440	6.160	-1.720	1.720	(1) NAD[0] + (1) 3-Isopropylmalate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 2-isopropyl-3-oxosuccinate[0]	h;nad;nadh	1.000	4.000	5	21
rxn15162	Adenosine ribohydrolase	3.2.2.1;3.2.2.7	-4.760	-3.040	-1.720	1.720	(1) H2O[0] + (1) Adenosine[0] => (1) Adenine[0] + (1) beta-D-Ribofuranose[0]	h2o	0.000	0.000	4	10
rxn37585	N-ribosyladenine ribohydrolase	3.2.2.1;3.2.2.7	-4.760	-3.040	-1.720	1.720	(1) H2O[0] + (1) Adenosine[0] => (1) Adenine[0] + (1) beta-D-Ribofuranose[0]	h2o	0.000	0.000	4	10
rxn27542	beta-IPM dehydrogenase	1.1.1.85	4.440	6.160	-1.720	1.720	(1) NAD[0] + (1) 3-Isopropylmalate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 2-isopropyl-3-oxosuccinate[0]	h;nad;nadh	1.000	4.000	5	21
rxn02439	GDP-6-deoxy-D-talose:NADP+ 4-oxidoreductase	1.1.1.135	-0.280	1.440	-1.720	1.720	(1) NADP[0] + (1) GDP-6-deoxy-D-talose[0] <=> (1) NADPH[0] + (1) H+[0] + (1) GDP-4-dehydro-D-rhamnose[0]	h;nadp;nadph	1.000	8.000	5	21
rxn01233	taurine:2-oxoglutarate aminotransferase	2.6.1.55	0.050	1.770	-1.720	1.720	(1) 2-Oxoglutarate[0] + (1) Taurine[0] <=> (1) L-Glutamate[0] + (1) Sulfoacetaldehyde[0]	glu	0.000	-2.000	4	5
rxn00177	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)	4.1.3.24;4.1.3.25	2.810	1.090	1.720	1.720	(1) L-Citramalyl-CoA[0] <=> (1) Pyruvate[0] + (1) Acetyl-CoA[0]		0.000	-8.000	3	26
