compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd03123	3-Oxohexanoyl-CoA	C27H40N7O18P3S	-4	6	11.650
cpd02305	HPL	C9H9O4	-1	5	-11.632
cpd00264	Spermidine	C7H22N3	3	13	11.630
cpd00262	Oxalyl-CoA	C23H31N7O19P3S	-5	5	-11.599
cpd00477	N-Acetyl-L-glutamate	C7H9NO5	-2	5	-11.578
cpd00365	Retinol	C20H30O	0	10	-11.480
cpd00456	3-Hydroxybenzoate	C7H5O3	-1	8	-11.461
cpd00051	L-Arginine	C6H15N4O2	1	42	-11.400
cpd02125	Tiglyl-CoA	C26H38N7O17P3S	-4	5	11.362
cpd01964	3-Hydroxybenzaldehyde	C7H6O2	0	5	-11.234
cpd00320	D-Aspartate	C4H6NO4	-1	5	-11.090
cpd00486	Indoleacetaldehyde	C10H9NO	0	13	11.040
cpd19030	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	-1	7	-11.018
cpd02597	cis-2-Methylaconitate	C7H5O6	-3	9	-10.999
cpd02691	2-methyl-3-hydroxy-butyryl-CoA	C26H40N7O18P3S	-4	8	10.952
cpd01722	p-Coumaryl alcohol	C9H10O2	0	5	10.879
cpd03845	beta-Cellobiose	C12H22O11	0	7	10.870
cpd11255	1,2-dihydroxy-3-keto-5-methylthiopentene	C6H10O3S	0	6	10.615
cpd02103	N2-Succinyl-L-arginine	C10H17N4O5	-1	8	-10.566
cpd00260	Isocitrate	C6H5O7	-3	24	-10.348
cpd02120	Dihydrodipicolinate	C7H5NO4	-2	6	10.299
cpd09576	Paraxanthine	C7H8N4O2	0	5	-10.272
cpd02812	D-erythro-Isocitric acid	C6H5O7	-3	8	-10.235
cpd01059	Ferulate	C10H9O4	-1	6	-10.232
cpd01693	6-Phosphosucrose	C12H21O14P	-2	5	10.218
cpd00041	L-Aspartate	C4H6NO4	-1	45	-10.208
cpd03709	Salicylaldehyde	C7H6O2	0	8	-10.182
cpd00158	CELB	C12H22O11	0	9	10.170
cpd00180	Oxalate	C2O4	-2	8	-10.133
cpd03129	(2E)-Decenoyl-CoA	C31H48N7O17P3S	-4	8	10.132
cpd01135	Taxifolin	C15H12O7	0	7	-10.066
cpd00422	Cinnamoyl-CoA	C30H38N7O17P3S	-4	5	10.037
cpd00398	Naringenin	C15H12O5	0	5	9.997
cpd00599	SALC	C7H5O3	-1	15	-9.977
cpd00023	L-Glutamate	C5H8NO4	-1	199	-9.967
cpd00146	Carbamoylphosphate	CH2NO5P	-2	11	-9.914
cpd00353	D-threo-Isocitric acid	C6H5O7	-3	21	-9.845
cpd00699	5-Dehydroquinate	C7H9O6	-1	10	-9.800
cpd00565	Coniferin	C16H22O8	0	5	9.710
cpd01260	Lauroyl-CoA	C33H54N7O17P3S	-4	12	-9.664
cpd03333	Sinapaldehyde	C11H12O4	0	5	9.619
cpd00127	Phenol	C6H6O	0	7	-9.544
cpd02124	2-Methylacetoacetyl-CoA	C26H38N7O18P3S	-4	6	9.534
cpd00078	Succinyl-CoA	C25H35N7O19P3S	-5	33	-9.525
cpd01419	Ureidoglycine	C3H7N3O3	0	5	-9.502
cpd02569	2-Oxo-3-hydroxyisovalerate	C5H7O4	-1	9	-9.443
cpd09804	2-Naphthoic acid	C11H7O2	-1	5	-9.439
cpd00425	(CH3)2NH	C2H8N	1	6	-9.386
cpd00794	TRHL	C12H22O11	0	17	9.305
cpd00274	Citrulline	C6H13N3O3	0	18	-9.282
cpd03114	3-Oxopalmitoyl-CoA	C37H60N7O18P3S	-4	6	-9.250
cpd03125	(2E)-Hexenoyl-CoA	C27H40N7O17P3S	-4	8	9.193
cpd03844	alpha-Cellobiose	C12H22O11	0	5	9.140
cpd00093	Anthranilate	C7H6NO2	-1	19	-9.098
cpd00331	cis-Aconitate	C6H3O6	-3	18	-9.065
cpd00070	Malonyl-CoA	C24H33N7O19P3S	-5	50	-9.006
cpd00373	Sinapate	C11H11O5	-1	6	-8.995
cpd03118	(S)-Hydroxydecanoyl-CoA	C31H50N7O18P3S	-4	6	8.930
cpd15073	3-Methylxanthine	C6H6N4O2	0	6	-8.734
cpd00178	Acetone	C3H6O	0	6	8.724
cpd00428	2-Oxopropanal	C3H4O2	0	23	8.669
cpd01123	Maleamate	C4H4NO3	-1	6	8.541
cpd00778	2,5-Dihydroxypyridine	C5H5NO2	0	6	-8.541
cpd00076	Sucrose	C12H22O11	0	32	8.485
cpd03526	N-Succinyl-L-glutamate 5-semialdehyde	C9H11NO6	-2	6	-8.459
cpd02799	Methylisocitrate	C7H7O7	-3	8	-8.454
cpd02024	Phosphonoacetaldehyde	C2H4O4P	-1	5	-8.429
cpd03375	3-Hydroxypropanoyl-CoA	C24H36N7O18P3S	-4	8	8.384
cpd00106	Fumarate	C4H2O4	-2	34	-8.383
cpd01716	3-Dehydroshikimate	C7H7O5	-1	8	-8.380
cpd00130	L-Malate	C4H4O5	-2	35	-8.292
cpd02625	3-Hydroxy-L-1-pyrroline-5-carboxylate	C5H6NO3	-1	14	8.219
cpd03105	Acetol	C3H6O2	0	5	8.218
cpd02498	2,3-Dihydroxy-isovalerate	C5H9O4	-1	9	-8.152
cpd00361	ACTN	C4H8O2	0	8	8.122
cpd01646	2-Isopropylmalate	C7H10O5	-2	6	-8.026
cpd00458	Coniferol	C10H12O3	0	10	8.021
cpd00026	UDP-glucose	C15H22N2O17P2	-2	7	7.986
cpd00434	4-Aminobutanal	C4H10NO	1	16	7.710
cpd00867	Inositol 1-phosphate	C6H11O9P	-2	5	-7.564
cpd03122	(S)-Hydroxyhexanoyl-CoA	C27H42N7O18P3S	-4	6	7.563
cpd03128	Decanoyl-CoA	C31H50N7O17P3S	-4	8	-7.542
cpd00136	4-Hydroxybenzoate	C7H5O3	-1	17	-7.448
cpd03530	L-4-Hydroxyglutamatesemialdehyde	C5H9NO4	0	6	7.446
cpd08289	1-deoxy-D-xylulose5-phosphate	C5H9O7P	-2	5	7.382
cpd00873	Nicotinate ribonucleotide	C11H12NO9P	-2	7	7.364
cpd03470	Iminoaspartate	C4H4NO4	-1	6	-7.327
cpd01890	4-Coumaroylshikimate	C16H15O7	-1	7	7.274
cpd01758	N-Acetylputrescine	C6H15N2O	1	9	7.119
cpd04073	Vanillate	C8H7O4	-1	8	-7.117
cpd00738	phosphoserine	C3H6NO6P	-2	7	-7.113
cpd03710	trans-O-Hydroxybenzylidenepyruvate	C10H7O4	-1	7	-7.112
cpd00891	L-methylmalonyl-CoA	C25H35N7O19P3S	-5	11	-7.105
cpd09879	S-(Hydroxymethyl)glutathione	C11H18N3O7S	-1	6	7.075
cpd00759	S-Formylglutathione	C11H16N3O7S	-1	6	-7.075
cpd00036	Succinate	C4H4O4	-2	101	-7.061
cpd00508	3MOP	C6H9O3	-1	22	7.061
cpd00324	MTTL	CH4S	0	9	-6.998
cpd03597	Tyrosol	C8H10O2	0	5	-6.938
cpd19008	(R)-Acetoin	C4H8O2	0	9	6.922
cpd00016	Pyridoxal phosphate	C8H8NO6P	-2	16	6.907
cpd01092	Allantoin	C4H6N4O3	0	7	-6.876
cpd00024	2-Oxoglutarate	C5H4O5	-2	249	-6.868
cpd00065	L-Tryptophan	C11H12N2O2	0	22	-6.866
cpd00519	D-methylmalonyl-CoA	C25H35N7O19P3S	-5	5	-6.863
cpd00129	L-Proline	C5H9NO2	0	14	6.828
cpd01675	Methylmalonyl-CoA	C25H35N7O19P3S	-5	6	-6.753
cpd00453	1,2-Propanediol	C3H8O2	0	5	6.746
