compound	name	formula	charge	n_reactions	offset_eq_minus_dgp
cpd00367	Cytidine	C9H13N3O5	0	11	-2.494
cpd00851	trans-4-Hydroxy-L-proline	C5H9NO3	0	7	-2.483
cpd00207	Guanine	C5H5N5O	0	5	-2.482
cpd03481	2-phenylethanol	C8H10O	0	5	2.466
cpd00276	GLUM	C6H14NO5	1	7	-2.431
cpd00160	Cholesterol	C27H46O	0	15	2.422
cpd00480	2-Dehydro-D-gluconate	C6H9O7	-1	5	-2.421
cpd00153	Benzoate	C7H5O2	-1	20	-2.402
cpd00121	L-Inositol	C6H12O6	0	26	-2.361
cpd00126	GMP	C10H12N5O8P	-2	7	-2.331
cpd03285	3-Sulfopyruvate	C3H2O6S	-2	13	-2.325
cpd00333	(E)-Cinnamate	C9H7O2	-1	16	2.314
cpd00139	Glycolate	C2H3O3	-1	20	-2.297
cpd19001	alpha-D-Glucose	C6H12O6	0	65	2.294
cpd00641	L-Histidinol	C6H12N3O	1	7	2.245
cpd00238	Sedoheptulose7-phosphate	C7H13O10P	-2	11	-2.223
cpd00724	alpha-D-Galactose	C6H12O6	0	14	-2.199
cpd00162	Aminoethanol	C2H8NO	1	8	-2.194
cpd00278	Indolepyruvate	C11H8NO3	-1	11	-2.132
cpd00223	Glycerate	C3H5O4	-1	21	-2.099
cpd00293	N-Acetyl-D-glucosamine 6-phosphate	C8H14NO9P	-2	10	-2.097
cpd00006	NADP	C21H25N7O17P3	-3	959	-2.077
cpd02431	1-Pyrroline-5-carboxylate	C5H6NO2	-1	19	-2.047
cpd00868	p-hydroxyphenylpyruvate	C9H7O4	-1	30	2.046
cpd00916	Ins(1,4,5)P3	C6H9O15P3	-6	6	2.013
cpd00898	Inositol 1,4-bisphosphate	C6H10O12P2	-4	6	-2.013
cpd00306	Xylitol	C5H12O5	0	10	1.978
cpd00206	dCMP	C9H12N3O7P	-2	7	-1.966
cpd00822	O-Succinyl-L-homoserine	C8H12NO6	-1	8	-1.955
cpd00235	D-mannose-6-phosphate	C6H11O9P	-2	14	1.946
cpd02016	N-Ribosylnicotinamide	C11H15N2O5	1	7	1.942
cpd00712	2-Dehydropantoate	C6H9O4	-1	8	1.940
cpd00048	Sulfate	O4S	-2	5	-1.926
cpd00193	APS	C10H12N5O10PS	-2	5	1.926
cpd00745	Hydracrylic acid	C3H5O3	-1	7	1.911
cpd00871	D-Ribulose 1,5-bisphosphate	C5H8O11P2	-4	6	-1.902
cpd00067	H+	H	1	2674	1.890
cpd18009	Ethylmalonyl-CoA	C26H37N7O19P3S	-5	5	-1.886
cpd00159	L-Lactate	C3H5O3	-1	11	-1.883
cpd00321	Feruloyl-CoA	C31H40N7O19P3S	-4	9	-1.869
cpd09801	2-Methylnaphthalene	C11H10	0	5	-1.852
cpd01859	(2-Naphthyl)methanol	C11H10O	0	5	1.852
cpd00653	D-Galactonate	C6H11O7	-1	5	-1.850
cpd00237	Androstenedione	C19H26O2	0	12	1.850
cpd02535	2,3-Dihydroxy-3-methylvalerate	C6H11O4	-1	11	1.840
cpd00236	D-Erythrose4-phosphate	C4H7O7P	-2	16	-1.812
cpd00040	Glyoxalate	C2HO3	-1	79	-1.797
cpd01734	D-Galactono-1,5-lactone	C6H10O6	0	5	-1.781
cpd02780	Inositol 1,2,4,5,6-pentakisphosphate	C6H7O21P5	-10	5	-1.773
cpd02566	2,3-Dihydroxy-2,3-dihydrobenzoate	C7H7O4	-1	7	1.771
cpd00101	ribose-5-phosphate	C5H9O8P	-2	23	-1.747
cpd00346	L-Aspartate4-semialdehyde	C4H7NO3	0	15	-1.743
cpd00212	L-Sorbose	C6H12O6	0	5	1.716
cpd01974	4-Hydroxy-L-glutamate	C5H8NO5	-1	5	-1.698
cpd03116	(S)-3-Hydroxydodecanoyl-CoA	C33H54N7O18P3S	-4	6	-1.679
cpd00404	D-Ornithine	C5H13N2O2	1	5	-1.663
cpd00018	AMP	C10H12N5O7P	-2	41	-1.659
cpd00086	Propionyl-CoA	C24H36N7O17P3S	-4	39	-1.646
cpd00012	PPi	HO7P2	-3	20	-1.641
cpd00728	4-Hydroxybutanoate	C4H7O3	-1	7	1.641
cpd03372	Homoisocitrate	C7H7O7	-3	6	-1.639
cpd00269	2-Oxoadipate	C6H6O5	-2	12	1.639
cpd00843	Tartronate semialdehyde	C3H3O4	-1	8	-1.624
cpd00858	L-Glutamate5-semialdehyde	C5H9NO3	0	12	-1.624
cpd00930	imidazole acetol-phosphate	C6H7N2O5P	-2	7	1.608
cpd00001	H2O	H2O	0	2374	-1.590
cpd00817	D-Arabinose5-phosphate	C5H9O8P	-2	7	-1.586
cpd02246	CoM	C2H5O3S2	-1	14	-1.584
cpd02438	Methyl CoM	C3H7O3S2	-1	10	1.584
cpd00340	2,5-Dioxopentanoate	C5H5O4	-1	7	1.563
cpd01171	Dulcose	C6H14O6	0	6	-1.544
cpd00279	Acetoacetyl-CoA	C25H36N7O18P3S	-4	21	1.529
cpd01422	beta-D-Xylose	C5H10O5	0	5	-1.503
cpd00294	dAMP	C10H12N5O6P	-2	5	-1.497
cpd00493	Pyridoxamine phosphate	C8H12N2O5P	-1	11	1.478
cpd00069	L-Tyrosine	C9H11NO3	0	21	-1.475
cpd00588	Sorbitol	C6H14O6	0	12	1.462
cpd00249	Uridine	C9H12N2O6	0	12	1.461
cpd00248	Quinate	C7H11O6	-1	12	-1.459
cpd19028	alpha-D-Ribose 5-phosphate	C5H9O8P	-2	12	-1.450
cpd00341	N-Carbamoylputrescine	C5H14N3O	1	8	1.421
cpd03346	5-Hydroxyindoleacetate	C10H8NO3	-1	6	1.393
cpd00007	O2	O2	0	864	1.385
cpd00790	O-Acetyl-L-homoserine	C6H11NO4	0	5	1.364
cpd00727	2-Phosphoglycolate	C2H2O6P	-3	7	-1.352
cpd00020	Pyruvate	C3H3O3	-1	214	-1.328
cpd00488	PGF2a	C20H33O5	-1	7	1.324
cpd00497	XMP	C10H11N4O9P	-2	7	1.319
cpd00050	FMN	C17H19N4O9P	-2	10	-1.300
cpd00330	Dihydrofolate	C19H19N7O6	-2	11	-1.294
cpd00060	L-Methionine	C5H11NO2S	0	20	1.281
cpd00125	5-10-Methylenetetrahydrofolate	C20H21N7O6	-2	33	1.270
cpd00092	Uracil	C4H4N2O2	0	19	-1.264
cpd00259	D-Lyxulose	C5H10O5	0	12	1.241
cpd00807	L-histidinol-phosphate	C6H11N3O4P	-1	7	1.241
cpd02211	L-2-Amino-acetoacetate	C4H7NO3	0	8	-1.233
cpd00154	Xylose	C5H10O5	0	8	-1.225
cpd00454	Dinoprostone	C20H31O5	-1	5	1.223
cpd00190	beta-D-Glucose	C6H12O6	0	69	1.222
cpd00520	2-Dehydro-3-deoxy-D-pentonate	C5H7O5	-1	6	-1.220
cpd00004	NADH	C21H27N7O14P2	-2	894	-1.216
cpd02351	Glucosaminate	C6H13NO6	0	7	-1.212
cpd00227	L-Homoserine	C4H9NO3	0	7	1.201
cpd00087	Tetrahydrofolate	C19H21N7O6	-2	42	1.192
cpd03284	3-Sulfinopyruvate	C3H2O5S	-2	5	1.143
cpd00467	3-Sulfinoalanine	C3H6NO4S	-1	6	-1.143
cpd00322	L-Isoleucine	C6H13NO2	0	10	1.140
cpd00412	Deoxyuridine	C9H12N2O5	0	7	1.139
cpd01487	alpha-D-Xylose	C5H10O5	0	7	-1.135
cpd00242	H2CO3	CHO3	-1	7	-1.129
cpd03778	Terephthalate	C8H4O4	-2	5	1.129
cpd00842	(S)-3-Hydroxybutyryl-CoA	C25H38N7O18P3S	-4	11	1.124
cpd00781	5-Dehydrogluconate	C6H9O7	-1	5	-1.115
cpd00626	dTDPglucose	C16H24N2O16P2	-2	5	1.109
cpd00095	Glycerone-phosphate	C3H5O6P	-2	41	1.093
cpd00229	Glycolaldehyde	C2H4O2	0	11	1.064
cpd02484	Inositol 3-phosphate	C6H11O9P	-2	11	1.043
cpd01270	FMNH2	C17H21N4O9P	-2	8	-1.020
cpd19006	alpha-D-Glucose 6-phosphate	C6H11O9P	-2	20	1.011
cpd00116	Methanol	CH4O	0	24	-1.006
cpd02788	Inositol 1,2,3,5,6-pentakisphosphate	C6H7O21P5	-10	5	-0.993
cpd00438	Deoxyadenosine	C10H13N5O3	0	10	-0.985
cpd00522	dTDP-4-oxo-L-rhamnose	C16H22N2O15P2	-2	10	-0.982
cpd00521	dTDP-4-oxo-6-deoxy-D-glucose	C16H22N2O15P2	-2	18	-0.980
cpd00594	Gulonate	C6H11O7	-1	6	0.959
cpd00722	O-Acetyl-L-serine	C5H9NO4	0	6	-0.952
cpd00102	Glyceraldehyde3-phosphate	C3H5O6P	-2	47	0.952
cpd00863	beta-D-Glucose 6-phosphate	C6H11O9P	-2	29	0.913
cpd00066	L-Phenylalanine	C9H11NO2	0	28	-0.910
cpd01700	D-Citramalate	C5H6O5	-2	5	-0.907
cpd00029	Acetate	C2H3O2	-1	104	-0.905
cpd00143	Phenylpyruvate	C9H7O3	-1	26	-0.884
cpd12689	3-Oxotetradecanoyl-CoA	C35H56N7O18P3S	-4	6	0.882
cpd00200	4MOP	C6H9O3	-1	12	-0.853
cpd00152	Agmatine	C5H16N4	2	17	-0.852
cpd08210	ADC	C10H10NO5	-1	6	0.837
cpd00900	GDP-4-dehydro-D-rhamnose	C16H21N5O15P2	-2	11	0.815
cpd00419	PM	C8H13N2O2	1	6	-0.810
cpd00198	D-Xylulose5-phosphate	C5H9O8P	-2	15	0.791
cpd00055	Formaldehyde	CH2O	0	47	0.760
cpd00094	2-Oxobutyrate	C4H5O3	-1	31	0.754
cpd01502	Citraconate	C5H4O4	-2	5	0.744
cpd00865	1-O-Sinapoyl-beta-D-glucose	C17H22O10	0	14	-0.726
cpd00122	N-Acetyl-D-glucosamine	C8H15NO6	0	12	-0.714
cpd00182	Adenosine	C10H13N5O4	0	27	-0.712
cpd00196	Acetylphosphate	C2H3O5P	-2	14	0.690
cpd00311	Guanosine	C10H13N5O5	0	9	0.682
cpd00911	6-phospho-D-glucono-1-5-lactone	C6H9O9P	-2	13	-0.678
cpd16443	beta-D-Ribofuranose	C5H10O5	0	17	-0.659
cpd00091	UMP	C9H11N2O9P	-2	20	-0.655
cpd01527	D-Xylonolactone	C5H8O5	0	6	0.644
cpd00201	10-Formyltetrahydrofolate	C20H21N7O7	-2	11	-0.636
cpd00191	3-Oxopropanoate	C3H3O3	-1	21	0.622
cpd27436	D-mannitol, 1-(dihydrogenphosphate)	C6H13O9P	-2	12	0.612
cpd00199	4-Oxobutanoate	C4H5O3	-1	28	0.592
cpd00079	D-glucose-6-phosphate	C6H11O9P	-2	25	-0.572
cpd00171	D-Ribulose5-phosphate	C5H9O8P	-2	27	-0.539
cpd00064	Ornithine	C5H13N2O2	1	35	-0.538
cpd02416	N-Acetyl-beta-D-glucosamine	C8H15NO6	0	8	-0.477
cpd02060	(2E)-Dodecenoyl-CoA	C33H52N7O17P3S	-4	11	-0.474
cpd00726	1,3-Propanediamine	C3H12N2	2	11	0.457
cpd00312	Histamine	C5H10N3	1	8	0.448
cpd00298	dTMP	C10H13N2O8P	-2	8	-0.444
cpd00114	IMP	C10H11N4O8P	-2	15	0.423
cpd00045	Adenosine 3-5-bisphosphate	C10H11N5O10P2	-4	8	-0.362
cpd00135	Homocysteine	C4H9NO2S	0	29	-0.345
cpd19031	N-Acetyl-alpha-D-glucosamine 1-phosphate	C8H14NO9P	-2	6	-0.342
cpd14532	22alpha-Hydroxy-campest-4-en-3-one	C28H46O2	0	5	-0.340
cpd14533	22alpha-Hydroxy-5alpha-campestan-3-one	C28H48O2	0	7	0.340
cpd00226	HYXN	C5H4N4O	0	16	0.311
cpd00072	D-fructose-6-phosphate	C6H11O9P	-2	26	-0.298
cpd00509	deoxyribose-1-phosphate	C5H9O7P	-2	7	0.281
cpd02857	DAHP	C7H10O10P	-3	7	-0.234
cpd00309	XAN	C5H4N4O2	0	14	0.230
cpd00362	Estrone	C18H22O2	0	13	-0.220
cpd00702	Estradiol	C18H24O2	0	11	0.220
cpd00475	Ribose 1-phosphate	C5H9O8P	-2	19	-0.217
cpd00003	NAD	C21H26N7O14P2	-1	909	-0.195
cpd00982	FADH2	C27H33N9O15P2	-2	60	-0.179
cpd03468	2-Coumarinate	C9H7O3	-1	7	-0.151
cpd03469	beta-D-Glucosyl-2-coumarinate	C15H17O8	-1	10	0.151
cpd00277	Deoxyguanosine	C10H13N5O4	0	5	-0.148
cpd00491	D-glucitol 6-phosphate	C6H13O9P	-2	10	0.138
cpd00857	Provitamin D3	C27H44O	0	6	0.115
cpd00690	Sinapine	C16H24NO5	1	5	0.102
cpd01747	Indole-3-acetamide	C10H10N2O	0	5	-0.063
cpd00299	dUMP	C9H11N2O8P	-2	10	0.054
cpd00019	S-Adenosyl-homocysteine	C14H20N6O5S	0	9	0.053
cpd01607	L-Rhamnofuranose	C6H12O5	0	5	0.050
cpd00396	L-Rhamnose	C6H12O5	0	9	-0.050
cpd00318	Tryptamine	C10H13N2	1	8	-0.046
cpd00833	N-Acetyl-D-glucosaminate	C8H14NO7	-1	5	0.025
cpd00266	Carnitine	C7H15NO3	0	16	-0.022
cpd00061	Phosphoenolpyruvate	C3H2O6P	-3	29	0.015
cpd15132	Isopentenyl adenosine	C15H21N5O4	0	5	0.000
cpd00743	L-Citramalyl-CoA	C26H37N7O20P3S	-5	6	0.000
cpd00751	L-Fucose	C6H12O5	0	5	0.000
cpd00037	UDP-N-acetylglucosamine	C17H25N3O17P2	-2	9	0.000
cpd15136	trans-Zeatin riboside	C15H21N5O5	0	6	0.000
cpd17856	1-Feruloyl-D-glucose	C16H20O9	0	6	0.000
cpd00776	Squalene 2,3-oxide	C30H50O	0	5	0.000
cpd03640	6-Oxohexanoate	C6H9O3	-1	6	0.000
cpd03691	Piperideine	C5H10N	1	5	0.000
cpd00417	L-Lyxitol	C5H12O5	0	7	0.000
cpd00348	D-Galactose 1-phosphate	C6H11O9P	-2	6	0.000
cpd00461	Oxopent-4-enoate	C5H5O3	-1	12	0.000
cpd00536	Oleate	C18H33O2	-1	6	0.000
cpd01020	Gallate	C7H5O5	-1	6	0.000
cpd02193	Strictosidine	C27H35N2O9	1	5	0.000
cpd00524	2-Inosose	C6H10O6	0	6	0.000
cpd00275	L-Kynurenine	C10H12N2O3	0	6	0.000
cpd01706	2,4-Dichlorophenol	C6H4Cl2O	0	5	0.000
cpd01871	3-Methylcatechol	C7H8O2	0	6	0.000
cpd00325	Progesterone	C21H30O2	0	6	0.000
cpd00339	5-Aminopentanoate	C5H11NO2	0	5	0.000
cpd02561	trans-Cinnamoyl beta-D-glucoside	C15H18O7	0	9	0.000
cpd01447	Benzoylformate	C8H5O3	-1	6	0.000
cpd01129	Phthalate	C8H4O4	-2	5	0.000
cpd01122	Linoleate	C18H31O2	-1	6	0.000
cpd00546	Cortisol	C21H30O5	0	5	0.000
cpd00573	L-Idonate	C6H11O7	-1	5	0.000
cpd00904	DHA	C19H28O2	0	7	0.000
cpd03038	14-Demethyllanosterol	C29H48O	0	5	0.000
cpd02939	3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate	C29H47O3	-1	8	0.000
cpd02720	5-Amino-6--5-phosphoribitylaminouracil	C9H15N4O9P	-2	5	0.000
cpd00852	beta-Glucogallin	C13H16O10	0	6	0.000
cpd00895	H4MPT	C30H42N6O16P	-3	7	0.000
cpd00877	Lathosterol	C27H46O	0	5	0.000
cpd00882	Melilotate	C9H9O3	-1	5	0.000
cpd00639	Formononetin	C16H11O4	-1	6	0.000
cpd00844	2-Hydroxycyclohexan-1-one	C6H10O2	0	5	0.000
cpd03107	(R)-N-Methylcoclaurine	C18H22NO3	1	5	0.000
cpd03228	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	C27H46O3	0	5	0.000
cpd03624	(-)-ABA	C15H19O4	-1	8	0.000
cpd00188	Arachidonate	C20H31O2	-1	12	0.000
cpd00185	D-Arabinose	C5H10O5	0	5	0.000
cpd00151	Thymine	C5H6N2O2	0	6	0.000
cpd03164	Chenodeoxycholoyl-CoA	C45H70N7O19P3S	-4	5	0.000
cpd05511	Cyanidin 3-O-glucoside	C21H20O11	0	5	0.000
cpd08920	Mirtillin	C21H20O12	0	5	0.000
cpd08243	(+)-Linalool	C10H18O	0	6	0.000
cpd07586	4'-Hydroxyacetophenone	C8H8O2	0	5	0.000
cpd07097	Daidzein	C15H9O4	-1	6	0.000
cpd19245	di-trans,poly-cis-Undecaprenyl phosphate	C55H89O4P	-2	9	0.000
cpd20873	9,10-Epoxy-18-hydroxystearate	C18H33O4	-1	5	0.000
cpd20874	9,10,18-Trihydroxystearate	C18H35O5	-1	5	0.000
cpd00017	S-Adenosyl-L-methionine	C15H23N6O5S	1	5	0.000
