rxn	name	ec	dg_eq	dg_dgp	diff	absdiff	definition	cofactors	net_proton	d_charge_sq	n_participants	max_carbon
rxn39954	4-(6-hydroxypyridin-3-yl)-4-oxobutanoate,NADH:oxygen oxidoreductase (3-hydroxylating, succinate semialdehyde releasing)	1.14.13.163	-108.620	-89.990	-18.630	18.630	(2) NADH[0] + (1) O2[0] + (2) H+[0] + (1) 6-Hydroxy-3-succinoylpyridine[0] => (1) H2O[0] + (2) NAD[0] + (1) 4-Oxobutanoate[0] + (1) 2,5-Dihydroxypyridine[0]	h;h2o;nad;nadh;o2	-2.000	-8.000	8	21
rxn40137	1-O-vanilloyl-beta-D-glucose:delphinidin-3-O-beta-D-glucoside 7-O-beta-D-glucosyltransferase		-18.880	-37.480	18.600	18.600	(1) Mirtillin[0] + (1) 1-O-Vanilloyl-beta-D-glucose[0] => (1) H+[0] + (1) Vanillate[0] + (1) Delphinidin 3,7-di-O-beta-D-glucoside[0]	h	1.000	2.000	5	27
rxn40108	1-O-vanilloyl-beta-D-glucose:cyanidin-3-O-beta-D-glucoside 7-O-beta-D-glucosyltransferase	2.4.1.300	-19.010	-37.590	18.580	18.580	(1) Cyanidin 3-O-glucoside[0] + (1) 1-O-Vanilloyl-beta-D-glucose[0] => (1) H+[0] + (1) Vanillate[0] + (1) Cyanidin 3,7-di-O-beta-D-glucoside[0]	h	1.000	2.000	5	27
rxn04730	R06921	1.13.-.-	-86.610	-105.120	18.510	18.510	(1) O2[0] + (1) 1,2-Dihydroxy-8-carboxynaphthalene[0] => (1) H+[0] + (1) 2-Carboxy-2-hydroxy-8-carboxychromene[0]	h;o2	1.000	4.000	4	11
rxn11536	R08150	3.1.1.59	-1.140	17.370	-18.510	18.510	(1) H2O[0] + (1) (10S)-Juvenile hormone III diol[0] <=> (1) H+[0] + (1) Methanol[0] + (1) (10S)-Juvenile hormone III acid diol[0]	h;h2o	1.000	2.000	5	16
rxn11535	juvenile hormone III acylhydrolase	3.1.1.59	-1.140	17.370	-18.510	18.510	(1) H2O[0] + (1) Juvenile hormone III[0] <=> (1) H+[0] + (1) Methanol[0] + (1) Juvenile hormone III acid[0]	h;h2o	1.000	2.000	5	16
rxn03160	methyl-(2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyl-trideca-2,6-dienoate acylhydrolase	3.1.1.59	-1.140	17.370	-18.510	18.510	(1) H2O[0] + (1) Methyl (2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyltrideca-2,6-dienoate[0] <=> (1) H+[0] + (1) Methanol[0] + (1) (2E,6E)-10,11-Epoxy-3,7,11-trimethyltridecadienoic acid[0]	h;h2o	1.000	2.000	5	17
rxn35346	5-methyltetrahydrofolate:NAD+ oxidoreductase	1.5.1.20	-8.920	9.440	-18.360	18.360	(1) NADH[0] + (1) H+[0] + (1) 5-10-Methylenetetrahydrofolate[0] <=> (1) NAD[0] + (1) 5-Methyltetrahydrofolate[0]	h;mthf;nad;nadh	-1.000	-4.000	5	21
rxn40088	agroclavine:NADP+ oxidoreductase	1.5.1.46	18.300	-0.040	18.340	18.340	(1) NADP[0] + (1) Agroclavine[0] <= (1) NADPH[0] + (1) H+[0] + (1) 6,8-Dimethyl-6,7,8,9-tetradehydroergoline[0]	h;nadp;nadph	1.000	8.000	5	21
rxn03032	4-Nitrophenyl-3-ketovalidamine 4-nitroaniline-lyase	4.3.3.1	-8.300	10.000	-18.300	18.300	(1) p-Nitrophenyl-3-ketovalidamine[0] => (1) p-Nitroaniline[0] + (1) 5D-(5/6)-5-C-(Hydroxymethyl)-2,6-dihydroxy-2-cyclohexen-1-one[0]		0.000	0.000	3	13
rxn04559	cocaine benzoylhydrolase	3.1.1.1;3.1.1.84	-5.720	-23.970	18.250	18.250	(1) H2O[0] + (1) Cocaine[0] => (1) H+[0] + (1) Benzoate[0] + (1) Methyl ecgonine[0]	h;h2o	1.000	2.000	5	17
