compound	name	formula	charge	n_reactions	offset	abs_offset	mass	eq_uncertainty	heavy_atoms	n_rings	n_arom_atoms	n_conj_bonds	frac_conj	n_stereo	n_rotatable	logp	n_distinct_r1_frags	frag_failures
cpd00875	KDO	C8H13O8	-1	5	-14.0690	14.0690	237.0000		16	0	0	4	0.2667	4	7	-4.8686	9	0
cpd00876	3-Hydroxyisobutyrate	C4H7O3	-1	7	14.0350	14.0350	103.0000	0.3180	7	0	0	2	0.3333	1	2	-1.6353	7	0
cpd01011	Butanal	C4H8O	0	6	14.0200	14.0200	72.0000	0.5848	5	0	0	0	0.0000	0	2	0.9854	4	0
cpd00405	Hexadecanal	C16H32O	0	9	-14.0110	14.0110	240.0000	1.3268	17	0	0	0	0.0000	0	14	5.6666	4	0
cpd00623	Sphinganine	C18H40NO2	1	8	-13.6170	13.6170	302.0000		21	0	0	0	0.0000	2	16	3.4314	7	0
cpd03480	2-Hydroxyphenylacetate	C8H7O3	-1	8	-13.5970	13.5970	151.0000	0.6497	11	1	6	9	0.8182	0	2	-0.3154	8	0
cpd03126	(2E)-Hexadecenoyl-CoA	C37H60N7O17P3S	-4	8	-13.5720	13.5720	1000.0000		65	3	9	18	0.2687	7	32	1.3940	33	0
cpd07322	5-O-Caffeoylshikimic acid	C16H15O8	-1	8	-13.5400	13.5400	335.0000	2.1874	24	2	6	17	0.6800	3	4	-1.1754	16	0
cpd01879	3-Dehydrosphinganine	C18H38NO2	1	8	-13.3490	13.3490	300.0000	1.3341	21	0	0	0	0.0000	1	16	3.6396	8	0
cpd00287	3-Oxo-2-methylpropanoate	C4H5O3	-1	17	13.0660	13.0660	101.0000	0.3180	7	0	0	2	0.3333	1	2	-1.4287	6	0
cpd00179	Maltose	C12H22O11	0	16	12.8980	12.8980	342.0000	0.4153	23	2	0	0	0.0000	10	4	-5.3972	8	0
cpd04653	Theobromine	C7H8N4O2	0	6	-12.7990	12.7990	180.0000	0.9551	13	2	9	12	0.8571	0	0	-1.0397	10	0
cpd00717	Aromadendrin	C15H12O6	0	7	12.6560	12.6560	288.0000	2.6937	21	3	12	18	0.7826	2	1	1.4807	12	0
