family	n	r_gc_eq	rho_gc_eq	mad_gc_eq	n_gc_eq	null_r_gc_eq	excess_gc_eq	p_gc_eq	r_gc_dgp	rho_gc_dgp	mad_gc_dgp	n_gc_dgp	null_r_gc_dgp	excess_gc_dgp	p_gc_dgp	r_eq_dgp	rho_eq_dgp	mad_eq_dgp	n_eq_dgp	null_r_eq_dgp	excess_eq_dgp	p_eq_dgp	median_abs_dg_gc	iqr_dg_gc
max carbon <= 6	1461	0.7880	0.6255	2.3100	1461	0.8115	-0.0235	0.6300	0.8452	0.6521	3.4300	1461	0.7107	0.1345	0.3725	0.6772	0.6862	1.7300	1461	0.6324	0.0447	0.6550	4.7200	10.3000
group present: ketone	2394	0.9130	0.7662	2.4600	2394	0.8615	0.0515	0.0100	0.8449	0.6751	4.1700	2394	0.7904	0.0545	0.6400	0.8232	0.7042	3.0600	2394	0.7163	0.1069	0.0375	6.2200	15.9975
cofactor: fadh2	65	0.8338	0.4033	13.4900	65	0.7850	0.0488	0.8450	0.8435	0.2110	10.4400	65	0.8510	-0.0074	0.9375	0.9691	0.5623	5.1300	65	0.7139	0.2552	0.0850	3.8500	12.7900
cofactor: gsh	58	0.7065	0.7175	8.7900	58	0.8283	-0.1217	0.4325	0.8329	0.4212	8.2800	58	0.5393	0.2936	0.4250	0.7024	0.6094	2.5450	58	0.4588	0.2436	0.4200	10.0500	18.3000
cofactor: fad	70	0.8212	0.3210	13.4650	70	0.7720	0.0492	0.7900	0.8318	0.1782	10.4350	70	0.8391	-0.0072	0.9500	0.9690	0.6092	5.1300	70	0.7113	0.2576	0.0525	3.8500	12.9325
1 group type changes	2277	0.6633	0.6182	4.4000	2277	0.8220	-0.1587	0.0000	0.8222	0.5731	4.5900	2277	0.6476	0.1746	0.1700	0.5544	0.7003	2.4200	2277	0.5979	-0.0435	0.5675	7.2200	18.3300
no S	6736	0.8505	0.7463	3.1800	6736	0.8439	0.0067	0.6175	0.8219	0.6649	5.2200	6736	0.7716	0.0503	0.5375	0.7193	0.7494	3.0400	6736	0.7022	0.0171	0.6000	7.3400	18.3300
group changes: ketone	1658	0.9098	0.7873	2.2600	1658	0.8525	0.0573	0.0400	0.8216	0.7036	3.8150	1658	0.7784	0.0431	0.7075	0.8013	0.7070	3.1600	1658	0.7074	0.0939	0.1350	6.2200	16.2600
no P	3071	0.8188	0.6824	2.8400	3071	0.8287	-0.0099	0.6675	0.8191	0.6294	5.3300	3071	0.7905	0.0287	0.7625	0.6730	0.6495	4.1300	3071	0.6986	-0.0255	0.6325	5.1400	16.9300
group changes: sulfonate	65	0.4023	0.3627	55.7500	65	0.8154	-0.4131	0.0000	0.8179	0.6737	14.6100	65	0.8333	-0.0154	0.8775	-0.1112	-0.1783	68.9300	65	0.7124	-0.8236	0.0000	16.3100	40.0800
