family	n	r_gc_eq	rho_gc_eq	mad_gc_eq	n_gc_eq	null_r_gc_eq	excess_gc_eq	p_gc_eq	r_gc_dgp	rho_gc_dgp	mad_gc_dgp	n_gc_dgp	null_r_gc_dgp	excess_gc_dgp	p_gc_dgp	r_eq_dgp	rho_eq_dgp	mad_eq_dgp	n_eq_dgp	null_r_eq_dgp	excess_eq_dgp	p_eq_dgp	median_abs_dg_gc	iqr_dg_gc
group changes: primary_amine	282	0.8910	0.5539	9.5200	282	0.7941	0.0969	0.2400	0.2579	0.6339	5.9000	282	0.8012	-0.5433	0.0050	0.3985	0.6482	8.8600	282	0.6832	-0.2847	0.0225	8.8800	16.2000
cofactor: adp	563	0.2800	0.4543	9.7100	563	0.7371	-0.4571	0.0000	0.2487	0.3902	9.2500	563	0.5833	-0.3346	0.0900	0.6833	0.6139	1.1500	563	0.4686	0.2146	0.0900	14.0000	12.9650
cofactor: atp	720	0.0931	0.4087	10.4550	720	0.6369	-0.5438	0.0000	0.2410	0.3737	10.1400	720	0.7353	-0.4943	0.0075	0.4907	0.6096	1.4500	720	0.5624	-0.0717	0.3125	14.0300	11.9400
EC 6 ligase	257	0.0598	0.3972	15.5300	257	0.7441	-0.6843	0.0000	0.2136	0.1513	11.3500	257	0.7874	-0.5738	0.0025	0.3792	0.4482	2.2400	257	0.6803	-0.3010	0.0325	11.1300	18.6700
group present: thioester	826	0.8397	0.7007	1.7500	826	0.8066	0.0331	0.5900	0.1805	0.4738	3.8900	826	0.7324	-0.5520	0.0000	0.2965	0.4743	2.8350	826	0.6340	-0.3375	0.0000	5.2900	7.5975
cofactor: none of tracked set	1091	0.8725	0.6307	2.1800	1091	0.8320	0.0405	0.4250	0.1802	0.3848	3.9800	1091	0.7717	-0.5914	0.0000	0.1714	0.5618	2.3900	1091	0.6895	-0.5181	0.0000	1.7000	2.3200
cofactor: sam	264	0.6005	0.3278	10.5800	264	0.7335	-0.1330	0.1825	0.1046	-0.3374	18.7200	264	0.7637	-0.6591	0.0000	0.4115	0.1034	16.4500	264	0.6448	-0.2333	0.0275	4.3600	8.7500
cofactor: sah	248	0.6234	0.3853	9.7700	248	0.7040	-0.0806	0.5400	0.0893	-0.3741	18.7200	248	0.7188	-0.6295	0.0000	0.4243	0.1089	17.1200	248	0.6092	-0.1848	0.1250	5.1700	8.7500
group changes: thioester	544	0.8423	0.5886	1.4200	544	0.6167	0.2257	0.2100	0.0816	0.4648	3.7200	544	0.5059	-0.4243	0.0125	0.1514	0.4582	2.4650	544	0.4060	-0.2546	0.0925	5.7500	7.0800
group changes: phosphoanhydride	881	0.7738	0.3250	10.9800	881	0.6770	0.0969	0.1250	0.0042	0.3219	10.5900	881	0.7953	-0.7910	0.0000	0.1866	0.6109	1.3700	881	0.6087	-0.4221	0.0000	14.0300	9.5300
cofactor: glu	265	0.8626	0.6072	1.8600	265	0.8021	0.0606	0.5925	-0.2116	0.5108	2.7700	265	0.7813	-0.9930	0.0000	-0.0414	0.6981	1.7500	265	0.6807	-0.7221	0.0000	2.4600	6.3500
cofactor: gln	70	0.8686	0.6605	3.4000	70	0.8218	0.0467	0.7250	-0.3417	0.6066	3.1250	70	0.7156	-1.0573	0.0000	-0.1603	0.6184	0.6700	70	0.6120	-0.7723	0.0025	6.6000	20.2575
