rxn	name	kegg_ids_staged	kegg_ids_alias	kegg_max_reuse	vouched	participant_overlap	dg_dgpredictor	keep	reason
rxn00046	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase	R00063	R00063	3	1	1.000	-10.74	1	kegg_id_is_modelseed_alias
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	R00066	R00066	4	1	0.333	14.06	1	kegg_id_is_modelseed_alias
rxn00050	rxn00050	R00066		4	0	0.000	14.06	0	unvouched_and_no_shared_participant
rxn00051	D-urobilinogen:oxygen oxidoreductase	R00070	R00070	1	1	1.000	-106.66	1	kegg_id_is_modelseed_alias
rxn00052	thiamine-aldehyde:oxygen 5-oxidoreductase	R00072	R00072	2	1	0.333	-34.79	1	kegg_id_is_modelseed_alias
rxn00053	Prostaglandin H2:oxygen oxidoreductase	R00072		2	0	0.000	-34.79	0	unvouched_and_no_shared_participant
rxn00054	2-aminophenol:oxygen oxidoreductase (dimerizing)	R00074	R00074	1	1	0.000	-292.35	1	kegg_id_is_modelseed_alias
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	R00075	R00075	3	1	0.667	-17.63	1	kegg_id_is_modelseed_alias
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)	R00080	R00080	1	1	1.000	-216.78	1	kegg_id_is_modelseed_alias
rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	R00084	R00084	15	1	1.000	-68.01	1	kegg_id_is_modelseed_alias
rxn00061	ATP diphosphohydrolase (phosphate-forming)	R00085	R00085	7	1		-12.15	1	kegg_id_is_modelseed_alias
rxn00062	ATP phosphohydrolase	R00086	R00086	82	1		-6.4	1	kegg_id_is_modelseed_alias
rxn00063	ATP diphosphohydrolase (diphosphate-forming)	R00087	R00087	41	1		-8.33	1	kegg_id_is_modelseed_alias
rxn00064	ATP aminohydrolase	R00088	R00088	2	1	1.000	-5.65	1	kegg_id_is_modelseed_alias
rxn00065	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	R00089	R00089	2	1	0.000	1.68	1	kegg_id_is_modelseed_alias
rxn00066	NADH:hydrogen-peroxide oxidoreductase	R00090	R00090	1	1	0.000	-78.75	1	kegg_id_is_modelseed_alias
rxn00067	CoA:NAD+ oxidoreductase	R00091	R00091	1	1	1.000	2.35	1	kegg_id_is_modelseed_alias
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	R00093	R00093	2	1	1.000	12.0	1	kegg_id_is_modelseed_alias
rxn00070	glutathione:NAD+ oxidoreductase	R00094	R00094	3	1	0.000	4.69	1	kegg_id_is_modelseed_alias
rxn00071	NADH:monodehydroascorbate oxidoreductase	R00095	R00095	6	1	0.000	59.74	1	kegg_id_is_modelseed_alias
rxn00072	NADH:cob(III)alamine oxidoreductase	R00097	R00097	2	1	0.000	91.35	1	kegg_id_is_modelseed_alias
rxn00073	rxn00073	R00097		2	0	0.000	91.35	0	unvouched_and_no_shared_participant
rxn00074	cob(I)alamin:NAD+ oxidoreductase	R00099	R00099	1	1	0.000	15.69	1	kegg_id_is_modelseed_alias
rxn00075	NAD nucleosidase, mitochondrial	R00102	R00102	8	1	0.500	-4.33	1	kegg_id_is_modelseed_alias
rxn00076	NAD+ phosphohydrolase	R00103	R00103	28	1	0.000	-8.15	1	kegg_id_is_modelseed_alias
rxn00077	ATP:NAD+ 2'-phosphotransferase	R00104	R00104	15	1		-2.84	1	kegg_id_is_modelseed_alias
rxn00078	ATP:NADH 2'-phosphotransferase	R00105	R00105	2	1		-3.43	1	kegg_id_is_modelseed_alias
rxn00080	cob(II)alamin:NADP+ oxidoreductase	R00107	R00107	3	1	0.000	-90.77	1	kegg_id_is_modelseed_alias
rxn00081	rxn00081	R00107		3	0	0.000	-90.77	0	unvouched_and_no_shared_participant
rxn00082	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase	R00107		3	0	0.000	-90.77	0	unvouched_and_no_shared_participant
rxn00083	NADPH:NAD+ oxidoreductase	R00112	R00112	3	1		0.58	1	kegg_id_is_modelseed_alias
rxn00084	NADPH:hydrogen-peroxide oxidoreductase	R00113	R00113	4	1	0.000	-78.16	1	kegg_id_is_modelseed_alias
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)	R00114	R00114	3	1	1.000	11.41	1	kegg_id_is_modelseed_alias
rxn00086	glutathione:NADP+ oxidoreductase	R00115	R00115	14	1	0.000	4.11	1	kegg_id_is_modelseed_alias
rxn00087	NADPH:CoA-glutathione oxidoreductase	R00115		14	0	0.000	4.11	0	unvouched_and_no_shared_participant
rxn00088	NADP+ 2'-phosphohydrolase	R00118	R00118	11	1		-3.55	1	kegg_id_is_modelseed_alias
rxn00089	NADP+ glycohydrolase	R00119	R00119	2	1	0.500	-2.58	1	kegg_id_is_modelseed_alias
rxn00090	glutathione:oxygen oxidoreductase	R00120	R00120	2	1	0.000	-27.52	1	kegg_id_is_modelseed_alias
rxn00091	rxn00091	R00120		2	0	0.333	-27.52	0	unvouched
rxn00092	ADP phosphohydrolase	R00122	R00122	4	1		-5.75	1	kegg_id_is_modelseed_alias
rxn00093	ADP aminohydrolase	R00123	R00123	1	1	1.000	-5.65	1	kegg_id_is_modelseed_alias
rxn00095	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	R00125	R00125	2	1	0.000	-9.44	1	kegg_id_is_modelseed_alias
rxn00096	ADP:ATP adenylyltransferase	R00126	R00126	2	1	0.000	3.05	1	kegg_id_is_modelseed_alias
rxn00097	ATP:AMP phosphotransferase	R00127	R00127	3	1		-0.65	1	kegg_id_is_modelseed_alias
rxn00098	Adenosine-tetraphosphate phosphohydrolase	R00128	R00128	1	1	1.000	-6.07	1	kegg_id_is_modelseed_alias
rxn00099	(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)	R00129	R00129	1	1	0.000	-29.63	1	kegg_id_is_modelseed_alias
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	R00130	R00130	4	1	1.000	0.86	1	kegg_id_is_modelseed_alias
rxn00101	Urea amidohydrolase	R00131	R00131	2	1	1.000	-7.32	1	kegg_id_is_modelseed_alias
rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)	R00132;R10092	R00132;R10092	64	1	0.000	1.15	1	kegg_id_is_modelseed_alias
rxn00103	formate:NADP+ oxidoreductase	R00134	R00134	3	1	1.000	-3.46	1	kegg_id_is_modelseed_alias
rxn00104	polyphosphate kinase	R00134		3	0	0.000	-3.46	0	unvouched_and_no_shared_participant
rxn00105	ATP:nicotinamide-nucleotide adenylyltransferase	R00137	R00137	14	1	0.000	-0.17	1	kegg_id_is_modelseed_alias
rxn00106	Triphosphate phosphohydrolase	R00138	R00138	1	1	1.000	-4.49	1	kegg_id_is_modelseed_alias
