rxn	name	status	is_transport	is_obsolete	stored_reversibility	equation	definition	ec	ec_class	n_ec	dg_gc	dg_eq	dg_dgp	n_sources	n_kegg_alias	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	n_kegg_with_dg	n_kegg_no_dg	kegg_spread_kcal	n_sub	n_prod	n_participants	sum_abs_coeff	max_abs_coeff	n_elements	elements	has_S	has_P	has_N	has_halogen	has_metal	has_Se	n_generic_formula	n_missing_formula	n_missing_smiles	all_have_smiles	max_carbon	max_mass	max_heavy_atoms	total_rings	total_arom_rings	cofactors	n_cofactors	cof_acp	cof_adp	cof_amp	cof_atp	cof_co2	cof_coa	cof_cytc_ox	cof_cytc_red	cof_fad	cof_fadh2	cof_fdx_ox	cof_fdx_red	cof_fmn	cof_fmnh2	cof_gln	cof_glu	cof_gsh	cof_gssg	cof_h	cof_h2o	cof_h2o2	cof_menaquinol8	cof_menaquinone8	cof_mthf	cof_nad	cof_nadh	cof_nadp	cof_nadph	cof_nh3	cof_o2	cof_pi	cof_ppi	cof_pydx5p	cof_sah	cof_sam	cof_thf	cof_ubiquinol8	cof_ubiquinone8	g_acetal	d_acetal	g_aldehyde	d_aldehyde	g_alkene	d_alkene	g_alkyne	d_alkyne	g_amide	d_amide	g_aromatic_c	d_aromatic_c	g_aromatic_n	d_aromatic_n	g_carboxylate	d_carboxylate	g_disulfide	d_disulfide	g_epoxide	d_epoxide	g_ester	d_ester	g_ether	d_ether	g_guanidine	d_guanidine	g_halide	d_halide	g_hydroxyl	d_hydroxyl	g_imine	d_imine	g_ketone	d_ketone	g_nitrile	d_nitrile	g_nitro	d_nitro	g_phosphate	d_phosphate	g_phosphoanhydride	d_phosphoanhydride	g_primary_amine	d_primary_amine	g_quaternary_n	d_quaternary_n	g_sulfate_ester	d_sulfate_ester	g_sulfonate	d_sulfonate	g_thioester	d_thioester	g_thiol	d_thiol	n_groups_changed	diff_gc_eq	diff_gc_dgp	diff_eq_dgp	dg_range3	dg_mean3	max_abs_pairdiff
rxn47163		OK	0	0	=	(1) cpd00067[0] + (1) cpd02733[0] + (1) cpd30770[0] <=> (1) cpd00014[0] + (1) cpd31705[0]	(1) H+[0] + (1) Deoxycholate[0] + (1) UDP-D-galactopyranose[0] <=> (1) UDP[0] + (1) beta-D-galactosyl-deoxycholate[0]		none	0	-2.67	-0.78		2	0			0	0	0	0		3	2	5	5.0	1.0	5	C;H;N;O;P	0	1	1	0	0	0	0	0	0	1	30	564.289	39	14	2	h	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	4.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	1.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	-1.89					
rxn47164		OK	0	0	>	(2) cpd00001[0] + (1) cpd25618[0] => (2) cpd00027[0] + (1) cpd23239[0]	(2) H2O[0] + (1) ginsenoside Rb1[0] => (2) D-Glucose[0] + (1) 20(S)-ginsenoside Rg3[0]	3.2.1.192	3	1	-6.22	-5.03		2	0			0	0	0	0		2	2	4	6.0	2.0	3	C;H;O	0	0	0	0	0	0	0	0	0	1	54	1108.0	77	15	0	h2o	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	-2.0	0.0	0.0	0.0	0.0	34.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	-1.1899999999999995					
rxn47167		OK	0	0	<	(1) cpd00067[0] + (1) cpd32338[0] <= (1) cpd00001[0] + (1) cpd34288[0]	(1) H+[0] + (1) monacolin L acid[0] <= (1) H2O[0] + (1) monacolin L lactone[0]		none	0	9.08	8.37		2	0			0	0	0	0		2	2	4	4.0	1.0	3	C;H;O	0	0	0	0	0	0	0	0	0	1	19	321.436	23	5	0	h;h2o	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	0.7100000000000009					
rxn47175		OK	0	0	=	(1) cpd00082[0] <=> (1) cpd30321[0]	(1) D-Fructose[0] <=> (1) beta-D-Fructose[0]		none	0	0.0	-0.71		2	0			0	0	0	0		1	1	2	2.0	1.0	3	C;H;O	0	0	0	0	0	0	0	0	0	1	6	180.0	12	2	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.71					
rxn47176		OK	0	0	=	(1) cpd00006[0] + (1) cpd35611[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd34767[0]	(1) NADP[0] + (1) (3R,9Z,12Z,15Z,18Z)-3-hydroxytetracosa-9,12,15,18-tetraenoyl-CoA[0] <=> (1) NADPH[0] + (1) H+[0] + (1) (9Z,12Z,15Z,18Z)-3-oxotetracosa-9,12,15,18-tetraenoyl-CoA[0]		none	0	3.76	4.44		2	0			0	0	0	0		2	3	5	5.0	1.0	6	C;H;N;O;P;S	1	1	1	0	0	0	0	0	0	1	45	1122.065	74	16	9	h;nadp;nadph	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	0.0	6.0	0.0	25.0	-5.0	17.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	11.0	-1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5	-0.6800000000000006					
rxn47177	4'-methylcyclopenin synthetase	OK	0	0	>	(2) cpd00002[0] + (1) cpd00017[0] + (1) cpd00093[0] + (1) cpd33218[0] => (2) cpd00012[0] + (2) cpd00018[0] + (1) cpd00019[0] + (4) cpd00067[0] + (1) cpd35825[0]	(2) ATP[0] + (1) S-Adenosyl-L-methionine[0] + (1) Anthranilate[0] + (1) 4-methoxy-L-phenylalanine[0] => (2) PPi[0] + (2) AMP[0] + (1) S-Adenosyl-homocysteine[0] + (4) H+[0] + (1) 4'-methoxycyclopeptin[0]	6.3.2.40	6	1	-71.82	-11.9		2	0			0	0	0	0		4	5	9	15.0	4.0	6	C;H;N;O;P;S	1	1	1	0	0	0	0	0	0	1	18	504.0	31	17	12	amp;atp;h;ppi;sah;sam	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	54.0	0.0	24.0	0.0	4.0	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	6.0	-2.0	7.0	-1.0	3.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	-59.919999999999995					
rxn47178		MI:C:-3/H:-2/O:-6/P:-1|CI:3	0	0	<	(1) cpd00002[0] + (1) cpd00020[0] <= (1) cpd00008[0] + (1) cpd00067[0]	(1) ATP[0] + (1) Pyruvate[0] <= (1) ADP[0] + (1) H+[0]		none	0	311.16	291.38		2	0			0	0	0	0		2	2	4	4.0	1.0	5	C;H;N;O;P	0	1	1	0	0	0	0	0	0	1	10	504.0	31	6	4	adp;atp;h	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	8.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	5.0	-1.0	3.0	-1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	19.78000000000003					
rxn47179	GdnI	OK	0	0	>	(1) cpd00007[0] + (1) cpd00024[0] + (1) cpd33364[0] => (1) cpd00011[0] + (1) cpd00036[0] + (1) cpd35884[0]	(1) O2[0] + (1) 2-Oxoglutarate[0] + (1) 6-dehydroguadinomine B[0] => (1) CO2[0] + (1) Succinate[0] + (1) guadinomine B[0]	1.14.11.M1	1	1	-108.28	-107.66		2	0			0	0	0	0		3	3	6	6.0	1.0	4	C;H;N;O	0	0	1	0	0	0	0	0	0	1	20	502.57	35	2	0	co2;o2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	2.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	-0.6200000000000045					
rxn47182		OK	0	0	>	(1) cpd00001[0] + (1) cpd25067[0] => (1) cpd00067[0] + (1) cpd00214[0] + (1) cpd02531[0]	(1) H2O[0] + (1) 1-16:0-2-18:2-phosphatidylcholine[0] => (1) H+[0] + (1) Palmitate[0] + (1) 1-Linoleoylglycerophosphocholine[0]		none	0	-2.14	-5.51		2	0			0	0	0	0		2	3	5	5.0	1.0	5	C;H;N;O;P	0	1	1	0	0	0	0	0	0	1	42	757.0	52	0	0	h;h2o	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	-1.0	3.0	-1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	3.3699999999999997					
rxn47187		OK	0	0	=	(1) cpd05267[0] <=> (1) cpd36715[0]	(1) Ribose[0] <=> (1) D-Ribopyranose[0]		none	0	0.0	0.0		2	0			0	0	0	0		1	1	2	2.0	1.0	3	C;H;O	0	0	0	0	0	0	0	0	0	1	5	10000000.0	10	2	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0					
