rxn	name	ec	status	equation	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	dg_range3	n_participants	sum_abs_coeff	max_mass	max_carbon	elements	cofactors	n_kegg_with_dg	kegg_spread_kcal	all_have_smiles	n_generic_formula	total_rings	total_arom_rings	n_groups_changed	is_transport
rxn06278	Medicarpin:NADP+ 2'-oxidoreductase	1.1.1.246	OK	(1) cpd00001[0] + (1) cpd00006[0] + (1) cpd07389[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd00582[0]	(1) H2O[0] + (1) NADP[0] + (1) (-)-Medicarpin[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Vestitone[0]	15.880	103.270	14.860	88.410	88.410	6	6.000	742.000	21	C;H;N;O;P	h;h2o;nadp;nadph	1	0.000	1	0	17	9	6	0
rxn07562	(+)-maackiain:NADP+ 2'-oxidoreductase	1.1.1.246	OK	(1) cpd00005[0] + (1) cpd00067[0] + (1) cpd14944[0] <=> (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd14946[0]	(1) NADPH[0] + (1) H+[0] + (1) (+)-Sophorol[0] <=> (1) H2O[0] + (1) NADP[0] + (1) (+)-Maackiain[0]	-15.880	-103.280	-14.960	88.320	88.320	6	6.000	742.000	21	C;H;N;O;P	h;h2o;nadp;nadph	1	0.000	1	0	19	9	6	0
rxn01742	Shikimate:pyrroloquinoline-quinone 3-oxidoreductase	1.1.5.8;1.1.99.25	OK	(1) cpd00097[0] + (1) cpd00383[0] => (1) cpd00986[0] + (1) cpd01716[0]	(1) Pyrroloquinoline-quinone[0] + (1) Shikimate[0] => (1) PQQH2[0] + (1) 3-Dehydroshikimate[0]	-42.970	-13.290	45.160	88.130	88.130	4	4.000	329.000	14	C;H;N;O		1	0.000	1	0	8	5	3	0
rxn04985	lithocholate,NADPH:oxygen oxidoreductase(6alpha-hydroxylating)	1.14.13.97	OK	(1) cpd00005[0] + (1) cpd00007[0] + (1) cpd00067[0] + (1) cpd02475[0] => (1) cpd00001[0] + (1) cpd00006[0] + (1) cpd11197[0]	(1) NADPH[0] + (1) O2[0] + (1) H+[0] + (1) Lithocholate[0] => (1) H2O[0] + (1) NADP[0] + (1) Hyodeoxycholate[0]	-96.190	-97.200	-9.220	87.980	87.980	7	7.000	742.000	24	C;H;N;O;P	h;h2o;nadp;nadph;o2	1	0.000	1	0	18	5	4	0
rxn02532	Gallate:oxygen 3,4-oxidoreductase (decyclizing)	1.13.11.3	OK	(1) cpd00007[0] + (1) cpd01020[0] => (1) cpd00001[0] + (1) cpd00067[0] + (1) cpd02304[0]	(1) O2[0] + (1) Gallate[0] => (1) H2O[0] + (1) H+[0] + (1) 2-Pyrone-4,6-dicarboxylate[0]	-105.000	-17.140	-94.470	87.860	87.860	5	5.000	182.000	7	C;H;O	h;h2o;o2	1	0.000	1	0	2	2	3	0
rxn16367	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (beta-eudesmol-forming)	4.2.3.68	OK	(1) cpd00001[0] + (1) cpd00350[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd06558[0]	(1) H2O[0] + (1) Farnesyldiphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) beta-Eudesmol[0]	-34.500	-90.770	-3.850	86.920	86.920	5	5.000	380.000	15	C;H;O;P	h;h2o;ppi	1	0.000	1	0	2	0	2	0
rxn16631	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (10-epi-gamma-eudesmol-forming)	4.2.3.84	OK	(1) cpd00001[0] + (1) cpd00350[0] => (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd21133[0]	(1) H2O[0] + (1) Farnesyldiphosphate[0] => (1) PPi[0] + (1) H+[0] + (1) 10-epi-gamma-Eudesmol[0]	-51.320	-97.050	-10.800	86.250	86.250	5	5.000	380.000	15	C;H;O;P	h;h2o;ppi	1	0.000	1	0	2	0	2	0
rxn01698	Urethane amidohydrolase (decarboxylating)	3.5.1.75	OK	(1) cpd00001[0] + (1) cpd00067[0] + (1) cpd01084[0] => (1) cpd00011[0] + (1) cpd00013[0] + (1) cpd00363[0]	(1) H2O[0] + (1) H+[0] + (1) Urethane[0] => (1) CO2[0] + (1) NH3[0] + (1) Ethanol[0]	1.140	-84.960	-12.820	86.100	86.100	6	6.000	89.000	3	C;H;N;O	co2;h;h2o;nh3	1	0.000	1	0	0	0	4	0
rxn12035	R08305		OK	(1) cpd00001[0] + (1) cpd00067[0] + (1) cpd04672[0] => (1) cpd00011[0] + (1) cpd00013[0] + (1) cpd16395[0]	(1) H2O[0] + (1) H+[0] + (1) Felbamate[0] => (1) CO2[0] + (1) NH3[0] + (1) 2-Phenyl-1,3-propanediol monocarbamate[0]	1.050	-84.810	-13.140	85.860	85.860	6	6.000	238.000	11	C;H;N;O	co2;h;h2o;nh3	1	0.000	1	0	2	2	4	0
rxn00158	O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvate-forming)	4.3.1.13	OK	(1) cpd00001[0] + (1) cpd00067[0] + (1) cpd01933[0] => (1) cpd00011[0] + (2) cpd00013[0] + (1) cpd00020[0]	(1) H2O[0] + (1) H+[0] + (1) O-Carbamoyl-L-serine[0] => (1) CO2[0] + (2) NH3[0] + (1) Pyruvate[0]	-6.460	-91.830	-20.720	85.370	85.370	6	7.000	148.000	4	C;H;N;O	co2;h;h2o;nh3	1	0.000	1	0	0	0	4	0
