space	cluster	label	n	gc_median	eq_median	dgp_median	gc_iqr	dgp_iqr	mad_gc_eq	mad_gc_dgp	r_gc_dgp	frac_kegg_vouched	enriched	example_rxns	example_names	top_ec_class
raw	26	C26	39	-3.7600	-4.4400	5.8100	1.5700	0.3350	0.4800	9.6500	0.7056	1.0000	cof_nadh 44% (3.6x); cof_nad 44% (3.5x); is_obsolete 77% (2.5x); ec3 38% (2.5x)	rxn00020;rxn00022;rxn00456;rxn02755	cellobiose glucohydrolase | maltose glucohydrolase | L-methionine methanethiol-lyase (deami	1
raw	42	C42	39	1.0700	-0.2800	-0.1700	0.0000	0.2250	1.0400	1.2400	-0.4339	1.0000	cof_ppi 79% (11.8x); ec2 82% (3.2x)	rxn00105;rxn00213;rxn00293;rxn00875	ATP:nicotinamide-nucleotide adenylyltr | UTP:alpha-D-glucose-1-phosphate uridyl | UTP:N-acetyl-alpha-D-glucosamine-1-pho	2
raw	43	C43	39	1.4700	1.6000	1.9900	0.1300	0.5900	0.4600	0.5200	0.1847	1.0000	ec4 54% (4.6x)	rxn00265;rxn00276;rxn00785;rxn00907	citrate oxaloacetate-lyase (forming ac | Glycine:oxaloacetate aminotransferase | D-Fructose 6-phosphate:D-glyceraldehyd	4
raw	39	C39	38	-1.7000	-3.8250	-7.6000	0.3000	2.1975	2.1300	5.9000	-0.5557	1.0000	ec2 61% (2.3x)	rxn01041;rxn01042;rxn01568;rxn02369	D-xylose:NAD+ 1-oxidoreductase | D-xylose:NADP+ 1-oxidoreductase | UDPglucose:(-)-menthol O-beta-D-glucos	2
raw	27	C27	38	-8.4800	-5.6400	-5.6450	0.4400	0.4000	2.9750	2.8300	-0.5065	1.0000	cof_coa 61% (9.4x); d_thioester_nz 61% (9.3x); cof_nh3 37% (5.9x); has_S 63% (3.3x); d_carboxylate_nz 63% (3.0x); d_ketone_nz 50% (2.5x)	rxn00501;rxn00502;rxn00899;rxn00926	3-Oxopropanoate:NAD+ oxidoreductase (d | 3-Oxopropanoate:NADP+ oxidoreductase ( | 3-methyl-2-oxobutanoate:NAD+ oxidoredu	3
raw	0	C0	36	-189.9800	-235.9400	-184.2000	6.0800	10.6850	45.9600	5.7800	0.2921	1.0000	cof_co2 75% (9.8x); cof_o2 97% (7.0x); cof_nadph 81% (5.8x); cof_nadp 81% (5.8x); d_carboxylate_nz 67% (3.2x); d_aromatic_c_nz 94% (3.1x)	rxn09345;rxn13966;rxn13984;rxn13986	Undecaprenyl diphosphate synthase | L-tyrosine,NADPH:oxygen oxidoreductase | homomethionine,NADPH:oxygen oxidoreduc	1
raw	9	C9	36	-95.8300	-105.9600	-95.2000	0.0000	3.3300	10.1300	0.9150	0.2692	1.0000	cof_o2 100% (7.2x); cof_nadph 69% (5.0x); cof_nadp 69% (5.0x); d_aromatic_c_nz 100% (3.3x); d_alkene_nz 100% (2.9x); ec1 97% (2.9x)	rxn00959;rxn00961;rxn00963;rxn01438	benzoate,NADPH:oxygen oxidoreductase ( | 4-hydroxybenzoate,NADH:oxygen oxidored | 4-hydroxybenzoate,NADPH:oxygen oxidore	1
raw	30	C30	36	-9.8000	-8.6800	-2.9250	0.0000	0.9700	1.1200	6.8750	0.0000	1.0000	d_aldehyde_nz 100% (8.6x); cof_nadh 75% (6.2x); cof_nad 75% (6.0x); d_carboxylate_nz 100% (4.8x); d_aromatic_c_nz 100% (3.3x); d_alkene_nz 100% (2.9x)	rxn01867;rxn01868;rxn01937;rxn01943	p-cumic alcohol:NAD+ oxidoreductase | p-Cumic alcohol:NADP+ oxidoreductase | Indole-3-acetaldehyde:NAD+ oxidoreduct	1
raw	31	C31	35	-3.0900	-5.4700	-6.7500	0.0200	1.1950	2.3800	3.2300	0.1377	1.0000	cof_co2 51% (6.7x); ec4 51% (4.4x); ec3 40% (2.6x); d_carboxylate_nz 51% (2.5x)	rxn00127;rxn00194;rxn00313;rxn00322	S-adenosyl-L-methionine carboxy-lyase  | L-glutamate 1-carboxy-lyase (4-aminobu | meso-2,6-diaminoheptanedioate carboxy-	4
raw	33	C33	34	0.0000	-0.9600	-4.6250	0.4600	0.7800	0.9600	4.3900	-0.1221	1.0000	-	rxn00012;rxn00015;rxn01037;rxn01038	sucrose:sucrose 1'-beta-D-fructosyltra | putrescine:putrescine 4-aminobutyltran | N-Benzoylglycine amidohydrolase	2
raw	11	C11	34	-40.6500	-40.0600	-39.9300	2.3200	1.7375	1.1100	1.0500	0.4099	1.0000	cof_h2o2 88% (25.8x); cof_o2 88% (6.3x); d_carboxylate_nz 76% (3.7x); d_aldehyde_nz 38% (3.3x); ec1 79% (2.4x); cof_h2o 76% (2.0x)	rxn00052;rxn00152;rxn00156;rxn00204	thiamine-aldehyde:oxygen 5-oxidoreduct | Pyruvate:oxygen 2-oxidoreductase (phos | pyruvate:oxygen 2-oxidoreductase (CoA-	1
raw	22	C22	31	7.2200	-2.0500	-2.9500	0.0000	0.1500	9.2700	10.1700		1.0000	cof_pi 100% (12.3x); ec3 100% (6.4x); cof_h2o 100% (2.7x); d_hydroxyl_nz 100% (2.1x)	rxn00220;rxn00708;rxn00831;rxn00913	D-Glucose-6-phosphate phosphohydrolase | Uridine 5'-monophosphate phosphohydrol | Inosine 5'-monophosphate phosphohydrol	3
raw	3	C3	30	-90.6300	-57.1700	-58.3200	6.6800	1.5425	28.9250	31.1500	-0.0583	1.0000	cof_nadph 100% (7.2x); cof_o2 100% (7.2x); cof_nadp 100% (7.2x); d_aromatic_c_nz 100% (3.3x); d_alkene_nz 100% (2.9x); cof_h2o 100% (2.7x)	rxn00311;rxn00523;rxn03082;rxn05132	L-lysine,NADPH:oxygen oxidoreductase ( | L-tyrosine,NADPH:oxygen oxidoreductase | N-hydroxy-L-tyrosine,NADPH:oxygen oxid	1
raw	25	C25	30	-10.3300	2.0050	6.8300	0.1300	1.9075	12.4000	17.2900	0.0204	1.0000	cof_sah 40% (13.5x); cof_sam 40% (12.7x); cof_pi 60% (7.4x); ec2 97% (3.7x); has_S 40% (2.1x)	rxn00854;rxn01478;rxn01565;rxn01717	S-Adenosyl-L-methionine:putrescine N-m | S-Adenosyl-L-methionine:ethanolamine-p | S-Adenosyl-L-methionine:amine N-methyl	2
raw	41	C41	30	3.6700	2.5800	2.6400	0.5500	0.4050	1.1300	1.0400	0.5140	1.0000	d_aldehyde_nz 67% (5.7x); cof_nadph 53% (3.8x); cof_nadp 53% (3.8x); d_aromatic_c_nz 87% (2.9x); ec1 87% (2.6x); d_alkene_nz 87% (2.5x)	rxn00198;rxn00505;rxn00541;rxn00603	Isocitrate:NADP+ oxidoreductase (decar | Isocitrate:NAD+ oxidoreductase (decarb | L-threonine acetaldehyde-lyase (glycin	1
