rxn	name	ec	status	equation	definition	dg_gc	dg_eq	dg_dgp	max_abs_pairdiff	dg_range3	n_participants	sum_abs_coeff	max_mass	max_carbon	elements	cofactors	n_kegg_with_dg	kegg_spread_kcal	all_have_smiles	n_generic_formula	total_rings	total_arom_rings	n_groups_changed	is_transport
rxn05974	5-hydroxy-2,4-dioxopentanoate glycolylhydrolase	3.7.1.-	OK	(1) cpd00020[0] + (1) cpd00067[0] + (1) cpd00139[0] <= (1) cpd00001[0] + (1) cpd12723[0]	(1) Pyruvate[0] + (1) H+[0] + (1) Glycolate[0] <= (1) H2O[0] + (1) (4S)-5-Hydroxy-2,4-dioxopentanoate[0]	12.810	14.960	12.860	2.150	2.150	5	5.000	87.000	5	C;H;O	h;h2o	1	0.000	1	0	0	0	2	0
rxn33501	fatty acid elongase-(NADP)	2.3.1.119	OK	(2) cpd00005[0] + (3) cpd00067[0] + (1) cpd00070[0] + (1) cpd00327[0] => (1) cpd00001[0] + (2) cpd00006[0] + (1) cpd00010[0] + (1) cpd00011[0] + (1) cpd01393[0]	(2) NADPH[0] + (3) H+[0] + (1) Malonyl-CoA[0] + (1) strcoa[0] => (1) H2O[0] + (2) NADP[0] + (1) CoA[0] + (1) CO2[0] + (1) Icosanoyl-CoA[0]	-15.990	-15.650	-17.800	2.150	2.150	9	13.000	1058.000	41	C;H;N;O;P;S	co2;coa;h;h2o;nadp;nadph	1	0.000	1	0	22	13	6	0
rxn01431	GTP:beta-L-fucose-1-phosphate guanylyltransferase	2.7.7.30	OK	(1) cpd00038[0] + (1) cpd01912[0] <=> (1) cpd00012[0] + (1) cpd00272[0]	(1) GTP[0] + (1) L-Fucose 1-phosphate[0] <=> (1) PPi[0] + (1) GDP-L-fucose[0]	1.070	-1.090	-0.400	2.160	2.160	4	4.000	587.000	16	C;H;N;O;P	ppi	1	0.000	1	0	8	4	0	0
rxn32536	Fucose-1-phosphate guanylyltransferase	2.7.7.30	OK	(1) cpd00038[0] + (1) cpd01912[0] <=> (1) cpd00012[0] + (1) cpd00272[0]	(1) GTP[0] + (1) L-Fucose 1-phosphate[0] <=> (1) PPi[0] + (1) GDP-L-fucose[0]	1.070	-1.090	-0.400	2.160	2.160	4	4.000	587.000	16	C;H;N;O;P	ppi	1	0.000	1	0	8	4	0	0
rxn32533	Fucose-1-phosphate guanylyltransferase	2.7.7.30	OK	(1) cpd00038[0] + (1) cpd01912[0] <=> (1) cpd00012[0] + (1) cpd00272[0]	(1) GTP[0] + (1) L-Fucose 1-phosphate[0] <=> (1) PPi[0] + (1) GDP-L-fucose[0]	1.070	-1.090	-0.400	2.160	2.160	4	4.000	587.000	16	C;H;N;O;P	ppi	1	0.000	1	0	8	4	0	0
rxn01152	D-arabinose aldose-ketose-isomerase	5.3.1.3	OK	(1) cpd00185[0] <=> (1) cpd00258[0]	(1) D-Arabinose[0] <=> (1) D-Ribulose[0]	-0.890	1.270	1.250	2.160	2.160	2	2.000	150.000	5	C;H;O		1	0.000	1	0	2	0	1	0
rxn16614	GTP:D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase	2.7.7.71	OK	(1) cpd00038[0] + (1) cpd21120[0] <=> (1) cpd00012[0] + (1) cpd21121[0]	(1) GTP[0] + (1) D-glycero-alpha-D-manno-Heptose 1-phosphate[0] <=> (1) PPi[0] + (1) GDP-D-glycero-alpha-D-manno-heptose[0]	1.070	-1.090	-1.050	2.160	2.160	4	4.000	635.000	17	C;H;N;O;P	ppi	1	0.000	1	0	8	4	0	0
rxn15296	6-Phospho-D-gluconate hydro-lyase(2-dehydro-3-deoxy-6-phospho-D-gluconate-forming)	4.2.1.12	OK	(1) cpd00284[0] => (1) cpd00001[0] + (1) cpd00945[0]	(1) 6-Phospho-D-gluconate[0] => (1) H2O[0] + (1) 2-Dehydro-3-deoxy-D-galactonate 6-phosphate[0]	-8.170	-9.700	-10.340	2.170	2.170	3	3.000	274.000	6	C;H;O;P	h2o	1	0.000	1	0	0	0	2	0
rxn01477	6-Phospho-D-gluconate hydro-lyase(2-dehydro-3-deoxy-6-phospho-D-gluconate-forming)	4.2.1.12	OK	(1) cpd00284[0] => (1) cpd00001[0] + (1) cpd02711[0]	(1) 6-Phospho-D-gluconate[0] => (1) H2O[0] + (1) 2-Keto-3-deoxy-6-phosphogluconate[0]	-8.170	-10.270	-10.340	2.170	2.170	3	3.000	274.000	6	C;H;O;P	h2o	1	0.000	1	0	0	0	2	0
rxn01620	L-Fuculose-1-phosphate lactaldehyde-lyase	4.1.2.17	OK	(1) cpd00806[0] <=> (1) cpd00095[0] + (1) cpd00334[0]	(1) L-Fuculose1-phosphate[0] <=> (1) Glycerone-phosphate[0] + (1) L-Lactaldehyde[0]	2.560	4.730	4.710	2.170	2.170	3	3.000	243.000	6	C;H;O;P		1	0.000	1	0	0	0	2	0
