space	cluster	label	n	gc_median	eq_median	dgp_median	gc_iqr	dgp_iqr	mad_gc_eq	mad_gc_dgp	r_gc_dgp	frac_kegg_vouched	enriched	example_rxns	example_names	top_ec_class
symlog	28	C28	58	-96.1900	-97.2000	-94.4500	1.8000	2.0200	1.0100	1.3400	0.1234	1.0000	cof_o2 100% (7.2x); cof_nadph 90% (6.5x); cof_nadp 90% (6.4x); d_aromatic_c_nz 98% (3.2x); d_alkene_nz 98% (2.9x); ec1 90% (2.7x)	rxn01067;rxn01567;rxn01696;rxn02215	Cholesterol,NADPH:oxygen oxidoreductas | (-)-menthol,NADPH:oxygen oxidoreductas | R02356	1
symlog	33	C33	52	-3.0900	-5.5400	-7.0450	0.5800	1.9400	2.2900	3.7450	0.2198	1.0000	cof_co2 48% (6.2x); ec4 46% (4.0x); ec3 42% (2.7x); d_carboxylate_nz 56% (2.7x)	rxn00127;rxn00194;rxn00235;rxn00313	S-adenosyl-L-methionine carboxy-lyase  | L-glutamate 1-carboxy-lyase (4-aminobu | 6-Acetyl-D-glucose acetylhydrolase	4
symlog	21	C21	48	3.2100	2.3600	2.3850	0.5625	0.7675	1.1600	1.1600	0.7371	1.0000	cof_nadph 52% (3.8x); cof_nadp 52% (3.7x); d_aldehyde_nz 42% (3.6x); d_aromatic_c_nz 85% (2.8x); d_alkene_nz 92% (2.7x); ec1 85% (2.6x)	rxn00198;rxn00505;rxn00541;rxn00603	Isocitrate:NADP+ oxidoreductase (decar | Isocitrate:NAD+ oxidoreductase (decarb | L-threonine acetaldehyde-lyase (glycin	1
symlog	35	C35	47	-22.5300	-18.1300	-22.4400	0.0000	0.7100	4.4000	0.0900	0.0292	1.0000	cof_ppi 96% (14.2x); ec2 94% (3.6x)	rxn01213;rxn01214;rxn01466;rxn01486	GPPSYN-RXN | Dimethylallyl-diphosphate:isopentenyl- | Geranyl-diphosphate:isopentenyl-diphos	2
symlog	1	C1	46	3.6100	4.1850	-3.0550	2.0725	1.3200	0.5550	6.6150	0.5639	1.0000	d_ketone_nz 50% (2.5x); has_S 41% (2.1x)	rxn00004;rxn00599;rxn00948;rxn01747	4-hydroxy-4-methyl-2-oxoglutarate pyru | succinyl-CoA:glycine C-succinyltransfe | Palmitoyl-CoA:L-serine C-palmitoyltran	1
symlog	4	C4	46	-15.8800	-73.9600	-10.4400	8.6325	7.1625	53.6300	7.8000	-0.2428	1.0000	-	rxn00385;rxn00386;rxn00387;rxn00758	3'-Phosphoadenylylsulfate:17beta-estra | 3'-Phosphoadenylylsulfate:phenolic-ste | 3'-Phosphoadenylylsulfate:phenolic-ste	2
symlog	40	C40	45	-9.8000	-8.6800	-5.8100	0.0000	0.9200	1.1200	4.1900	-0.2465	1.0000	d_aldehyde_nz 96% (8.2x); cof_nadh 67% (5.5x); cof_nad 67% (5.3x); d_carboxylate_nz 93% (4.5x); d_aromatic_c_nz 89% (2.9x); ec1 89% (2.7x)	rxn00183;rxn00196;rxn00508;rxn00509	L-Glutamate 5-semialdehyde:NAD+ oxidor | 2,5-dioxopentanoate:NADP+ 5-oxidoreduc | Succinate-semialdehyde:NAD+ oxidoreduc	1
symlog	24	C24	44	-108.2800	-107.9500	-107.3050	1.6475	3.2650	0.6950	1.9300	0.2011	1.0000	cof_co2 68% (8.9x); cof_o2 100% (7.2x); d_ketone_nz 66% (3.3x); ec1 80% (2.4x)	rxn00312;rxn00401;rxn00489;rxn01026	L-Lysine:oxygen 2-oxidoreductase (deca | L-Arginine:oxygen 2-oxidoreductase (de | L-Phenylalanine:oxygen 2-oxidoreductas	1
symlog	20	C20	43	1.4700	1.9800	2.1300	0.3350	0.6200	0.4000	0.5200	0.0620	1.0000	ec4 47% (4.0x)	rxn00257;rxn00275;rxn00276;rxn00785	acetyl-CoA:oxaloacetate C-acetyltransf | Glycine:2-oxoglutarate aminotransferas | Glycine:oxaloacetate aminotransferase	4
symlog	11	C11	41	2.1600	-0.2800	0.2100	0.1400	0.7100	2.4100	2.2100	-0.2782	1.0000	ec4 46% (4.0x); d_ketone_nz 49% (2.5x); d_alkene_nz 80% (2.4x); has_S 41% (2.1x)	rxn00678;rxn01410;rxn02447;rxn02685	(S)-2-Methyl-3-oxopropanoyl-CoA:pyruva | L-carnitine hydro-lyase [4-(trimethyla | Androst-5-ene-3beta,17beta-diol:NADP+ 	4
symlog	37	C37	41	-8.4800	-5.6400	-5.6500	0.4400	0.4000	2.9600	2.8300	-0.0581	1.0000	cof_coa 61% (9.4x); d_thioester_nz 61% (9.4x); has_S 66% (3.4x); d_carboxylate_nz 63% (3.0x); d_ketone_nz 51% (2.6x)	rxn00501;rxn00502;rxn00899;rxn00926	3-Oxopropanoate:NAD+ oxidoreductase (d | 3-Oxopropanoate:NADP+ oxidoreductase ( | 3-methyl-2-oxobutanoate:NAD+ oxidoredu	3
symlog	19	C19	41	15.0000	14.5000	13.9200	4.0500	5.6900	2.2800	2.4500	-0.5941	1.0000	-	rxn00284;rxn00380;rxn00868;rxn00945	succinate:NAD+ oxidoreductase | ADP:sulfate adenylyltransferase | Butanoyl-CoA:(acceptor) 2,3-oxidoreduc	1
symlog	30	C30	39	-27.3000	-8.5100	-8.1500	1.0700	0.4150	19.5800	19.4900	-0.3453	1.0000	cof_amp 41% (16.5x); d_phosphoanhydride_nz 100% (9.5x); cof_ppi 62% (9.1x); ec3 82% (5.3x); cof_h2o 92% (2.4x)	rxn00063;rxn00076;rxn00212;rxn00301	ATP diphosphohydrolase (diphosphate-fo | NAD+ phosphohydrolase | UDP-glucose glucophosphohydrolase	3
symlog	27	C27	37	-95.8300	-105.9600	-95.2000	0.0000	3.3300	10.1300	0.7200	-0.0333	1.0000	cof_o2 100% (7.2x); cof_nadph 70% (5.1x); cof_nadp 70% (5.0x); d_aromatic_c_nz 100% (3.3x); ec1 97% (2.9x); d_alkene_nz 100% (2.9x)	rxn00959;rxn00961;rxn00963;rxn01438	benzoate,NADPH:oxygen oxidoreductase ( | 4-hydroxybenzoate,NADH:oxygen oxidored | 4-hydroxybenzoate,NADPH:oxygen oxidore	1
symlog	3	C3	37	9.5300	-0.5700	-0.6400	0.0000	0.1700	9.9500	10.1400	0.8648	1.0000	cof_adp 89% (13.2x); cof_atp 86% (10.0x); ec2 92% (3.5x)	rxn00097;rxn00118;rxn00119;rxn00239	ATP:AMP phosphotransferase | Uridine triphosphate:AMP phosphotransf | ATP:UMP phosphotransferase	2
symlog	8	C8	37	-11.8100	-16.1100	22.9400	5.3100	5.9800	3.5900	38.8100	0.0538	1.0000	cof_nadh 65% (5.3x); cof_nad 65% (5.2x); d_aromatic_c_nz 86% (2.9x); ec1 81% (2.4x)	rxn00126;rxn00584;rxn01094;rxn01194	ATP:L-methionine S-adenosyltransferase | (1R,6S)-1,6-dihydroxycyclohexa-2,4-die | 2,3-dihydro-2,3-dihydroxybenzoate:NAD+	1
symlog	15	C15	37	-189.9800	-235.9400	-184.2000	7.7100	11.7800	45.9600	5.7800	0.8326	1.0000	cof_co2 70% (9.1x); cof_o2 100% (7.2x); cof_nadph 84% (6.0x); cof_nadp 84% (6.0x); d_carboxylate_nz 73% (3.5x); d_aromatic_c_nz 97% (3.2x)	rxn13966;rxn13984;rxn13986;rxn14002	L-tyrosine,NADPH:oxygen oxidoreductase | homomethionine,NADPH:oxygen oxidoreduc | dihomomethionine,NADPH:oxygen oxidored	1
symlog	38	C38	37	-9.8000	-8.6800	-2.9300	0.0000	0.9700	1.1200	6.8700	-0.1751	1.0000	d_aldehyde_nz 97% (8.4x); cof_nadh 76% (6.2x); cof_nad 76% (6.1x); d_carboxylate_nz 97% (4.7x); d_aromatic_c_nz 100% (3.3x); ec1 97% (2.9x)	rxn01867;rxn01868;rxn01937;rxn01943	p-cumic alcohol:NAD+ oxidoreductase | p-Cumic alcohol:NADP+ oxidoreductase | Indole-3-acetaldehyde:NAD+ oxidoreduct	1
symlog	29	C29	36	-92.5800	-94.1300	-95.7900	0.0000	0.7775	1.5500	3.2100	0.3175	1.0000	cof_o2 100% (7.2x); cof_nadph 83% (6.0x); cof_nadp 83% (6.0x); d_aromatic_c_nz 100% (3.3x); d_alkene_nz 100% (2.9x); ec1 97% (2.9x)	rxn02726;rxn02967;rxn03104;rxn03196	(6Z,8E,10E,14Z)-(5S,12R)-5,12-Dihydrox | (7E,9E,11Z,14Z)-(5S,6R)-6-(cystein-S-y | 4,4-dimethyl-5alpha-cholest-7-en-3beta	1
symlog	23	C23	35	-75.9500	-82.1700	-83.5700	8.8950	13.1300	6.7600	14.7800	-0.8919	1.0000	cof_o2 89% (6.3x); cof_nadh 49% (4.0x); cof_nad 49% (3.9x); ec1 89% (2.7x)	rxn00025;rxn00066;rxn00084;rxn00565	beta-Carotene:oxygen 15,15'-oxidoreduc | NADH:hydrogen-peroxide oxidoreductase | NADPH:hydrogen-peroxide oxidoreductase	1
symlog	32	C32	34	-40.6500	-40.0600	-39.9300	2.3200	1.7375	1.1100	1.0500	0.4099	1.0000	cof_h2o2 88% (25.8x); cof_o2 88% (6.3x); d_carboxylate_nz 76% (3.7x); d_aldehyde_nz 38% (3.3x); ec1 79% (2.4x); cof_h2o 76% (2.0x)	rxn00052;rxn00152;rxn00156;rxn00204	thiamine-aldehyde:oxygen 5-oxidoreduct | Pyruvate:oxygen 2-oxidoreductase (phos | pyruvate:oxygen 2-oxidoreductase (CoA-	1
symlog	7	C7	33	-14.0300	-3.4200	3.8200	6.2900	1.9300	11.2200	17.8500	-0.5896	1.0000	cof_sah 36% (12.3x); cof_sam 36% (11.5x); has_S 52% (2.7x); ec2 55% (2.1x)	rxn01492;rxn01929;rxn02014;rxn02771	ATP:D-fructose-1-phosphate 6-phosphotr | S-Adenosyl-L-methionine:3-hydroxyanthr | Cholate:CoA ligase (AMP-forming)	2
symlog	14	C14	31	0.7400	3.9000	4.2400	0.0800	1.9200	3.1500	3.4900	0.3695	1.0000	cof_co2 52% (6.7x); ec4 58% (5.0x); d_aldehyde_nz 42% (3.6x); d_ketone_nz 65% (3.3x); d_carboxylate_nz 52% (2.5x); is_obsolete 61% (2.0x)	rxn00252;rxn00684;rxn00783;rxn01115	diphosphate:oxaloacetate carboxy-lyase | 5,6,7,8-tetrahydrofolate:NAD+ oxidored | 2-dehydro-3-deoxy-D-galactonate-6-phos	4
symlog	17	C17	30	0.0000	0.6150	0.0000	0.0000	0.1600	0.6150	0.0100		1.0000	cof_adp 90% (13.4x); cof_atp 90% (10.4x); ec2 93% (3.6x); is_obsolete 63% (2.1x)	rxn00107;rxn00515;rxn00839;rxn01171	ATP:2'-deoxy-5-hydroxymethylcytidine-5 | ATP:IDP phosphotransferase | ATP:dADP phosphotransferase	2
