rxn	name	ec_class	dg_gc	dg_eq	dg_dgp	cluster
rxn02842	R04049	1	3.760	6.730	6.850	22
rxn02843	Malonyl-CoA:3,4-dichloroaniline N-malonyltransferase	2	-4.050	-3.570	-9.560	-1
rxn02844	R04051	2	0.000	1.600	18.680	-1
rxn02845	3-phosphonopyruvate carboxy-lyase	4	-4.090	-2.710	9.560	-1
rxn02847	4-Acetamidobutyryl-CoA amidohydrolase	3	-2.000	-0.870	-5.380	-1
rxn02848	Acetyl-CoA:5-hydroxypentanoate CoA-transferase	2	-1.540	-1.490	0.110	-1
rxn02851	anhydrotetracycline,NADPH:oxygen oxidoreductase (6-hydroxylating)	1	-62.830	-175.490	-110.410	-1
rxn02852	Benzene-1,2,4-triol:oxygen 1,2-oxidoreductase (decyclizing)	1	-95.640	-74.840	-137.350	-1
rxn02853	Imidazole acetaldehyde:NAD+ oxidoreductase	1	-9.800	-8.600	-2.920	38
rxn02854	imidazole-4-acetate,NADH:oxygen oxidoreductase (5-hydroxylating)	1	-99.820	-104.680	-101.710	-1
rxn02857	S-Adenosyl-L-methionine:5,8,13,13a-tetrahydrocolumbamine 2-O-methyltransferase	2	-4.360	-1.840	-23.130	6
rxn02858	3,4-Dihydroxyphenylacetaldehyde hydro-lyase (adding dopamine)	4	-4.240	-17.730	-20.210	-1
rxn02860	Toluene-cis-1,2-dihydrodiol:NAD+ oxidoreductase	1	-10.560	-14.110	30.250	8
rxn02861	3-Methylcatechol:oxygen 2,3-oxidoreductase(decyclizing)	1	-72.910	-62.110	-117.740	-1
rxn02862	O3-Acetyl-L-serine acetate-lyase (adding 3,4-dihydroxypyridin-1-yl)	2	7.860	-5.020	-30.230	-1
rxn02863	R04092	none	-2.300	10.640	-12.390	-1
rxn02866	3-methylbutanoyl-CoA:(acceptor) 2,3-oxidoreductase	1	-2.860	9.660	-3.250	-1
rxn02868	3alpha-hydroxyglycyrrhetinate:NADP+ 3-oxidoreductase	1	2.300	-0.280	2.880	12
rxn02869	3-cis-Dodecenoyl-CoA delta3-cis-delta2-trans-isomerase	5	-1.550	0.000	8.620	-1
rxn02872	ethyl-(R)-3-hydroxyhexanoate:NADP+ 3-oxidoreductase	1	3.760	4.440	-1.940	1
rxn02873	ethyl-(S)-3-hydroxyhexanoate:NADP+ 3-oxidoreductase	1	3.760	4.440	0.560	-1
rxn02874	UDPglucose:hydroxyanthraquinone O-glucosyltransferase	2	-1.700	-13.140	-10.390	13
rxn02877	cis-1,2-dihydronaphthalene-1,2-diol:NAD+ 1,2-oxidoreductase	1	-15.870	-20.250	25.060	8
rxn02878	naphthalene-1,2-diol:oxygen oxidoreductase	1	-82.550	-86.230	-107.510	-1
rxn02879	12,13-Diacylphorbate 12-acylhydrolase	3	-2.140	-8.280	-2.740	-1
rxn02880	UDPglucose:13-hydroxydocosanoate 13-beta-D-glucosyltransferase	2	-1.700	-4.540	-11.340	25
rxn02881	2,6-dihydroxypyridine,NADH:oxygen oxidoreductase (3-hydroxylating)	1	-94.610	-112.100	-85.010	-1
rxn02882	R04131	4	-3.710	0.180	8.380	-1
rxn02883	R04132	4	6.060	0.180	8.380	-1
rxn02884	5-Oxopent-3-ene-1,2,5-tricarboxylate carboxy-lyase	4	-1.540	-2.920	-1.040	-1
rxn02885	R04134	5	4.950	-0.000	-0.000	-1
rxn02886	3-Hydroxy-L-glutamate 1-carboxy-lyase	4	-3.090	-4.680	-7.270	33
rxn02887	3-Hydroxybenzyl-alcohol:NADP+ oxidoreductase	1	3.670	2.100	2.480	21
rxn02888	3-Hydroxyisopentyl-CoA hydro-lyase	4	3.020	0.380	-14.600	-1
rxn02889	3-Methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)	6	-1.070	-2.280	-6.660	-1
rxn02890	3alpha-Hydroxy-5beta-cholanate:NAD+ oxidoreductase	1	2.300	-0.280	-0.720	11
rxn02892	4-Methylumbelliferyl-acetate acylhydrolase	3	-3.680	-16.890	-1.630	-1
rxn02893	R04142	1	13.890	11.520	10.490	-1
rxn02896	R04147	5	0.000	0.000	-0.190	16
rxn02897	Nicotinate-nucleotide:dimethylbenzimidazole phospho-D-ribosyltransferase	2	-2.940	-5.590	-12.610	-1
rxn02899	(+)-cis-3,4-dihydrophenanthrene-3,4-diol:NAD+ 3,4-oxidoreductase	1	-15.870	-20.250	26.440	8
rxn02900	(2-Aminoethyl)phosphonate:pyruvate aminotransferase	2	-1.000	0.650	0.670	-1
rxn02901	Dimethylsulfonioacetate:L-homocysteine S-methyltransferase	2	-13.150	-1.110	-12.970	-1
rxn02902	Tetrahydroxypteridine lyase (isomerizing)	5	-37.590	-3.180	-3.800	-1
rxn02904	(S)-4-Hydroxymandelate racemase	5	0.000	0.000	0.000	16
rxn02907	11-Deoxycorticosterone ketol-isomerase	5	1.460	0.450	1.660	-1
rxn02908	16alpha-Hydroxyprogesterone hydro-lyase	4	-6.260	-12.310	-17.920	-1
rxn02909	2-Carboxy-D-arabinitol-1-phosphate 1-phosphohydrolase	3	7.220	-2.580	-1.640	2
rxn02910	S-Adenosyl-L-methionine:2-methylpropanal-oxime O-methyltransferase	2	-4.360	-29.900	-29.470	-1
rxn02911	(S)-3-Hydroxydodecanoyl-CoA hydro-lyase	4	2.160	-0.180	0.210	11
rxn02912	3-Hydroxy-L-kynurenine:2-oxoglutarate aminotransferase	2	0.000	-1.870	-0.790	-1
rxn02913	R04172	4	-3.090	-5.070	-7.850	33
rxn02914	3-Phosphoserine:2-oxoglutarate aminotransferase	2	-0.000	2.650	2.670	-1
rxn02915	6-Acetamido-2-oxohexanoate amidohydrolase	3	-2.000	-1.930	-6.150	25
rxn02916	R04175	none	-14.740	-11.310	-9.580	-1
rxn02923	(S)-3-(Imidazol-5-yl)lactate:NAD+ oxidoreductase	1	6.020	4.450	4.460	22
rxn02924	(S)-3-(Imidazol-5-yl)lactate:NADP+ oxidoreductase	1	6.020	4.460	3.880	22
rxn02925	L-Alanine:3-oxopropanoate aminotransferase	2	1.000	-0.040	-2.330	-1
rxn02926	L-3-amino-isobutanoate:2-oxoglutarate aminotransferase	2	-1.000	0.110	2.490	10
rxn02927	N2-succinyl-L-arginine iminohydrolase (decarboxylating)	2;3	-9.650	-20.540	-14.190	-1
rxn02928	2,3,4,5-Tetrahydrodipicolinate:NAD+ oxidoreductase	1	1.010	6.140	15.720	-1
rxn02929	2,3,4,5-Tetrahydrodipicolinate:NADP+ oxidoreductase	1	1.010	6.150	15.140	-1
rxn02930	D-threo-2,4-diaminopentanoate:NAD+ oxidoreductase (deaminating)	1	6.230	7.050	7.480	22
rxn02931	D-threo-2,4-diaminopentanoate:NADP+ oxidoreductase(deaminating)	1	6.230	7.050	6.890	22
rxn02932	Bis(2-ethylhexyl)phthalate acylhydrolase	3	-2.140	-3.580	-22.360	-1
rxn02933	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase	1	3.760	4.440	4.990	22
rxn02934	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA hydro-liase	4	1.600	-1.180	-8.140	-1
rxn02936	3-Phospho-D-erythronate hydro-lyase	4	10.210	-1.520	-6.760	-1
rxn02937	2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)	6	30.190	4.020	-20.440	-1
rxn02938	1-(5-phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase	4	-1.320	1.070	0.670	-1
rxn02939	4-phospho-D-erythronate:NAD+ 2-oxidoreductase	1	6.220	4.450	5.410	22
rxn02940	Oxalyl-CoA:L-2,3-diaminopropanoate N3-oxalyltransferase	2	5.480	-4.040	-0.270	-1
rxn02941	3'-Phosphoadenylylsulfate:L-tyrosine-methyl-ester sulfotransferase	2	-14.030	-66.800	-7.300	4
rxn02942	R04214	3	14.180	-4.430	-10.060	-1
rxn02943	CTP:N-glycoloylneuraminate cytidylyltransferase	2	-12.960	55.750	11.680	-1
rxn02944	N2-succinyl-L-ornithine:2-oxoglutarate 5-aminotransferase	2	-1.000	-0.320	5.000	10
rxn02945	prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase	2	-13.190	11.760	-7.010	-1
rxn02946	cis-4-Hydroxy-D-proline:oxygen oxidoreductase (deaminating)	1	-43.670	-25.920	-41.580	-1
rxn02948	R04223	4	-7.060	-3.600	7.860	-1
rxn02949	(S)-3-Hydroxyisobutyryl-CoA hydro-lyase	4	0.870	1.520	4.360	-1
rxn02956	D-4-Hydroxyphenylglycine:2-oxoglutarate aminotransferase	2	-1.550	-1.360	2.860	-1
rxn02957	ATP:5-methyldeoxycytidine-5'-phosphate phosphotransferase	2	9.530	0.230	-0.610	3
rxn02958	Propane-1,2-diol-1-phosphate:NAD+ oxidoreductase	1	3.760	4.470	7.140	22
rxn02962	R04248	4	-75.950	-77.710	-91.800	23
rxn02967	(7E,9E,11Z,14Z)-(5S,6R)-6-(cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoate,NADPH:oxygen oxidoreductase (20-hydroxylating)	1	-92.580	-94.130	-95.790	29
rxn02969	R04258	1	-95.640	-74.000	-128.560	-1
rxn02970	2-Chloro-2,5-dihydro-5-oxofuran-2-acetate lyase (decyclizing)	5	0.390	-3.400	-14.100	-1
rxn02971	5-oxo-2,5-dihydrofuran-2-acetate delta3-delat2-isomerase	5	3.130	-4.090	1.760	-1
rxn02972	7alpha-Hydroxycholesterol:NAD+ 3-oxidoreductase	1	0.750	-0.280	5.600	-1
rxn02973	Cholest-5-ene-3beta,7alpha-diol:NAD+ 3-oxidoreductase	1	0.750	-0.280	5.020	-1
rxn02974	R04265	1	-2.300	0.280	3.120	10
rxn02975	CDP-3,6-dideoxy-D-glucose 2-epimerase	5	0.000	0.000	-0.160	16
rxn02976	R04269	none	0.000	-1.820	0.860	-1
rxn02977	2-alpha-L-FUcopyranosyl-beta-D-galactoside fucohydrolase	3	-3.110	-3.040	2.000	9
rxn02980	2-pyrone-4,6-dicarboxylate lactonohydrolase	3	10.240	-57.420	-40.300	-1
rxn02981	2-hydroxy-2-hydropyrone-4,6-dicarboxylate:NAD+ 6-oxidoreductase	1	-3.550	61.680	30.630	-1
rxn02982	4-carboxy-2-hydroxymuconate semialdehyde hemiacetal:NADP+ 2-oxidoreductase	1	-3.550	61.680	30.050	-1
rxn02983	3-O-Methylgallate:oxygen 4,5-oxidoreductase (decyclizing)	1	-104.860	-5.870	-57.010	-1
rxn02988	glycerone phosphate:iminosuccinate alkyltransferase (cyclizing)	2	9.490	51.410	76.600	-1
rxn02989	R04293	none	30.670	37.000	39.940	-1
rxn02993	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	1	-24.020	-22.580	-16.690	34
rxn02994	S-Adenosyl-L-methionine:catechol O-methyltransferase	2	-4.360	-1.840	-23.120	6
rxn02996	4-Hydroxyphenylethanol:NAD+ oxidoreductase	1	5.220	4.880	8.760	22
rxn02997	4-Hydroxyphenylacetaldehyde hydro-lyase (adding dopamine)	4	-4.240	-17.730	-20.210	-1
rxn02999	trans-4-hydroxycyclohexanecarboxylate:NAD+ 4-oxidoreductase	1	2.300	-0.280	2.270	12
rxn03000	3alpha-Hydroxy-5beta-androstan-17-one:NAD+ oxidoreductase (B-specific)	1	2.300	-0.280	-0.470	11
rxn03001	3alpha-Hydroxy-5beta-androstan-17-one:NADP+ oxidoreductase (B-specific)	1	2.300	-0.280	-1.050	11
rxn03002	S-Methyl-3-phospho-1-thio-D-glycerate phosphohydrolase	3	7.220	-3.340	-2.950	2
rxn03003	2-Amino-3-carboxymuconate semialdehyde carboxy-lyase	4	-0.980	-3.630	-2.210	-1
rxn03007	R07498	1	17.540	13.270	8.280	19
rxn03008	androstan-3alpha,17beta-diol:NAD+ oxidoreductase	1	2.300	-0.280	-3.500	-1
rxn03011	UDP-L-arabinose:indol-3-ylacetyl-myo-inositol L-arabinosyltransferase	2	-1.700	-3.830	-10.130	25
rxn03012	R04336	3	-16.740	-12.610	-16.360	-1
rxn03013	S-(4-Bromophenyl)-L-cysteine:2-oxoglutarate aminotransferase	2	0.000	-1.860	-1.930	-1
rxn03014	thiomorpholine-3-carboxylate:NAD+ 5,6-oxidoreductase	1	-11.960	5.810	-7.860	-1
rxn03015	thiomorpholine-3-carboxylate:NADP+ 5,6-oxidoreductase	1	-11.960	5.810	-8.440	-1
rxn03016	trans-5-O-(4-coumaroyl)-D-quinate,NADPH:oxygen oxidoreductase (3'-hydorxylating)	1	-95.830	-105.970	-81.150	26
rxn03017	3beta-Hydroxysteroid:NADP+ oxidoreductase	1	2.300	-0.280	-0.570	11
rxn03018	2,4-Dichloro-2,5-dihydro-5-oxofuran-2-acetate lyase (decyclizing)	5	0.050	3.200	-15.510	-1
rxn03020	5-Methyl-5,6,7,8-tetrahydromethanopterin:2-mercaptoethanesulfonate 2-methyltransferas	2	-6.400	-11.120	-9.660	-1
rxn03023	ATP:5-dehydro-2-deoxy-D-gluconate 6-phosphotransferase	2	-14.030	-3.570	-3.060	36
rxn03024	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific)	2	-1.700	-3.380	-9.620	25
rxn03025	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific)	2	-1.700	-12.710	-14.750	13
rxn03026	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific)	2	-1.700	-12.710	-14.750	13
rxn03029	UDPglucose:(25S)-5beta-spirostan-3beta-ol 3-O-beta-glucosyltransferase	2	-1.700	-3.880	-9.180	25
rxn03030	Acetyl-CoA:L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase	2	11.450	6.930	13.410	-1
rxn03031	Succinyl-CoA:2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	2	11.450	7.300	9.190	-1
rxn03033	benzyl-(2R,3S)-2-methyl-3-hydroxybutanoate:NADP+ 3-oxidoreductase	1	3.760	4.440	4.660	22
rxn03034	Homoisocitrate hydro-lyase	4	0.050	-1.180	-1.240	-1
rxn03035	D-myo-Inositol-3,4-bisphosphate 4-phosphohydrolase	3	7.220	-3.990	-2.670	2
rxn03037	trans-L-3-Hydroxyproline hydro-lyase	4	-24.350	0.480	-13.640	-1
rxn03038	R04376	1	-72.910	-62.490	-113.730	-1
rxn03040	5-Carboxymethyl-2-hydroxymuconate delta2,delta4-2-oxo,delta3-isomerase	5	-4.390	-0.000	-0.000	-1
rxn03041	5-oxopent-3-ene-1,2,5-tricarboxylate carboxy-lyase	4	3.410	-2.920	-1.040	-1
rxn03042	4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate lyase	4	-9.370	-14.550	-23.940	-1
rxn03043	5-Dehydro-4-deoxy-D-glucuronate ketol-isomerase	5	-1.050	2.800	1.590	-1
rxn03045	diethyl-(2R,3R)-2-methyl-3-hydroxysuccinate:NADP+ 3-oxidoreductase	1	6.220	0.840	18.460	-1
rxn03046	ATP:guanidinoethyyl-methyl-phosphate phosphotransferase	2	1.930	3.530	0.690	-1
rxn03047	ATP:pantothenate 4'-phosphotransferase	2	-14.030	-3.600	-4.790	36
rxn03048	2-(Hydroxymethyl)-3-(acetamidomethylene)succinate amidohydrolase	3	-13.390	-10.830	-0.350	-1
rxn03049	S-Adenosyl-L-methionine:3,3',4',5,7,8-hexahydroxyflavone 8-O-methyltransferase	2	-23.420	-1.910	-23.210	-1
rxn03050	R04399	4	6.420	0.380	-2.890	-1
rxn03051	(S)-tetrahydrocolumbamine, NADPH:oxygen oxidoreductase (methylenedioxy-bridge-forming)	1	115.070	114.390	69.060	-1
rxn03052	5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase	2	-6.410	-10.700	-8.420	-1
rxn03057	5-Methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase	5	0.620	-2.560	-6.450	-1
rxn03058	S-Adenosyl-L-methionine:N-benzoyl-4-O-hydroxyanthranilate 4-O-methyltransferase	2	-4.360	-1.840	-22.470	6
rxn03060	2-Hydroxybutane-1,2,3-tricarboxylate hydro-lyase	4	0.910	-0.620	-1.780	-1
rxn03061	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate hydro-lyase	4	0.910	-0.620	0.470	-1
rxn03062	3-Isopropylmalate:NAD+ oxidoreductase	1	6.220	4.440	6.160	22
rxn03063	S-Adenosyl-L-methionine:zymosterol C-methyltransferase	2	-19.860	-2.870	7.100	7
rxn03064	phosphoenolpyruvate:N-acetyl-D-mannosamine-6-phosphate C-(1-carboxyvinyl)transferase (phosphate-hydrolysing, 2-carboxy-2-oxoethyl-forming)	2	2.970	14.670	15.220	-1
rxn03065	S-Adenosyl-L-methionine:Nalpha,Nalpha-dimethyl-L-histidine Nalpha-methyltransferase	2	23.240	-1.980	-1.450	-1
rxn03066	dTDP-4-amino-4,6-dideoxy-D-galactose:2-oxoglutarate aminotransferase	2	-3.920	-4.110	-1.050	-1
rxn03068	(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)	1	6.220	4.440	4.570	22
rxn03070	R04443	none	15.860	10.160	15.560	-1
rxn03071	L-1-Pyrroline-3-hydroxy-5-carboxylate:NAD+ oxidoreductase	1	6.060	1.490	8.940	-1
rxn03072	L-1-Pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase	1	6.060	1.490	8.360	-1
rxn03073	R04446	none	18.300	14.390	21.930	-1
rxn03074	R04447	none	0.520	-7.380	-21.580	-1
rxn03075	ATP:4-methyl-5-(2-hydroxyethyl)-thiazole 2-phosphotransferase	2	-14.030	-3.780	-4.230	36
rxn03078	4-carboxy-2-hydroxy-cis,cis-muconate-6-semialdehyde:NADP+ 6-oxidoreductase	1	-9.800	-9.450	-1.400	-1
rxn03079	5,10-Methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase	1	-15.550	-41.030	-2.390	-1
rxn03080	5-amino-6-(D-ribitylamino)uracil butanedionetransferase	2	10.450	-23.880	-55.340	-1
rxn03082	N-hydroxy-L-tyrosine,NADPH:oxygen oxidoreductase (N-hydroxylating)	1	-83.950	-57.180	-58.320	-1
rxn03085	5,10-Methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase	1	15.510	-2.120	-10.210	-1
rxn03086	R04467	2	0.000	-2.230	0.140	-1
rxn03087	N-Succinyl-L-2,6-diaminoheptanedioate:2-oxoglutarate amino-transferase	2	0.000	0.090	-0.170	16
rxn03088	3'-Phosphoadenylylsulfate:UDP-N-acetyl-D-galactosamine-4-sulfate 6-sulfotransferase	2	-14.030	-61.710	8.330	-1
rxn03089	2-hydroxy-4-oxobutane-1,2,4-tricarboxylate 2,3-hydro-lyase	4	1.470	0.380	-2.890	-1
rxn03092	4-Carboxy-2-oxo-3-hexenedioate delta2,delta4-2-oxo,delta3-isomerase	5	4.950	-0.000	-0.000	-1
rxn03093	3beta-hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate:NAD+ 3-oxidoreductase (decarboxylating)	1	0.340	-5.940	-0.550	-1
rxn03094	Glycodeoxycholate amidohydrolase	3	-0.460	-0.340	-0.170	-1
rxn03095	Taurodeoxycholate amidohydrolase	3	-0.460	0.830	-6.110	-1
rxn03097	2-Hydroxy-2-hydropyrone-4,6-dicarboxylate lyase (decyclizing)	5	16.490	13.710	-8.840	-1
rxn03101	1-O-Galloyl-beta-D-glucose:1,2,3,6-tetrakis-O-galloyl-beta-D-glucose 4-O-galloyltransferase	2	-0.830	-18.090	4.900	-1
rxn03104	4,4-dimethyl-5alpha-cholest-7-en-3beta-ol,NADH:oxygen oxidoreductase (hydroxylating)	1	-92.580	-94.120	-96.440	29
rxn03105	S-Adenosyl-L-methionine:3',4',5,6-tetrahydroxy-3,7-dimethoxyflavone 6-O-methyltransferase	2	5.170	-1.670	-24.770	-1
rxn03106	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al:NAD+ oxidoreductase	1	-9.800	-8.680	0.630	-1
rxn03107	3alpha,7alpha-Dihydroxy-5beta-cholestanate:CoA ligase (AMP-forming)	6	-21.550	-2.620	-4.920	-1
rxn03108	ATP:4-amino-2-methyl-5-phosphomethylpyrimidine phosphotransferase	2	9.530	1.200	4.310	-1
rxn03109	4-Carboxymethyl-4-methylbut-2-en-1,4-olide methylmutase	5	0.910	-8.800	-3.950	-1
rxn03110	3-D-Glucuronosyl-N2,6-disulfo-beta-D-glucosamine glucuronohydrolase	3	-3.110	-1.940	0.730	9
rxn03111	R04515	4	-20.110	-15.890	-14.960	-1
rxn03112	(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NAD+ 15-oxidoreductase	1	2.210	4.440	3.360	-1
rxn03113	(15S)-15-Hydroxy-5,8,11-cis-13-trans-icosatetraenoate:NADP+ 15-oxidoreductase	1	2.210	4.440	2.770	-1
rxn03114	Geranylgeranyl diphosphate:sn-3-O-(geranylgeranyl)glycerol 1-phosphate geranylgeranyltransferase	2	-10.160	-6.400	-14.390	-1
rxn03118	R04524	none	43.800	66.560	-10.570	-1
rxn03122	UDP-2-acetamido-4-amino-2,4,6-trideoxyglucose:2-oxoglutarate aminotransferase	2	-3.920	-7.850	-2.080	-1
rxn03124	CMP-N-acetylneuraminate:beta-D-galactosyl-1,4-N-acetyl-beta-D--glucosamine alpha-2,6-N-acetylneuraminyltransferase	2	-11.230	-59.850	-18.960	-1
rxn03126	Coenzyme B:coenzyme M:methanophenazine oxidoreductase	1	-13.150	-6.870	77.270	-1
rxn03127	2-(Methylthio)ethanesulfonate:N-(7-thioheptanoyl)-3-O-phosphothreonine S-(2-sulfoethyl)thiotransferase	2	-6.900	-6.140	-70.810	-1
rxn03129	R04547	1	-2.860	9.660	-0.820	-1
rxn03130	UDP-2,3-bis[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine 2,3-bis[(3R)-3-hydroxymyristoyl]-beta-D-glucosaminyl 1-phosphate phosphohydrolase	3	-28.370	-6.000	-7.930	30
rxn03131	(13E)-(15S)-11alpha,15-dihydroxy-9-oxoprost-13-enoate:NADP+ 15-oxidoreductase	1	2.210	0.130	-0.140	-1
rxn03133	(5Z)-(15S)-11alpha-hydroxy-9,15-dioxoprostanoate:NAD+ delta13-oxidoreductase	1	16.550	14.270	5.100	-1
rxn03134	(5Z)-(15S)-11alpha-hydroxy-9,15-dioxoprostanoate:NADP+ delta13-oxidoreductase	1	16.550	14.270	4.510	-1
rxn03135	R04558	2;4	25.530	-58.350	-3.010	-1
rxn03136	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole AMP-lyase	4	7.340	3.520	2.950	-1
rxn03137	10-Formyltetrahydrofolate:5'-phosphoribosyl-5-amino-4-imidazolecarboxamide formyltransferase	2	-5.440	2.560	1.420	0
rxn03139	5-pyridoxate,NADPH:oxygen oxidoreductase (decyclizing)	1	-106.890	-90.710	-97.360	-1
rxn03141	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine:alanyl-D-alanine	6	-6.350	-6.940	-14.730	-1
rxn03142	cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide cis-trans-isomerase	5	0.000	0.000	-0.110	16
rxn03143	UDPglucose:(20S,22S,25S)-22,25-epoxyfurost-5-ene-3beta,26-diol 3-O-beta-D-glucosyltransferase	2	-1.700	-3.880	-9.200	25
rxn03144	UDPglucose:2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase	2	-1.700	-3.880	1.700	-1
rxn03145	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanate:CoA ligase (AMP-forming)	6	-21.550	-2.620	-6.450	-1
rxn03146	UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetylglucosamine amidohydrolase	3	-2.000	-1.540	1.250	9
rxn03147	1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)	6	-16.080	-15.500	8.930	-1
rxn03148	R04592	1	-2.860	9.660	1.280	0
rxn03149	R04593	none	18.000	6.250	23.660	-1
rxn03150	R04594	3	7.220	-3.390	-3.000	2
rxn03152	3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione:oxygen 4,5-oxidoreductase (decyclizing)	1	-72.030	-61.070	-116.350	-1
rxn03153	3,4-Dihydroxy-L-phenylalanine:oxygen 4,5-oxidoreductase (recyclizing)	1	-20.040	47.970	-57.380	-1
rxn03154	3,4-Dihydroxy-L-phenylalanine:oxygen 4,5-oxidoreductase (recyclizing)	1	20.040	-47.970	-56.800	-1
rxn03155	3,4-Dihydroxy-L-phenylalanine:oxygen 2,3-oxidoreductase (recyclizing)	1	-20.040	47.980	-58.840	-1
rxn03156	3,4-Dihydroxy-L-phenylalanine:oxygen 2,3-oxidoreductase (recyclizing)	1	20.040	-47.980	-58.250	-1
rxn03159	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine:2,3-bis-(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl-1-phosphate 2,3-bis(3-hydroxytetradecanoyl)-glucosaminyltransferase	2	-1.700	-5.980	-15.900	-1
rxn03160	methyl-(2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyl-trideca-2,6-dienoate acylhydrolase	3	1.110	-1.140	17.370	-1
rxn03166	UDP-N-acetyl-D-glucosamine:mannotetraose alpha-N-acetyl-D-glucosaminyltransferase	2	-1.700	-4.080	-8.810	25
rxn03167	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate phosphohydrolase (alkaline optimum)	3	-15.930	-15.700	-14.330	-1
rxn03168	R04621	3	-7.220	1.820	2.150	0
rxn03169	(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxyl]-1,2,3,4-tetrahydro-1-naphthol:NADP+ oxidoreductase	1	0.750	-0.280	-0.690	-1
rxn03173	R04638	3	-27.300	-10.410	-8.370	30
rxn03175	N-(5'-Phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase	5	0.620	-2.270	-12.190	-1
rxn03176	1-(4-Amino-2-methylpyrimid-5-ylmethyl)-3-(beta-hydroxyethyl)-2-methylpyridinium-bromide aminohydrolase	3	3.710	-4.970	22.270	-1
rxn03181	ATP:2,3,2',3'-tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-beta-D-1,6-glucosaminyl-alpha-phosphate 4-O'-phosphotransferase	2	-14.030	-2.170	-4.620	-1
rxn03182	CMP-3-deoxy-D-manno-oct-2-ulosonate:lipid IVA 3-deoxy-D-manno-oct-2-ulosonate transferase	2	-11.230	-61.390	-16.700	-1
rxn03188	3-Ureidoisobutyrate amidohydrolase	3	2.730	-11.920	-3.610	-1
rxn03192	4alpha-Methylcholesta-8-en-3beta-ol delta7-delta8-isomerase	5	-8.820	1.630	5.240	0
rxn03194	(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)	2	-3.660	1.400	0.470	-1
rxn03195	N-Methylhistamine:oxygen oxidoreductase (deaminating) (copper-containing)	1	-24.020	-22.560	-20.920	34
rxn03196	17alpha-Hydroxypregnenolone,hydrogen-donor:oxygen oxidoreductase (21-hydroxylating)	1	-92.580	-94.130	-94.470	29
rxn03198	16alpha-Hydroxyandrost-4-ene-3,17-dione delta5-delat4-isomerase	1;5	-0.750	0.280	-6.210	-1
rxn03200	Estriol:NAD+ 17-oxidoreductase	1	2.300	-0.280	2.350	12
rxn03201	Estriol:NADP+ 17-oxidoreductase	1	2.300	-0.280	1.760	12
rxn03202	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific)	2	-1.700	-3.380	-6.410	25
rxn03203	R04686	5	0.000	0.000	0.000	16
