n	rxns	sd_gc	range_gc	sd_eq	range_eq	sd_dgp	range_dgp	empty_dsig
4	rxn02945;rxn05031;rxn28382;rxn28890	0.000	0.000	0.000	0.000	1.450	2.900	0
3	rxn02938;rxn33097;rxn38026	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02937;rxn27693;rxn32851	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02934;rxn27332;rxn37861	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn02933;rxn03033;rxn31839;rxn35545	0.000	0.000	0.000	0.000	0.143	0.330	0
2	rxn02930;rxn02931	0.000	0.000	0.000	0.000	0.295	0.590	0
3	rxn02537;rxn04065;rxn17096	0.000	0.000	0.000	0.000	0.061	0.130	0
4	rxn02927;rxn30059;rxn33723;rxn33730	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02926;rxn39450	0.000	0.000	0.030	0.060	0.000	0.000	0
2	rxn02925;rxn39449	0.000	0.000	0.030	0.060	0.000	0.000	0
2	rxn02914;rxn20630	0.000	0.000	0.000	0.000	0.000	0.000	0
22	rxn02911;rxn03240;rxn03241;rxn03245;rxn03247;rxn03250;rxn07574;rxn07725	0.000	0.000	0.148	0.430	1.543	6.370	0
2	rxn02909;rxn40478	0.000	0.000	0.130	0.260	0.100	0.200	0
2	rxn02899;rxn04719	0.000	0.000	0.000	0.000	0.005	0.010	0
2	rxn02897;rxn38087	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02892;rxn39781	0.000	0.000	0.080	0.160	0.070	0.140	0
2	rxn02889;rxn27997	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn02928;rxn02929;rxn27815;rxn27816	0.000	0.000	0.005	0.010	0.290	0.580	0
8	rxn03107;rxn03145;rxn14212;rxn14296;rxn15477;rxn18999;rxn19000;rxn39397	0.000	0.000	0.198	0.600	3.039	8.290	0
4	rxn03104;rxn04001;rxn37881;rxn37882	0.000	0.000	0.005	0.010	0.290	0.580	0
3	rxn03101;rxn15471;rxn15472	0.000	0.000	0.193	0.410	0.000	0.000	0
3	rxn03094;rxn04068;rxn39439	0.000	0.000	0.000	0.000	0.005	0.010	0
4	rxn03093;rxn04947;rxn07325;rxn37520	0.000	0.000	0.004	0.010	0.212	0.590	0
2	rxn03092;rxn39466	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn03082;rxn16424;rxn16427;rxn22368;rxn24420;rxn28364;rxn32509	0.000	0.000	0.005	0.010	0.000	0.000	0
2	rxn03080;rxn32021	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn03071;rxn03072;rxn27940;rxn32266;rxn32270;rxn33582	0.000	0.000	0.000	0.000	0.290	0.580	0
6	rxn02974;rxn13999;rxn14262;rxn14378;rxn37384;rxn37385	0.000	0.000	0.000	0.000	3.438	7.970	0
4	rxn03068;rxn31757;rxn31760;rxn31783	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn03063;rxn06465;rxn28840;rxn32025;rxn33751	0.000	0.000	0.000	0.000	0.607	1.240	0
3	rxn03062;rxn27542;rxn37956	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn03060;rxn33487;rxn33489;rxn33491;rxn33492	0.000	0.000	0.000	0.000	0.000	0.000	0
11	rxn04415;rxn04416;rxn04458;rxn04459;rxn19944;rxn19945;rxn23877;rxn23878	0.000	0.000	0.012	0.030	0.252	0.660	0
2	rxn03037;rxn27341	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03020;rxn17440	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03014;rxn03015	0.000	0.000	0.000	0.000	0.290	0.580	0
3	rxn03012;rxn07441;rxn24414	0.000	0.000	0.976	2.070	0.189	0.400	0
2	rxn02981;rxn02982	0.000	0.000	0.000	0.000	0.290	0.580	0
3	rxn03070;rxn30419;rxn32541	0.000	0.000	0.000	0.000	0.000	0.000	0
15	rxn02726;rxn02967;rxn04847;rxn11853;rxn16289;rxn16290;rxn16291;rxn16292	0.000	0.000	0.182	0.460	0.000	0.000	0
2	rxn02724;rxn02725	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn02710;rxn20772	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02687;rxn02689	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02666;rxn33515;rxn33517	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02656;rxn06467	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn02640;rxn14228;rxn25846;rxn25892	0.000	0.000	0.000	0.000	38.860	77.720	0
3	rxn02639;rxn03636;rxn14138	0.000	0.000	0.000	0.000	2.569	5.880	0
5	rxn02638;rxn03268;rxn04073;rxn19858;rxn25891	0.000	0.000	0.026	0.070	4.783	10.760	0
2	rxn02886;rxn03447	0.000	0.000	0.190	0.380	0.160	0.320	0
4	rxn02623;rxn02750;rxn02751;rxn33387	0.000	0.000	0.437	1.010	0.418	1.090	0
3	rxn02622;rxn02749;rxn32196	0.000	0.000	0.717	1.520	0.603	1.280	0
3	rxn02621;rxn33435;rxn33443	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn02618;rxn11681;rxn11682;rxn14261;rxn24356;rxn26890	0.000	0.000	0.000	0.000	5.861	16.560	0
2	rxn02586;rxn03233	0.000	0.000	0.065	0.130	0.060	0.120	0
3	rxn02574;rxn15412;rxn15413	0.000	0.000	0.193	0.410	0.000	0.000	0
3	rxn02564;rxn07870;rxn30921	0.000	0.000	0.005	0.010	1.155	2.450	0
4	rxn02558;rxn02559;rxn03169;rxn15482	0.000	0.000	0.000	0.000	0.251	0.580	0
12	rxn02554;rxn02601;rxn02807;rxn04426;rxn04427;rxn21497;rxn21808;rxn21829	0.000	0.000	4.782	18.240	5.285	20.690	0
2	rxn02549;rxn19144	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02628;rxn03088	0.000	0.000	0.935	1.870	0.685	1.370	0
4	rxn02878;rxn04741;rxn33146;rxn33147	0.000	0.000	0.000	0.000	3.377	7.800	0
8	rxn02877;rxn04740;rxn04822;rxn07519;rxn15647;rxn15648;rxn32875;rxn32876	0.000	0.000	0.005	0.010	1.051	2.220	0
15	rxn02872;rxn02873;rxn03239;rxn03242;rxn03244;rxn03246;rxn03249;rxn03617	0.000	0.000	0.177	0.520	3.191	8.120	0
2	rxn02866;rxn27956	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02858;rxn02997;rxn32590	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02854;rxn32671;rxn32672	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn02839;rxn02840	0.000	0.000	0.000	0.000	0.290	0.580	0
9	rxn02836;rxn07841;rxn07842;rxn23921;rxn23922;rxn23923;rxn28285;rxn28286	0.000	0.000	0.506	1.240	0.000	0.000	0
10	rxn02816;rxn03481;rxn11788;rxn15440;rxn15441;rxn15727;rxn15907;rxn15908	0.000	0.000	0.156	0.410	1.865	3.970	0
5	rxn02729;rxn32713;rxn32717;rxn32720;rxn35536	0.000	0.000	0.024	0.060	0.000	0.000	0
3	rxn02810;rxn15438;rxn15439	0.000	0.000	1.062	2.590	0.000	0.000	0
2	rxn02808;rxn02809	0.000	0.000	0.005	0.010	0.585	1.170	0
2	rxn02789;rxn27543	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn02784;rxn38372;rxn38373	0.000	0.000	0.009	0.020	28.132	60.570	0
4	rxn02771;rxn04681;rxn12178;rxn32490	0.000	0.000	0.005	0.010	0.004	0.010	0
2	rxn02748;rxn18924	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn02747;rxn04653;rxn38059;rxn38509	0.000	0.000	0.000	0.000	0.055	0.110	0
5	rxn02744;rxn03970;rxn03971;rxn05142;rxn05143	0.000	0.000	0.872	1.940	1.374	3.670	0
2	rxn02740;rxn03799	0.000	0.000	0.580	1.160	4.675	9.350	0
5	rxn02735;rxn04866;rxn13972;rxn32259;rxn32399	0.000	0.000	0.000	0.000	7.515	19.580	0
2	rxn02811;rxn33015	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn16178;rxn39751;rxn40316	0.000	0.000	0.022	0.050	2.850	6.070	0
3	rxn16170;rxn39747;rxn39749	0.000	0.000	0.000	0.000	1.146	2.430	0
2	rxn16168;rxn39748	0.000	0.000	0.010	0.020	0.005	0.010	0
3	rxn16130;rxn16131;rxn23757	0.000	0.000	0.005	0.010	0.005	0.010	0
3	rxn16108;rxn29018;rxn29019	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn16107;rxn16477;rxn38340	0.000	0.000	0.137	0.290	0.132	0.280	0
2	rxn16026;rxn16070	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn15994;rxn15995	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn15992;rxn15993	0.000	0.000	0.000	0.000	0.295	0.590	0
2	rxn04574;rxn15638	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn15976;rxn15982;rxn24024;rxn24971	0.000	0.000	0.000	0.000	0.345	0.690	0
3	rxn15912;rxn15986;rxn25235	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn15851;rxn15857	0.000	0.000	0.400	0.800	0.780	1.560	0
2	rxn15846;rxn37181	0.000	0.000	0.005	0.010	0.295	0.590	0
3	rxn15844;rxn15845;rxn39718	0.000	0.000	1.849	4.140	2.644	6.320	0
2	rxn15811;rxn15814	0.000	0.000	0.000	0.000	2.745	5.490	0
2	rxn15808;rxn15809	0.000	0.000	5.875	11.750	0.015	0.030	0
2	rxn15801;rxn15804	0.000	0.000	0.030	0.060	0.015	0.030	0
3	rxn15794;rxn15795;rxn15796	0.000	0.000	0.000	0.000	0.940	2.070	0
2	rxn15792;rxn15793	0.000	0.000	0.015	0.030	0.010	0.020	0
2	rxn15984;rxn24022	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn16609;rxn21639	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn16601;rxn16602;rxn16603	0.000	0.000	0.179	0.380	0.137	0.290	0
2	rxn16595;rxn28804	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn16569;rxn16570;rxn16571;rxn21852	0.000	0.000	0.173	0.400	0.000	0.000	0
4	rxn16565;rxn16592;rxn16593;rxn16594	0.000	0.000	0.000	0.000	1.610	3.920	0
2	rxn16554;rxn22783	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn16548;rxn22782	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn16531;rxn16532;rxn16533	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn16493;rxn16524	0.000	0.000	3.530	7.060	0.060	0.120	0
2	rxn16227;rxn39710	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn16461;rxn16462	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn16452;rxn16730;rxn25019	0.000	0.000	0.000	0.000	0.216	0.530	0
2	rxn16445;rxn24943	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn16406;rxn22000	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn16392;rxn16393;rxn16394	0.000	0.000	0.767	1.760	0.000	0.000	0
2	rxn16366;rxn40126	0.000	0.000	0.000	0.000	0.865	1.730	0
7	rxn16304;rxn16305;rxn16306;rxn16307;rxn21003;rxn25852;rxn30773	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn16286;rxn16293;rxn16294	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn16244;rxn16245	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn16228;rxn16229	0.000	0.000	0.000	0.000	0.125	0.250	0
2	rxn16490;rxn16492	0.000	0.000	0.000	0.000	1.230	2.460	0
2	rxn14019;rxn26931	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn14008;rxn15771;rxn15772;rxn23398	0.000	0.000	0.813	1.770	0.000	0.000	0
3	rxn14001;rxn32170;rxn32173	0.000	0.000	0.000	0.000	0.000	0.000	0
13	rxn13984;rxn13986;rxn14127;rxn14161;rxn14237;rxn14285;rxn14305;rxn23781	0.000	0.000	0.000	0.000	0.714	2.680	0
11	rxn13977;rxn13983;rxn14122;rxn14172;rxn14182;rxn14244;rxn27014;rxn27015	0.000	0.000	0.000	0.000	0.635	2.210	0
9	rxn13975;rxn13995;rxn14059;rxn14156;rxn14248;rxn14278;rxn16566;rxn40204	0.000	0.000	0.000	0.000	0.368	0.960	0
2	rxn13969;rxn32305	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn13966;rxn14002;rxn14209;rxn16422;rxn23701;rxn40414	0.000	0.000	4.375	10.150	5.169	10.970	0
3	rxn13954;rxn15876;rxn15877	0.000	0.000	0.193	0.410	0.000	0.000	0
2	rxn15777;rxn15778	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn13771;rxn40296	0.000	0.000	0.005	0.010	0.580	1.160	0
3	rxn13477;rxn29022;rxn29023	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn13400;rxn15779;rxn30435	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn13251;rxn37804	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn12171;rxn12172	0.000	0.000	0.000	0.000	0.605	1.210	0
3	rxn12110;rxn12112;rxn39903	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn12109;rxn12111;rxn39902	0.000	0.000	0.000	0.000	0.094	0.200	0
4	rxn12058;rxn14009;rxn14080;rxn16669	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn12057;rxn16810	0.000	0.000	0.000	0.000	0.060	0.120	0
2	rxn12028;rxn12030	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn13953;rxn14149;rxn32735	0.000	0.000	0.000	0.000	0.877	1.860	0
2	rxn15749;rxn20818	0.000	0.000	0.000	0.000	0.000	0.000	0
8	rxn15700;rxn15701;rxn21400;rxn21914;rxn21915;rxn21916;rxn38326;rxn38345	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn15681;rxn32292	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn15636;rxn39753;rxn39756	0.000	0.000	0.000	0.000	0.707	1.500	0
3	rxn15395;rxn28045;rxn32907	0.000	0.000	0.000	0.000	16.141	34.240	0
5	rxn15238;rxn15239;rxn15240;rxn15241;rxn37796	0.000	0.000	0.000	0.000	0.284	0.580	0
2	rxn15234;rxn15235	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn14397;rxn15886	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn14363;rxn15866;rxn15867;rxn16225;rxn39709	0.000	0.000	0.000	0.000	0.407	1.050	0
3	rxn14323;rxn32543;rxn32573	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn14077;rxn24212;rxn24213;rxn28328	0.000	0.000	0.316	0.730	0.251	0.580	0
2	rxn14271;rxn39714	0.000	0.000	0.000	0.000	0.000	0.000	0
9	rxn14267;rxn39694;rxn39695;rxn39696;rxn39697;rxn39698;rxn39699;rxn39700	0.000	0.000	0.000	0.000	0.425	0.940	0
7	rxn14259;rxn14331;rxn14354;rxn32944;rxn32946;rxn40413;rxn40415	0.000	0.000	0.005	0.010	0.000	0.000	0
2	rxn14236;rxn14371	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn14233;rxn22962;rxn40120	0.000	0.000	0.000	0.000	6.831	14.490	0
2	rxn14186;rxn35616	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn14180;rxn14238	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn14165;rxn17075	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn14136;rxn39706	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn14094;rxn14142;rxn24354;rxn24355	0.000	0.000	0.000	0.000	2.300	4.600	0
4	rxn14294;rxn16809;rxn28305;rxn28404	0.000	0.000	0.000	0.000	1.285	2.570	0
3	rxn27664;rxn30334;rxn33164	0.000	0.000	0.000	0.000	2.555	5.420	0
3	rxn32133;rxn34788;rxn34789	0.000	0.000	0.000	0.000	0.273	0.580	0
3	rxn25470;rxn40104;rxn40266	0.000	0.000	0.585	1.240	0.000	0.000	0
2	rxn24040;rxn24041	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn24038;rxn24039;rxn25725;rxn25726	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn24036;rxn24037;rxn25721;rxn25722	0.000	0.000	0.930	1.860	2.395	4.790	0
2	rxn23587;rxn23588	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn23414;rxn26454	0.000	0.000	0.475	0.950	0.000	0.000	0
3	rxn23406;rxn23419;rxn23443	0.000	0.000	0.499	1.200	1.319	3.230	0
2	rxn16665;rxn40438	0.000	0.000	0.120	0.240	0.410	0.820	0
6	rxn00113;rxn19010;rxn30592;rxn31319;rxn35314;rxn38000	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn00103;rxn00371;rxn31215;rxn33324;rxn33328	0.000	0.000	0.000	0.000	0.232	0.580	0
5	rxn00102;rxn26146;rxn27740;rxn27741;rxn37640	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00101;rxn30324	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00099;rxn23413	0.000	0.000	0.480	0.960	0.000	0.000	0
6	rxn00097;rxn01127;rxn27684;rxn27685;rxn32470;rxn32473	0.000	0.000	0.245	0.490	0.005	0.010	0
2	rxn00096;rxn35428	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00095;rxn35438	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn00092;rxn07851;rxn11694;rxn32534;rxn32891;rxn33337	0.000	0.000	0.288	0.610	0.000	0.000	0
60	rxn00088;rxn00137;rxn00360;rxn00881;rxn00882;rxn00883;rxn01139;rxn01367	0.000	0.000	2.904	9.890	5.164	20.090	0
5	rxn00060;rxn20490;rxn30032;rxn30743;rxn35409	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn32113;rxn32117	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn32060;rxn33391;rxn34626	0.000	0.000	0.000	0.000	2.555	5.420	0
3	rxn32027;rxn32028;rxn32044	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn31920;rxn31922;rxn31928;rxn31931	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn31870;rxn35346	0.000	0.000	0.005	0.010	0.295	0.590	0
2	rxn31364;rxn31365	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn31360;rxn31361	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn31091;rxn31755	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn30718;rxn32365	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn27920;rxn27921;rxn38136	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn30417;rxn33725	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn30407;rxn32736;rxn32738;rxn32739	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn30339;rxn32479;rxn34566;rxn34567	0.000	0.000	0.320	0.740	0.238	0.550	0
2	rxn28981;rxn31868	0.000	0.000	0.000	0.000	0.000	0.000	0
6	rxn28356;rxn38429;rxn38430;rxn38667;rxn38668;rxn38669	0.000	0.000	0.005	0.010	0.075	0.150	0
3	rxn28352;rxn38424;rxn38425	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn28323;rxn30870	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn28087;rxn32155	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn28083;rxn28084	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn27926;rxn33284;rxn38148	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn30544;rxn30760;rxn33770;rxn38277;rxn38278	0.000	0.000	0.472	1.180	2.652	6.630	0
2	rxn19956;rxn19957	0.000	0.000	0.000	0.000	14.440	28.880	0
4	rxn19870;rxn27914;rxn33977;rxn38130	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn19316;rxn27765;rxn32388;rxn34204	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn19040;rxn30620;rxn31226;rxn32587;rxn32588;rxn32589;rxn34304	0.000	0.000	0.153	0.310	0.000	0.000	0
2	rxn18917;rxn35234	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn16895;rxn16898;rxn39854	0.000	0.000	0.009	0.020	65.106	138.110	0
2	rxn16832;rxn16833	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn16814;rxn20209	0.000	0.000	0.000	0.000	0.120	0.240	0
2	rxn16812;rxn16813	0.000	0.000	0.000	0.000	0.105	0.210	0
36	rxn00077;rxn00078;rxn00100;rxn00361;rxn00878;rxn01378;rxn01593;rxn01595	0.000	0.000	2.802	10.580	5.164	26.800	0
2	rxn16771;rxn21589	0.000	0.000	0.000	0.000	14.520	29.040	0
2	rxn16767;rxn16768	0.000	0.000	0.000	0.000	0.715	1.430	0
3	rxn16763;rxn16764;rxn16765	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn16760;rxn16761;rxn39458	0.000	0.000	0.000	0.000	1.155	2.450	0
2	rxn16739;rxn16740	0.000	0.000	0.000	0.000	0.125	0.250	0
2	rxn16724;rxn16728	0.000	0.000	0.000	0.000	0.005	0.010	0
2	rxn16704;rxn39689	0.000	0.000	0.000	0.000	0.280	0.560	0
2	rxn16703;rxn39688	0.000	0.000	0.000	0.000	0.990	1.980	0
3	rxn16690;rxn24376;rxn24377	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn16682;rxn22647	0.000	0.000	0.000	0.000	1.080	2.160	0
2	rxn16772;rxn16773	0.000	0.000	0.000	0.000	0.000	0.000	0
10	rxn00075;rxn00940;rxn00942;rxn14307;rxn15164;rxn15165;rxn20263;rxn32692	0.000	0.000	2.373	8.540	2.084	4.840	0
9	rxn00070;rxn00086;rxn00644;rxn03981;rxn03982;rxn05910;rxn16405;rxn19841	0.000	0.000	1.681	5.360	1.788	5.950	0
4	rxn00069;rxn00085;rxn27888;rxn27889	0.000	0.000	0.000	0.000	0.295	0.590	0
3	rxn00066;rxn00084;rxn32993	0.000	0.000	0.000	0.000	0.278	0.590	0
5	rxn00065;rxn00307;rxn00413;rxn35429;rxn35443	0.000	0.000	0.352	0.930	0.022	0.050	0
2	rxn00064;rxn29995	0.000	0.000	0.000	0.000	0.000	0.000	0
14	rxn00062;rxn07850;rxn07852;rxn11300;rxn27586;rxn27587;rxn27588;rxn27616	0.000	0.000	0.276	0.610	0.000	0.000	0
2	rxn00061;rxn27710	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn00114;rxn29996;rxn37674	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00055;rxn37935	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn20162;rxn33881;rxn34243;rxn34244	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn00051;rxn04149	0.000	0.000	1.050	2.100	0.800	1.600	0
2	rxn00048;rxn32591	0.000	0.000	0.000	0.000	0.000	0.000	0
9	rxn00046;rxn14335;rxn15014;rxn15015;rxn15456;rxn15457;rxn15802;rxn15803	0.000	0.000	0.635	1.820	2.260	4.960	0
2	rxn00041;rxn15970	0.000	0.000	0.005	0.010	0.710	1.420	0
2	rxn23375;rxn23385	0.000	0.000	0.000	0.000	0.045	0.090	0
2	rxn23373;rxn40005	0.000	0.000	0.775	1.550	0.145	0.290	0
2	rxn23042;rxn37718	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn22914;rxn25068	0.000	0.000	0.000	0.000	0.050	0.100	0
5	rxn20738;rxn28139;rxn38281;rxn38282;rxn38283	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn20197;rxn33120	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn00052;rxn11631;rxn11964;rxn33775;rxn33777	0.000	0.000	0.156	0.390	2.089	4.670	0
2	rxn05055;rxn07849	0.000	0.000	0.970	1.940	0.435	0.870	0
2	rxn05040;rxn32814	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn05033;rxn14264;rxn17649;rxn23953	0.000	0.000	0.030	0.060	0.025	0.050	0
3	rxn05004;rxn27334;rxn40276	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn05001;rxn07800;rxn23831	0.000	0.000	0.113	0.240	0.090	0.190	0
3	rxn04996;rxn26480;rxn26481	0.000	0.000	0.005	0.010	0.278	0.590	0
2	rxn04991;rxn40463	0.000	0.000	1.050	2.100	0.450	0.900	0
2	rxn04983;rxn16709	0.000	0.000	0.000	0.000	0.575	1.150	0
2	rxn04982;rxn04985	0.000	0.000	0.000	0.000	42.270	84.540	0
4	rxn12019;rxn14068;rxn33023;rxn33036	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04975;rxn23956	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04974;rxn23955	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn04971;rxn16425;rxn16428;rxn22369;rxn24421;rxn28365;rxn32743	0.000	0.000	0.000	0.000	4.951	10.960	0
4	rxn04957;rxn04958;rxn40383;rxn40384	0.000	0.000	0.348	0.960	3.233	7.030	0
2	rxn04952;rxn04953	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn04950;rxn39792	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04939;rxn04940	0.000	0.000	0.000	0.000	0.290	0.580	0
5	rxn04923;rxn33584;rxn33586;rxn33587;rxn33590	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn04912;rxn04913	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn04911;rxn04914;rxn04925;rxn39788	0.000	0.000	0.000	0.000	0.874	2.120	0
3	rxn04981;rxn27468;rxn37887	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn07274;rxn07278;rxn07285;rxn07286;rxn07287	0.000	0.000	0.000	0.000	0.761	1.650	0
2	rxn07141;rxn16169	0.000	0.000	0.000	0.000	1.210	2.420	0
2	rxn06921;rxn31473	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn06843;rxn15508;rxn15509;rxn32668	0.000	0.000	1.041	2.510	7.435	17.170	0
3	rxn06684;rxn15462;rxn15463	0.000	0.000	0.189	0.400	0.000	0.000	0
3	rxn06683;rxn15460;rxn15461	0.000	0.000	0.193	0.410	0.000	0.000	0
4	rxn06135;rxn06136;rxn33212;rxn33501	0.000	0.000	0.005	0.010	0.580	1.160	0
2	rxn05957;rxn33354	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn05928;rxn15117	0.000	0.000	1.805	3.610	0.000	0.000	0
2	rxn05065;rxn07537	0.000	0.000	0.005	0.010	0.005	0.010	0
2	rxn05765;rxn05766	0.000	0.000	0.000	0.000	0.565	1.130	0
4	rxn05137;rxn32511;rxn32512;rxn32513	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn05118;rxn30873	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn05117;rxn05119	0.000	0.000	0.000	0.000	0.290	0.580	0
2	rxn05113;rxn39038	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn05112;rxn39443	0.000	0.000	0.380	0.760	0.490	0.980	0
2	rxn05109;rxn31994	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn05095;rxn15675	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn05092;rxn32462	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn05072;rxn15668;rxn15669;rxn20219;rxn32550;rxn38173;rxn38174	0.000	0.000	0.806	1.770	0.000	0.000	0
2	rxn05887;rxn07200	0.000	0.000	0.000	0.000	0.295	0.590	0
