n	rxns	sd_gc	range_gc	sd_eq	range_eq	sd_dgp	range_dgp	empty_dsig
2	rxn03586;rxn16135	0.000	0.000	0.055	0.110	0.285	0.570	0
2	rxn03554;rxn03556	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03552;rxn06890	0.000	0.000	0.000	0.000	0.055	0.110	0
2	rxn03737;rxn03738	0.000	0.000	0.000	0.000	0.585	1.170	0
2	rxn03735;rxn03736	0.000	0.000	0.005	0.010	0.585	1.170	0
2	rxn03731;rxn03733	0.000	0.000	0.005	0.010	0.585	1.170	0
2	rxn03730;rxn03732	0.000	0.000	0.000	0.000	0.580	1.160	0
2	rxn03719;rxn06912	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03714;rxn16354	0.000	0.000	0.000	0.000	0.295	0.590	0
2	rxn03711;rxn07608	0.000	0.000	0.145	0.290	1.560	3.120	0
2	rxn03663;rxn04604	0.000	0.000	0.020	0.040	3.770	7.540	0
2	rxn03624;rxn04599	0.000	0.000	0.005	0.010	0.415	0.830	0
3	rxn03650;rxn04726;rxn11565	0.000	0.000	0.000	0.000	2.147	5.210	0
8	rxn03646;rxn07639;rxn11574;rxn11625;rxn22285;rxn24576;rxn26505;rxn26506	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03644;rxn16622	0.000	0.000	0.000	0.000	3.630	7.260	0
2	rxn03642;rxn31470	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn03631;rxn03632;rxn04994;rxn04995	0.000	0.000	0.005	0.010	0.644	1.730	0
4	rxn03525;rxn03530;rxn16896;rxn25082	0.000	0.000	0.004	0.010	0.000	0.000	0
2	rxn03614;rxn06895	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03591;rxn07600	0.000	0.000	0.010	0.020	0.100	0.200	0
2	rxn03651;rxn03652	0.000	0.000	0.000	0.000	0.290	0.580	0
4	rxn03283;rxn03284;rxn14072;rxn16700	0.000	0.000	0.004	0.010	0.251	0.580	0
3	rxn03259;rxn32624;rxn32625	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03222;rxn17088	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03220;rxn03261	0.000	0.000	0.000	0.000	1.360	2.720	0
2	rxn03217;rxn17087	0.000	0.000	0.000	0.000	0.000	0.000	0
5	rxn03208;rxn03226;rxn03526;rxn03531;rxn15791	0.000	0.000	0.029	0.070	0.021	0.050	0
2	rxn03204;rxn03205	0.000	0.000	0.000	0.000	0.295	0.590	0
2	rxn03200;rxn03201	0.000	0.000	0.000	0.000	0.295	0.590	0
2	rxn03196;rxn39755	0.000	0.000	0.000	0.000	0.915	1.830	0
4	rxn03435;rxn31980;rxn31981;rxn31982	0.000	0.000	0.000	0.000	0.000	0.000	0
7	rxn03192;rxn03281;rxn07315;rxn38374;rxn38375;rxn38680;rxn38681	0.000	0.000	0.000	0.000	1.692	3.610	0
3	rxn03188;rxn15489;rxn15490	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03175;rxn20608	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn03160;rxn11535;rxn11536	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn03147;rxn28980;rxn35571;rxn37546	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn03144;rxn05135;rxn15476	0.000	0.000	0.005	0.010	1.193	2.530	0
2	rxn03137;rxn27692	0.000	0.000	0.000	0.000	0.000	0.000	0
4	rxn03136;rxn27691;rxn35572;rxn35698	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03133;rxn03134	0.000	0.000	0.000	0.000	0.295	0.590	0
4	rxn03129;rxn03148;rxn15479;rxn15480	0.000	0.000	0.000	0.000	0.909	2.100	0
3	rxn03194;rxn31792;rxn35526	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03508;rxn23465	0.000	0.000	0.000	0.000	0.000	0.000	0
3	rxn03506;rxn03849;rxn23464	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03484;rxn06861	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03478;rxn06859	0.000	0.000	0.000	0.000	0.000	0.000	0
2	rxn03477;rxn15519	0.000	0.000	0.000	0.000	0.000	0.000	0
