variant,n_panel,n_growers,frac_growers,mean_flux,median_flux,n_status_optimal
on_disk,100,100,1.0,38.39414949539755,33.95659261331622,100
msdb_dev,100,100,1.0,67.97425360467966,65.97408537926293,100
cascade_live,100,100,1.0,67.97425360467966,65.97408537926293,100
msdb_claude,100,100,1.0,67.97425360467966,65.97408537926293,100
all_reversible,100,100,1.0,105.14764286835094,101.08640205921417,100
all_forward,100,0,0.0,0.0,0.0,100
flip_eq_to_gt,100,0,0.0,0.0,0.0,100
branch_diff_only,100,100,1.0,67.97425360467966,65.97408537926293,100
