assembly_accession,current_accession,organism_name,tax_id,assembly_name,status,superkingdom,kingdom,phylum,class,order,family,genus,species
GCF_000241875.1,GCF_000241875.1,Corynebacterium diphtheriae 31A,698962,ASM24187v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000241895.1,GCF_000241895.1,Corynebacterium diphtheriae 241,698966,ASM24189v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000241915.1,GCF_000241915.1,Corynebacterium diphtheriae INCA 402,698972,ASM24191v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000241935.1,GCF_000241935.1,Corynebacterium diphtheriae BH8,698973,ASM24193v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000242255.2,GCF_000242255.2,Frateuria aurantia DSM 6220,767434,ASM24225v3,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Frateuria,Frateuria aurantia
GCF_000242335.1,GCF_000242335.1,Prevotella dentalis DSM 3688,908937,ASM24233v3,resolved,Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella dentalis
GCF_000242455.2,GCF_000242455.2,Singulisphaera acidiphila DSM 18658,886293,ASM24245v3,resolved,Bacteria,Pseudomonadati,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera,Singulisphaera acidiphila
GCF_000242595.2,GCF_000242595.2,Spirochaeta africana DSM 8902,889378,ASM24259v3,resolved,Bacteria,Pseudomonadati,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,Spirochaeta africana
GCF_000242635.2,GCF_000242635.2,Solitalea canadensis DSM 3403,929556,ASM24263v3,resolved,Bacteria,Pseudomonadati,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Solitalea canadensis
GCF_000242775.1,GCF_000242775.1,Corynebacterium diphtheriae HC03,698969,ASM24277v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
GCF_000242855.2,GCF_000242855.2,Bacillus amyloliquefaciens IT-45,1091041,ASM24285v2,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens
GCF_000242895.2,GCF_000242895.2,Bacillus sp. 1NLA3E,666686,ASM24289v3,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Bacillaceae,Bacillus,Bacillus sp. 1NLA3E
GCF_000242935.2,GCF_000242935.2,Opitutaceae bacterium TAV5,794903,ASM24293v3,resolved,Bacteria,Pseudomonadati,Verrucomicrobiota,Opitutia,Opitutales,Opitutaceae,,Opitutaceae bacterium TAV5
GCF_000243075.1,GCF_000243075.1,Oceanimonas sp. GK1,511062,ASM24307v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanimonas,Oceanimonas sp. GK1
GCF_000243115.2,GCF_000243115.2,Niabella soli DSM 19437,929713,ASM24311v3,resolved,Bacteria,Pseudomonadati,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,Niabella soli
GCF_000243135.2,GCF_000243135.2,Desulfitobacterium dichloroeliminans LMG P-21439,871963,ASM24313v3,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium dichloroeliminans
GCF_000243155.2,GCF_000243155.2,Desulfitobacterium dehalogenans ATCC 51507,756499,ASM24315v3,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Desulfitobacteriaceae,Desulfitobacterium,Desulfitobacterium dehalogenans
GCF_000244875.1,GCF_000244875.1,Clostridium sp. BNL1100,755731,ASM24487v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp. BNL1100
GCF_000245355.1,GCF_000245355.1,Streptomyces hygroscopicus subsp. jinggangensis 5008,1133850,ASM24535v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces hygroscopicus
GCF_000245495.1,GCF_000245495.1,Staphylococcus aureus subsp. aureus VC40,1028799,ASM24549v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Caryophanales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus
GCF_000245515.1,GCF_000245515.1,Escherichia coli O55:H7 str. RM12579,1048689,ASM24551v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
GCF_000245535.1,GCF_000245535.1,Salmonella enterica subsp. enterica serovar Typhi str. P-stx-12,1132507,ASM24553v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
GCF_000246835.1,GCF_000246835.1,Streptococcus infantarius subsp. infantarius CJ18,1069533,ASM24683v1,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus infantarius
GCF_000246855.1,GCF_000246855.1,Niastella koreensis GR20-10,700598,ASM24685v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastella koreensis
GCF_000246985.2,GCF_000246985.2,Thermococcus litoralis DSM 5473,523849,ASM24698v3,resolved,Archaea,Methanobacteriati,Methanobacteriota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus litoralis
GCF_000247565.1,GCF_000247565.1,Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony),1142511,ASM24756v1,resolved,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Wigglesworthia,Wigglesworthia glossinidia
GCF_000247605.1,GCF_000247605.1,Acetobacterium woodii DSM 1030,931626,ASM24760v1,resolved,Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium woodii
GCF_000247715.1,GCF_000247715.1,Gordonia polyisoprenivorans VH2,1112204,ASM24771v1,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia polyisoprenivorans
GCF_000248095.2,GCF_000248095.2,Limosilactobacillus mucosae LM1,1130798,ASM24809v3,resolved,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus mucosae
GCF_000248375.2,GCF_000248375.2,Corynebacterium pseudotuberculosis 316,1074485,ASM24837v2,resolved,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis
GCF_000248415.1,,,,,missing,,,,,,,,
GCF_000248435.1,,,,,missing,,,,,,,,
GCF_000250635.1,GCF_000250635.1,Saprospira grandis str. Lewin,984262,ASM25063v1,resolved,Bacteria,Pseudomonadati,Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Saprospira,Saprospira grandis
