model_id,reason,n_reactions,n_metabolites,n_genes,n_exchanges_open,growth_flux,n_unique_rxns,n_unique_cpds,n_rare_rxns,novel_rxns_added,novel_cpds_added,min_jaccard_to_selected
GCF_002127965.1,farthest-point: min Jaccard distance to already-selected = 0.340,115,122,99,15,12.714,90,100,0,,,0.3396
GCF_000599985.1,farthest-point: min Jaccard distance to already-selected = 0.338,149,140,116,17,17.349,120,116,0,,,0.338
GCF_000143845.1,farthest-point: min Jaccard distance to already-selected = 0.337,126,133,92,17,15.604,99,109,0,,,0.3365
GCF_002951835.1,farthest-point: min Jaccard distance to already-selected = 0.336,146,143,122,19,19.464,117,117,0,,,0.3358
GCF_000600005.1,farthest-point: min Jaccard distance to already-selected = 0.336,153,146,124,20,19.902,123,120,0,,,0.3356
GCF_000266885.1,farthest-point: min Jaccard distance to already-selected = 0.333,147,143,163,16,16.426,121,120,0,,,0.3333
GCF_001610875.1,farthest-point: min Jaccard distance to already-selected = 0.333,161,154,137,19,27.017,132,129,0,,,0.3333
GCF_000195535.1,farthest-point: min Jaccard distance to already-selected = 0.331,144,139,127,17,16.97,117,115,0,,,0.331
GCF_000224745.1,farthest-point: min Jaccard distance to already-selected = 0.329,146,147,139,16,8.864,120,125,0,,,0.3286
GCF_000025185.1,farthest-point: min Jaccard distance to already-selected = 0.326,158,160,156,16,13.92,132,137,0,,,0.3262
GCF_004571195.1,farthest-point: min Jaccard distance to already-selected = 0.326,141,142,107,17,13.135,114,119,0,,,0.3261
GCF_000007945.1,farthest-point: min Jaccard distance to already-selected = 0.326,144,136,99,19,21.991,113,111,0,,,0.3258
GCF_000009905.1,farthest-point: min Jaccard distance to already-selected = 0.326,160,156,202,20,29.604,128,130,0,,,0.3256
GCF_002288005.1,farthest-point: min Jaccard distance to already-selected = 0.323,118,125,98,14,7.442,94,104,0,,,0.3226
GCF_004114615.1,farthest-point: min Jaccard distance to already-selected = 0.322,147,151,133,15,3.77,122,129,0,,,0.3219
GCF_000973725.1,farthest-point: min Jaccard distance to already-selected = 0.321,149,152,185,17,9.655,122,128,0,,,0.3209
GCF_000307165.1,farthest-point: min Jaccard distance to already-selected = 0.320,122,130,94,16,14.275,96,107,0,,,0.32
GCF_000724625.1,farthest-point: min Jaccard distance to already-selected = 0.319,138,133,122,17,15.027,111,109,0,,,0.3185
GCF_001632845.1,farthest-point: min Jaccard distance to already-selected = 0.319,150,149,169,16,10.849,124,126,0,,,0.3185
GCF_001443605.1,farthest-point: min Jaccard distance to already-selected = 0.317,147,148,132,17,23.431,120,124,0,,,0.3172
GCF_000092365.1,farthest-point: min Jaccard distance to already-selected = 0.315,138,136,106,19,25.622,107,110,0,,,0.3145
GCF_000046685.1,farthest-point: min Jaccard distance to already-selected = 0.312,110,116,86,15,2.879,85,95,0,,,0.3119
GCF_000968135.1,farthest-point: min Jaccard distance to already-selected = 0.312,165,162,193,19,24.336,134,136,0,,,0.3118
GCF_001021065.1,farthest-point: min Jaccard distance to already-selected = 0.310,156,138,131,20,38.057,124,111,0,,,0.3095
GCF_002005425.1,farthest-point: min Jaccard distance to already-selected = 0.310,147,143,106,16,9.283,121,120,0,,,0.3095
GCF_005280295.1,farthest-point: min Jaccard distance to already-selected = 0.307,148,138,153,16,3.233,122,115,0,,,0.3067
GCF_000016885.1,farthest-point: min Jaccard distance to already-selected = 0.301,168,155,155,19,18.599,137,129,0,,,0.3007
GCF_000521655.1,farthest-point: min Jaccard distance to already-selected = 0.300,171,166,147,21,38.927,136,138,0,,,0.3
GCF_000023265.1,farthest-point: min Jaccard distance to already-selected = 0.299,135,132,129,15,11.086,110,111,0,,,0.2993
