rxn_id	Beber_2022	ln_RI
rxn00283	=	-0.017
rxn00284	<	11.734
rxn00285	=	-0.163
rxn00286	=	-1.200
rxn00287	>	-12.254
rxn00288	<	8.605
rxn00289	=	-3.007
rxn00290	=	2.550
rxn00291	=	-5.213
rxn00292	>	-10.850
rxn00293	=	-1.615
rxn00295	=	0.616
rxn00297	=	0.619
rxn00298	=	-3.979
rxn00299	>	-26.163
rxn00300	>	-23.813
rxn00301	>	-15.422
rxn00302	=	3.290
rxn00303	=	-2.904
rxn00304	=	5.589
rxn00305	=	-0.616
rxn00306	=	0.196
rxn00307	=	-5.728
rxn00308	=	-6.283
rxn00309	=	2.684
rxn00310	>	-19.605
rxn00311	>	-34.818
rxn00312	>	-93.982
rxn00313	>	-8.774
rxn00314	=	3.131
rxn00315	=	0.034
rxn00316	=	-5.613
rxn00317	=	0.066
rxn00318	=	-6.528
rxn00319	>	-15.551
rxn00320	=	0.000
rxn00321	=	-1.859
rxn00322	>	-10.566
rxn00323	<	7.703
rxn00324	<	8.298
rxn00325	>	-32.685
rxn00326	=	-0.012
rxn00327	>	-11.296
rxn00328	=	0.207
rxn00330	<	7.800
rxn00331	=	-0.254
rxn00332	=	5.410
rxn00333	>	-17.811
rxn00334	=	0.158
rxn00335	=	-3.633
rxn00336	=	-2.039
rxn00337	=	4.409
rxn00338	>	-14.360
rxn00339	=	-1.635
rxn00340	=	-3.454
rxn00341	>	-12.573
rxn00342	>	-9.310
rxn00343	<	14.892
rxn00344	=	-4.687
rxn00345	>	-7.763
rxn00346	>	-9.150
rxn00347	=	-1.061
rxn00348	=	2.097
rxn00350	=	-5.124
rxn00351	=	-4.125
rxn00352	>	-13.951
rxn00354	=	-4.381
rxn00355	=	-0.413
rxn00356	=	-2.692
rxn00357	<	43.131
rxn00358	=	0.431
rxn00359	>	-29.961
rxn00360	>	-7.895
rxn00361	=	-3.514
rxn00362	>	-7.144
rxn00363	>	-8.355
rxn00364	=	0.366
rxn00365	=	-3.169
rxn00366	>	-13.069
rxn00367	>	-16.686
rxn00368	=	-3.084
rxn00369	=	-2.631
rxn00370	=	-3.041
rxn00371	=	-2.909
rxn00372	>	-7.137
rxn00373	>	-8.312
rxn00374	>	-12.524
rxn00375	>	-13.450
rxn00376	>	-13.000
rxn00377	>	-6.909
rxn00379	<	9.388
rxn00380	<	12.048
rxn00381	>	-28.736
rxn00382	<	20.784
