rxn_id,operator,dg,dge
rxn00233,>,-10.35,1.06
rxn00234,=,0.62,0.28
rxn00235,=,-6.8,0.57
rxn00236,>,-5.52,0.3
rxn00237,=,-0.6,0.32
rxn00239,=,-0.64,0.29
rxn00241,>,-5.56,0.33
rxn00242,>,-5.6,1.51
rxn00243,=,-6.56,0.82
rxn00244,>,-12.31,0.82
rxn00245,>,-8.31,0.46
rxn00247,=,2.57,0.76
rxn00248,=,7.09,0.07
rxn00249,=,7.09,0.11
rxn00250,=,-0.94,0.18
rxn00251,=,8.73,0.76
rxn00252,=,5.26,0.76
rxn00253,>,-6.28,0.52
rxn00254,=,-1.53,0.62
rxn00255,=,5.06,0.67
rxn00256,<,8.6,0.11
rxn00257,=,2.44,0.11
rxn00258,=,0.02,0.36
rxn00260,=,0.69,0.13
rxn00261,<,159.78,1.77
rxn00262,>,-22.32,1.03
rxn00263,>,-23.57,1.12
rxn00264,>,-24.63,1.02
rxn00265,=,1.3,0.12
rxn00266,=,1.36,0.71
rxn00268,=,10.75,0.39
rxn00269,>,-20.98,1.09
rxn00270,=,3.09,23900.57
rxn00271,=,8.39,1.11
rxn00272,=,-1.96,0.4
rxn00273,=,8.44,0.51
rxn00274,=,8.44,0.51
rxn00275,=,2.03,0.39
rxn00276,=,1.34,0.4
rxn00278,=,8.78,0.13
rxn00279,>,-3.34,0.78
rxn00280,=,8.18,0.71
rxn00281,=,7.76,0.86
rxn00282,=,-0.63,0.18
rxn00283,=,-0.01,0.25
rxn00284,=,14.88,0.5
rxn00285,=,-0.49,0.32
rxn00286,=,-1.04,0.91
rxn00287,>,-5.67,0.33
rxn00288,<,11.27,0.87
rxn00289,=,2.27,0.73
rxn00290,=,2.95,0.16
rxn00291,=,-0.67,0.87
rxn00292,=,-7.01,0.87
rxn00293,=,-0.81,0.71
rxn00295,=,-0.24,0.65
rxn00297,=,-0.24,0.65
rxn00298,=,-5.07,0.73
rxn00299,>,-18.54,1.97
rxn00300,>,-16.79,1.43
rxn00301,>,-7.62,0.46
rxn00303,=,-3.17,1.65
rxn00304,=,7.13,0.34
rxn00305,=,3.17,0.82
rxn00306,=,0.11,0.11
rxn00307,>,1.22,0.73
rxn00308,>,-4.58,2.16
rxn00309,=,8.65,0.57
rxn00310,>,-24.99,1.15
rxn00311,=,-55.93,23900.57
rxn00312,>,-111.77,1.18
rxn00313,>,-4.39,0.91
rxn00314,=,9.66,0.84
rxn00316,>,-5.7,0.53
rxn00318,=,-1.6,0.54
rxn00319,>,-9.82,2.16
rxn00320,=,0.0,0.71
rxn00321,=,-1.1,0.5
rxn00322,>,-5.96,0.86
rxn00323,<,4.61,1.01
rxn00324,=,10.54,0.22
rxn00325,>,-37.75,1.3
rxn00326,=,-2.55,0.32
rxn00327,>,-5.9,1.18
rxn00328,=,4.36,0.37
rxn00330,<,8.1,0.51
rxn00331,=,3.48,0.71
rxn00332,<,7.02,0.95
rxn00333,>,-21.19,1.04
rxn00334,=,4.21,0.74
rxn00335,=,0.6,0.66
rxn00336,=,2.25,0.33
rxn00337,=,4.58,0.71
rxn00338,>,-17.2,1.16
rxn00339,=,-2.15,0.86
rxn00340,=,-4.43,0.87
rxn00341,>,-7.39,1.2
rxn00342,>,-4.01,0.86
rxn00344,>,-4.42,0.59
rxn00345,=,-2.88,0.6
rxn00346,>,-4.89,1.46
rxn00347,=,3.14,0.12
rxn00348,=,1.25,0.48
rxn00350,=,-0.44,0.64
rxn00351,>,-6.23,0.63
rxn00352,>,-7.12,0.66
rxn00353,>,-11.56,0.24
rxn00354,=,-4.54,0.62
rxn00355,=,0.03,0.34
rxn00356,=,-2.65,0.54
rxn00357,=,51.66,16900.26
rxn00358,=,0.59,0.46
rxn00359,>,-19.97,1.38
rxn00360,>,-2.75,1.42
rxn00361,=,-3.41,1.42
rxn00362,=,-3.11,0.6
rxn00363,>,-3.34,0.67
rxn00364,=,-0.58,0.71
rxn00365,=,-2.82,0.67
rxn00366,>,-5.58,0.72
rxn00367,>,-8.0,0.56
rxn00368,=,-2.15,0.74
rxn00369,=,-2.22,0.74
rxn00370,=,-4.22,1.37
rxn00371,>,-3.53,0.8
rxn00372,>,-0.79,1.38
rxn00373,>,-3.9,1.06
rxn00374,>,-6.42,1.8
rxn00375,=,-7.21,1.39
rxn00376,=,-6.8,1.41
rxn00377,=,-0.64,1.05
rxn00379,<,11.38,0.28
rxn00380,<,14.07,0.29
rxn00381,>,-19.81,0.31
rxn00382,=,33.28,16900.26
rxn00383,>,-41.16,1.36
rxn00384,=,39.85,16900.26
rxn00385,=,-66.75,16900.26
rxn00386,=,-67.42,16900.26
rxn00387,=,-67.42,16900.26
rxn00391,>,-4.04,0.7
rxn00392,=,-2.12,0.7
rxn00393,=,-0.82,0.76
rxn00394,=,-7.0,1.54
rxn00395,>,-8.34,0.82
rxn00396,=,1.8,0.13
rxn00397,=,-5.68,1.39
rxn00399,>,-190.6,3.1
rxn00401,>,-106.64,1.69
rxn00402,=,7.53,0.71
rxn00403,=,3.22,1.52
rxn00404,=,-0.08,0.71
rxn00405,=,-0.83,1.48
rxn00406,=,4.63,1.27
rxn00407,=,-6.03,0.6
rxn00408,>,-5.89,0.56
rxn00409,=,-0.27,0.56
rxn00410,=,-0.13,0.6
rxn00411,=,6.8,0.58
rxn00412,>,-2.95,0.63
rxn00413,>,0.79,0.7
rxn00414,=,-1.42,0.64
rxn00415,=,-2.75,0.54
